,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
13,Minnesota Vikings,16,20.8,292.4,59.1,4.9,1.56,0.81,15.9,20.3,33.1,215.6,0.94,0.75,6.0,10.2,23.2,76.9,0.63,3.3,4.50,6.81,62.6,1.25,27.7,12.6,10.3
14,Buffalo Bills,16,21.4,326.1,60.7,5.4,1.38,0.75,18.3,18.8,30.8,204.4,0.88,0.63,6.3,10.4,28.4,121.6,1.13,4.3,7.06,4.50,33.8,0.81,36.9,11.2,8.69
15,San Diego Chargers,16,21.7,349.9,65.1,5.4,1.50,0.56,21.2,25.7,37.8,247.4,1.56,0.94,6.3,13.3,25.5,102.6,0.69,4.0,6.13,4.88,44.3,1.75,35.5,13.0,6.27
16,Chicago Bears,16,21.9,334.7,67.9,4.9,2.00,0.63,19.6,23.9,38.9,241.2,1.31,1.38,5.9,13.0,27.3,93.5,1.00,3.4,5.81,6.25,51.7,0.81,30.4,14.0,8.73
17,Cleveland Browns,16,21.9,356.5,62.8,5.7,1.94,0.50,19.7,17.9,27.9,204.6,1.19,1.44,7.1,11.0,33.8,151.9,1.00,4.5,7.81,5.94,48.1,0.88,31.6,17.5,5.72
18,New York Jets,16,22.3,329.4,63.8,5.2,1.88,1.00,19.7,23.0,35.8,234.5,1.44,0.88,6.1,13.1,25.4,94.9,0.63,3.7,5.38,5.81,41.4,1.25,33.3,16.9,10.2
19,Cincinnati Bengals,16,22.8,325.5,63.3,5.1,1.50,0.75,18.5,19.7,31.6,205.4,1.44,0.75,6.3,10.6,30.6,120.1,0.94,3.9,6.63,6.38,48.3,1.31,32.6,12.0,7.02
20,Dallas Cowboys,16,22.8,294.3,60.6,4.9,1.38,0.88,17.3,19.3,31.8,187.7,1.19,0.50,5.3,10.2,25.1,106.6,0.69,4.2,5.31,5.44,37.6,1.75,36.8,10.8,8.94
21,Jacksonville Jaguars,16,22.9,330.9,57.6,5.7,1.06,0.25,18.1,18.6,29.1,224.1,1.56,0.81,7.3,10.4,26.8,106.8,0.88,4.0,6.13,5.00,43.2,1.56,38.8,9.4,3.87
22,Green Bay Packers,16,23.8,334.3,62.7,5.3,1.75,0.38,18.4,17.9,32.4,202.8,1.38,1.38,6.0,8.81,28.6,131.6,1.25,4.6,7.56,5.56,45.1,2.06,34.9,14.1,5.30
23,San Francisco 49ers,16,23.8,326.0,64.2,5.1,1.13,0.38,18.3,20.7,34.1,219.2,1.38,0.75,6.1,10.6,28.3,106.8,0.88,3.8,6.50,6.94,54.3,1.19,38.6,9.8,5.46
24,Oakland Raiders,16,24.3,360.9,65.3,5.5,1.50,0.50,20.3,16.6,29.4,201.3,1.25,1.00,6.4,10.4,33.9,159.7,1.44,4.7,8.06,4.63,39.6,1.88,34.4,11.5,2.55
25,Seattle Seahawks,16,24.5,378.0,66.1,5.7,1.25,0.69,20.3,22.9,35.4,259.3,1.56,0.56,6.9,12.9,28.6,118.7,0.81,4.2,6.13,5.06,41.9,1.19,40.1,10.2,3.30
26,New Orleans Saints,16,24.6,339.5,62.4,5.4,1.38,0.44,18.7,18.7,32.9,221.7,1.31,0.94,6.4,11.3,27.8,117.8,0.88,4.2,6.25,5.25,39.8,1.19,39.7,11.5,6.29
27,Houston Texans,16,24.6,336.6,58.4,5.8,1.38,0.63,18.8,18.4,29.4,213.9,1.50,0.75,6.9,10.4,27.4,122.6,1.13,4.5,7.13,5.06,41.2,1.19,38.3,12.0,-0.60
28,Arizona Cardinals,16,26.6,331.5,62.1,5.3,1.88,1.06,19.5,20.2,32.3,221.3,2.25,0.81,6.5,10.8,27.8,110.3,0.81,4.0,7.31,6.13,51.0,1.44,38.7,15.5,4.19
29,Kansas City Chiefs,16,27.5,393.2,65.1,6.0,1.81,1.00,21.5,21.8,32.6,234.3,1.31,0.81,7.0,12.2,31.8,158.9,1.56,5.0,8.31,5.06,36.8,1.00,43.6,15.5,3.69
30,Denver Broncos,16,28.0,374.6,61.9,6.1,0.81,0.44,20.4,20.8,30.9,228.5,1.25,0.38,7.0,11.6,29.3,146.1,1.63,5.0,7.63,5.19,46.1,1.19,46.4,7.7,-2.98
31,St. Louis Rams,16,29.1,371.9,60.9,6.1,1.63,0.88,20.0,17.4,27.8,217.2,1.25,0.75,7.3,9.88,31.3,154.7,1.63,4.9,9.13,5.56,40.9,1.00,41.6,13.0,1.79
32,Detroit Lions,16,32.3,404.4,63.1,6.4,1.25,1.00,21.9,18.9,27.7,232.3,1.56,0.25,7.9,11.8,33.5,172.1,1.94,5.1,9.19,5.69,47.1,0.94,45.3,8.4,-6.89
,Avg Team,,352.5,5235.8,990.0,5.3,24.8,10.3,294.8,315.0,516.4,3380.5,20.2,14.5,6.2,172.9,441.2,1855.3,14.9,4.2,101.6,89.6,712.6,20.3,34.0,12.9,105.0
,League Total,,11279,167547,31681,5.3,793,328,9433,10081,16526,108177,646,465,6.2,5533,14119,59370,476,4.2,3250,2868,22803,650,34.0,12.9,
,Avg Tm/G,,22.0,327.2,61.9,5.3,1.5,0.6,18.4,19.7,32.3,211.3,1.3,0.9,6.2,10.8,27.6,116.0,0.9,4.2,6.3,5.6,44.5,1.3,34.0,12.9,
