,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Pittsburgh Steelers,16,13.9,237.2,60.9,3.9,1.81,0.56,15.0,18.8,33.3,156.9,0.75,1.25,4.3,9.31,24.4,80.3,0.44,3.3,4.56,5.69,50.1,1.13,22.9,14.4,19.3
2,Tennessee Titans,16,14.6,293.6,63.9,4.6,1.94,0.69,17.3,21.4,35.9,199.8,0.75,1.25,5.2,10.4,25.2,93.9,0.75,3.7,5.06,5.81,46.9,1.81,23.2,15.5,12.4
3,Baltimore Ravens,16,15.3,261.1,58.0,4.5,2.13,0.50,14.3,17.3,33.0,179.7,1.06,1.63,5.1,9.50,22.9,81.4,0.25,3.6,3.63,7.13,49.5,1.13,21.5,17.4,21.2
4,Philadelphia Eagles,16,18.1,274.3,62.1,4.4,1.81,0.88,15.5,17.8,32.8,182.1,1.19,0.94,5.1,9.00,26.3,92.3,0.44,3.5,4.94,5.06,37.4,1.56,25.3,13.6,18.6
5,New York Giants,16,18.4,292.0,58.2,5.0,1.38,0.31,16.8,18.5,31.4,196.2,1.06,1.06,5.8,10.3,24.1,95.8,0.88,4.0,4.88,6.94,54.1,1.56,28.9,12.1,7.87
6,Washington Redskins,16,18.5,288.8,58.3,5.0,1.13,0.31,16.2,18.1,31.9,193.4,1.00,0.81,5.8,9.94,24.9,95.4,0.75,3.8,5.38,5.00,39.9,0.88,29.5,10.2,7.44
7,Indianapolis Colts,16,18.6,310.9,61.4,5.1,1.63,0.69,19.1,20.6,30.1,188.1,0.38,0.94,5.9,10.3,29.5,122.9,1.13,4.2,7.44,4.25,33.9,1.31,37.3,17.0,4.23
8,New England Patriots,16,19.3,309.0,57.5,5.4,1.38,0.50,16.8,18.0,29.6,201.4,1.69,0.88,6.4,11.0,25.9,107.6,0.50,4.1,4.88,5.06,39.8,0.88,30.6,12.9,3.54
9,Miami Dolphins,16,19.8,329.0,61.2,5.4,1.88,0.75,18.5,20.0,34.4,227.8,1.13,1.13,6.2,10.8,24.3,101.3,0.69,4.2,6.00,5.38,38.4,1.69,35.2,16.4,4.33
10,Tampa Bay Buccaneers,16,20.2,306.1,59.1,5.2,1.88,0.50,16.2,17.3,29.7,187.3,1.44,1.38,5.9,9.56,27.6,118.8,0.50,4.3,5.44,5.50,41.3,1.19,30.7,14.6,9.75
11,Atlanta Falcons,16,20.3,347.9,62.4,5.6,1.13,0.50,19.3,20.3,34.3,220.4,1.25,0.63,6.0,11.8,25.9,127.5,1.06,4.9,6.75,6.81,53.4,0.75,32.0,9.0,3.06
12,Carolina Panthers,16,20.6,331.2,64.1,5.2,1.56,0.81,18.5,20.8,34.8,211.7,1.19,0.75,5.7,11.1,27.0,119.5,0.88,4.4,6.25,5.50,46.0,1.13,30.8,12.4,6.43
