,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
10,Jacksonville Jaguars,16,19.0,313.8,60.6,5.2,1.88,0.63,17.9,19.9,33.9,213.5,1.25,1.25,5.9,11.3,24.4,100.3,0.75,4.1,5.75,5.13,39.8,0.81,29.2,17.0,7.86
11,Washington Redskins,16,19.4,305.3,64.1,4.8,1.50,0.63,18.2,21.9,37.6,214.0,1.25,0.88,5.4,10.9,24.4,91.3,0.63,3.7,5.56,5.50,42.8,1.75,29.5,12.4,10.5
12,Minnesota Vikings,16,19.4,338.1,66.4,5.1,1.94,1.00,19.1,25.9,40.4,264.1,1.38,0.94,6.2,13.9,23.7,74.1,0.44,3.1,4.19,6.88,47.7,1.00,29.7,16.1,9.73
13,Dallas Cowboys,16,20.3,307.6,63.0,4.9,1.81,0.63,19.0,21.4,36.3,213.1,1.19,1.19,5.4,12.2,23.8,94.6,0.75,4.0,5.38,5.31,49.1,1.44,30.8,14.8,8.26
14,Kansas City Chiefs,16,20.9,319.4,61.3,5.2,1.38,0.50,17.4,17.3,28.9,188.9,1.06,0.88,6.1,9.75,30.1,130.6,0.69,4.3,6.50,5.94,43.4,1.13,32.1,10.9,9.95
15,Carolina Panthers,16,21.7,324.8,64.5,5.0,1.88,1.00,18.9,21.1,33.6,214.1,1.38,0.88,6.1,10.9,29.5,110.7,0.81,3.8,6.25,6.25,56.5,1.75,32.3,14.6,9.47
16,Chicago Bears,16,21.8,354.7,64.8,5.5,2.06,1.06,19.1,21.4,33.8,231.8,1.19,1.00,6.4,11.6,28.4,122.9,1.06,4.3,6.25,5.75,41.9,1.25,28.5,15.0,8.62
17,New York Giants,16,21.9,305.0,61.5,5.0,1.56,0.63,18.0,19.1,32.7,207.3,1.50,0.94,5.8,11.6,25.5,97.7,0.75,3.8,5.19,7.38,54.6,1.25,29.5,12.4,7.91
18,Buffalo Bills,16,22.1,362.9,65.4,5.5,1.88,0.75,20.1,22.1,35.4,238.4,1.19,1.13,6.4,12.7,28.4,124.6,0.94,4.4,6.50,4.56,35.4,0.94,36.0,16.3,6.47
19,New York Jets,16,22.2,331.9,63.5,5.2,1.31,0.38,19.7,18.1,29.4,197.1,1.13,0.94,6.3,10.9,32.3,134.8,0.88,4.2,8.00,5.81,47.6,0.81,36.1,12.4,4.59
20,San Francisco 49ers,16,22.8,346.2,67.4,5.1,1.38,0.63,19.3,21.6,33.9,227.7,1.50,0.75,6.3,11.7,31.5,118.5,0.56,3.8,5.88,5.56,41.3,1.69,32.5,10.7,8.09
21,Cleveland Browns,16,23.9,359.6,66.6,5.4,1.69,0.63,20.9,21.3,36.1,230.1,1.81,1.06,6.1,13.2,28.8,129.5,0.50,4.5,6.25,5.00,36.3,1.50,36.9,13.4,7.19
22,Houston Texans,16,24.0,344.2,62.1,5.5,1.56,0.88,20.3,22.6,34.1,230.1,1.56,0.69,6.4,12.3,26.1,114.1,0.94,4.4,6.69,5.06,38.4,1.31,38.9,12.0,1.06
23,Baltimore Ravens,16,24.0,301.6,60.5,5.0,1.44,0.38,16.1,18.3,30.6,222.3,1.69,1.06,6.8,10.1,27.9,79.3,0.56,2.8,4.31,5.25,45.5,1.69,37.2,10.7,7.03
24,Cincinnati Bengals,16,24.1,348.8,63.2,5.5,2.19,1.00,19.6,22.1,33.8,230.4,1.81,1.19,6.6,12.5,28.1,118.3,0.69,4.2,6.13,5.50,44.5,0.94,35.9,18.8,7.48
25,New Orleans Saints,16,24.3,348.1,60.3,5.8,1.44,0.63,18.0,20.4,32.8,245.3,2.00,0.81,7.1,12.3,25.5,102.9,0.44,4.0,5.00,5.56,42.8,0.75,36.3,12.1,7.92
26,Oakland Raiders,16,24.9,341.6,59.5,5.7,1.63,0.50,18.3,16.3,27.4,195.8,1.06,1.13,6.7,9.75,30.4,145.9,1.50,4.8,7.56,6.19,45.9,0.94,34.6,12.6,1.98
27,Arizona Cardinals,16,24.9,330.2,63.3,5.2,1.81,0.69,18.6,22.6,35.6,232.3,1.63,1.13,6.1,11.6,25.4,97.9,0.81,3.9,5.63,7.38,55.1,1.44,34.9,14.6,8.47
28,Denver Broncos,16,25.6,336.0,62.0,5.4,1.88,1.00,19.1,17.4,28.6,193.4,1.56,0.88,6.3,10.5,31.3,142.6,0.88,4.6,7.44,5.13,39.3,1.19,37.5,16.5,3.00
29,Atlanta Falcons,16,25.9,355.5,65.1,5.5,1.75,0.75,20.0,21.0,33.5,228.4,1.69,1.00,6.5,11.9,30.1,127.1,0.75,4.2,6.56,5.69,50.5,1.56,35.8,13.4,3.19
30,Miami Dolphins,16,27.3,342.2,61.4,5.6,1.38,0.50,19.9,15.1,25.6,188.7,1.75,0.88,6.9,10.3,34.0,153.5,1.13,4.5,8.06,4.56,37.8,1.50,42.5,11.5,3.17
31,St. Louis Rams,16,27.4,341.1,62.4,5.5,1.69,0.56,19.8,19.9,32.7,225.8,1.56,1.13,6.5,11.9,27.8,115.3,1.00,4.1,6.56,5.94,45.8,1.31,39.8,13.1,2.99
32,Detroit Lions,16,27.8,377.6,67.9,5.6,2.19,1.13,22.7,26.4,37.6,258.2,2.00,1.06,6.5,13.8,28.0,119.4,1.19,4.3,7.25,7.06,56.1,1.63,35.2,18.1,5.48
,Avg Team,,347.0,5203.5,1004.2,5.2,28.7,12.0,297.8,325.8,532.7,3428.8,22.5,16.7,6.0,181.7,437.1,1774.7,12.1,4.1,95.6,91.6,720.1,20.5,32.1,14.5,116.7
,League Total,,11104,166512,32133,5.2,918,384,9528,10425,17045,109722,720,534,6.0,5813,13986,56790,386,4.1,3059,2932,23042,656,32.1,14.5,
,Avg Tm/G,,21.7,325.2,62.8,5.2,1.8,0.8,18.6,20.4,33.3,214.3,1.4,1.0,6.0,11.4,27.3,110.9,0.8,4.1,6.0,5.7,45.0,1.3,32.1,14.5,
