,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Indianapolis Colts,16,16.4,279.7,61.3,4.6,2.31,0.94,18.0,20.3,31.1,172.8,1.00,1.38,5.3,10.1,28.4,106.9,0.63,3.8,6.94,5.31,45.1,0.94,25.3,21.6,7.53
2,Pittsburgh Steelers,16,16.8,266.4,58.3,4.6,1.56,0.88,15.6,18.3,33.5,176.5,1.38,0.69,4.9,9.88,22.6,89.9,0.38,4.0,4.63,4.56,34.8,1.06,26.3,13.1,11.1
3,Tampa Bay Buccaneers,16,16.9,278.2,61.1,4.6,2.19,1.19,16.1,18.6,30.6,170.3,1.13,1.00,5.2,9.88,28.4,107.9,0.69,3.8,5.81,5.38,44.1,0.44,24.2,18.7,9.83
4,New England Patriots,16,17.1,288.3,58.3,4.9,1.94,0.75,17.4,19.6,32.9,190.1,1.44,1.19,5.3,10.8,22.5,98.3,0.44,4.4,5.69,6.00,47.8,0.94,24.0,16.6,7.85
5,San Diego Chargers,16,17.8,320.3,63.3,5.1,3.00,1.13,18.6,21.1,34.7,213.3,1.25,1.88,5.7,11.6,26.0,107.0,0.69,4.1,5.56,5.38,41.6,1.44,23.8,22.7,10.8
6,Seattle Seahawks,16,18.2,321.8,64.7,5.0,2.13,0.88,17.4,20.8,35.5,219.1,0.94,1.25,5.7,11.4,26.4,102.8,1.00,3.9,4.88,6.19,47.3,1.06,25.5,15.9,11.7
7,Green Bay Packers,16,18.2,313.3,62.1,5.0,1.75,0.56,18.6,18.4,33.4,210.4,1.44,1.19,5.9,11.0,26.5,102.9,0.38,3.9,4.81,7.38,56.8,2.75,29.1,13.2,8.91
8,Tennessee Titans,16,18.6,291.6,61.1,4.8,2.13,0.75,16.8,21.8,35.6,199.2,1.31,1.38,5.2,10.3,23.1,92.4,0.69,4.0,5.00,5.63,46.6,1.44,27.3,15.8,7.99
9,Philadelphia Eagles,16,18.8,311.4,61.2,5.1,1.19,0.50,17.4,19.5,33.7,215.6,1.00,0.69,6.0,11.1,25.2,95.8,0.63,3.8,5.00,5.06,38.5,1.38,30.5,10.2,7.40
