,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Seattle Seahawks,16,17.3,291.8,59.2,4.9,1.44,0.56,17.1,20.8,34.3,210.3,0.88,0.88,5.8,10.9,22.6,81.5,0.63,3.6,4.44,5.88,49.7,1.69,29.3,13.2,3.69
2,Cincinnati Bengals,16,17.4,340.8,64.5,5.3,1.75,0.44,19.2,25.9,40.4,248.5,1.13,1.31,5.8,12.6,21.5,92.3,0.50,4.3,4.63,7.25,66.4,1.94,28.9,15.0,2.56
3,Kansas City Chiefs,16,17.9,329.3,64.8,5.1,1.81,0.44,19.6,21.8,37.9,231.1,1.56,1.38,5.7,12.1,23.9,98.2,0.44,4.1,5.38,6.88,58.8,2.13,27.3,15.3,6.61
4,Denver Broncos,16,18.5,283.1,64.6,4.4,1.69,0.81,18.1,21.5,35.8,199.6,1.19,0.88,5.1,10.1,25.5,83.6,0.63,3.3,5.06,6.50,48.3,2.88,26.9,11.9,8.84
5,Minnesota Vikings,16,18.9,344.4,63.4,5.4,1.38,0.56,19.9,22.4,35.1,235.1,1.50,0.81,6.2,11.8,25.7,109.3,0.44,4.3,5.88,6.81,54.7,2.19,33.3,11.9,0.72
6,Carolina Panthers,16,19.3,322.9,66.1,4.9,2.44,0.94,18.6,24.4,40.6,234.5,1.31,1.50,5.4,12.4,22.8,88.4,0.69,3.9,4.63,6.19,51.4,1.63,26.5,19.4,7.36
7,Arizona Cardinals,16,19.6,321.7,61.4,5.2,2.06,0.88,17.8,21.4,35.8,230.4,1.50,1.19,6.1,11.1,23.3,91.3,0.56,3.9,4.94,8.13,75.1,1.75,31.7,16.7,2.18
8,Houston Texans,16,19.6,310.2,61.6,5.0,1.56,0.69,17.6,20.4,34.6,210.4,1.50,0.88,5.6,10.8,24.3,99.8,0.63,4.1,4.94,7.25,61.9,1.81,27.3,11.1,2.91
9,New York Jets,16,19.6,318.6,63.3,5.0,1.88,0.75,16.9,21.4,37.6,235.2,1.56,1.13,5.9,11.6,23.3,83.4,0.25,3.6,3.88,5.63,47.9,1.50,28.4,14.4,3.71
10,New England Patriots,16,19.7,339.4,65.1,5.2,1.31,0.56,18.9,22.6,37.3,240.8,1.50,0.75,6.0,12.8,24.8,98.6,0.50,4.0,4.81,7.00,63.3,1.38,28.9,10.5,1.70
11,Pittsburgh Steelers,16,19.9,363.1,65.9,5.5,1.88,0.81,20.4,25.1,39.1,271.9,1.81,1.06,6.5,14.4,23.9,91.2,0.38,3.8,4.44,7.56,74.9,1.56,32.3,14.3,2.32
12,Green Bay Packers,16,20.2,346.7,63.4,5.5,1.38,0.38,18.8,20.1,34.4,227.6,1.25,1.00,6.1,11.4,26.3,119.1,0.81,4.5,6.00,7.50,69.2,1.31,31.3,11.5,-0.61
13,St. Louis Rams,16,20.6,367.8,68.2,5.4,1.63,0.81,20.0,24.9,37.3,254.1,1.31,0.81,6.4,12.0,28.3,113.8,0.44,4.0,6.13,6.81,62.0,1.88,31.8,12.1,2.21
14,Atlanta Falcons,16,21.6,347.6,62.3,5.6,1.44,0.50,20.9,23.1,35.1,242.6,1.19,0.94,6.7,12.3,26.0,105.0,1.25,4.0,6.69,5.94,45.5,1.94,34.3,13.4,-1.75
15,Buffalo Bills,16,22.4,356.4,63.6,5.6,1.56,0.50,20.1,21.7,37.6,248.3,1.88,1.06,6.4,12.4,24.6,108.1,0.63,4.4,5.44,7.06,56.6,2.31,32.5,11.0,-2.05
16,Dallas Cowboys,16,23.4,347.9,62.3,5.6,0.69,0.19,19.8,20.6,31.6,227.3,1.19,0.50,6.8,10.8,28.8,120.7,1.00,4.2,7.06,7.06,56.3,2.00,36.7,5.6,-3.30
17,Washington Redskins,16,23.7,380.6,63.1,6.0,1.69,1.00,20.6,22.1,35.4,258.0,1.88,0.69,6.8,12.6,25.4,122.6,0.63,4.8,6.44,7.00,59.7,1.50,35.4,14.9,-3.46
18,San Francisco 49ers,16,24.2,387.4,67.6,5.7,0.75,0.19,22.3,23.4,34.3,261.2,1.31,0.56,7.2,12.4,31.5,126.3,1.25,4.0,8.00,7.00,57.5,1.81,37.9,6.6,-5.31
19,Miami Dolphins,16,24.3,376.2,67.3,5.6,1.00,0.19,21.9,21.9,33.9,250.0,1.94,0.81,7.0,12.7,31.4,126.2,0.81,4.0,7.00,7.56,62.8,2.25,34.0,8.4,-6.57
20,Chicago Bears,16,24.8,345.4,61.3,5.6,1.06,0.56,19.2,20.1,32.1,224.6,1.94,0.50,6.6,11.4,27.1,120.9,0.56,4.5,6.44,6.13,55.9,1.38,36.6,8.0,-4.42
21,San Diego Chargers,16,24.9,361.9,59.9,6.0,1.25,0.56,18.7,20.5,31.9,236.6,1.38,0.69,7.0,10.6,26.1,125.3,1.06,4.8,6.31,7.50,61.0,1.75,37.8,10.0,-5.07
22,Oakland Raiders,16,24.9,363.6,67.8,5.4,1.56,0.69,21.5,25.3,40.1,258.8,1.56,0.88,6.1,12.9,25.4,104.9,0.75,4.1,5.88,6.50,58.9,2.75,38.2,11.5,-2.43
23,Detroit Lions,16,25.0,349.8,62.4,5.6,1.19,0.63,19.9,22.5,33.0,236.8,1.69,0.56,6.6,11.9,26.8,113.0,1.13,4.2,6.00,6.00,49.1,2.00,38.2,9.1,-4.57
24,Baltimore Ravens,16,25.1,337.4,62.5,5.4,0.88,0.50,19.4,21.9,34.1,233.6,1.88,0.38,6.4,11.8,26.1,103.8,0.63,4.0,5.00,6.44,46.8,2.63,37.4,7.0,-4.45
25,Indianapolis Colts,16,25.5,379.1,67.0,5.7,1.56,0.50,20.7,22.1,36.6,257.1,1.81,1.06,6.6,13.1,28.3,122.0,0.88,4.3,5.56,8.31,73.0,2.00,36.6,12.4,-1.68
26,Tampa Bay Buccaneers,16,26.1,340.4,65.3,5.2,1.44,0.75,21.9,23.6,33.8,240.0,1.94,0.69,6.6,13.0,29.1,100.4,0.75,3.4,6.50,6.50,53.9,2.44,41.7,12.8,-4.99
27,Tennessee Titans,16,26.4,342.2,62.8,5.5,1.19,0.50,19.8,19.9,31.4,229.9,2.13,0.69,6.8,12.0,28.9,112.3,0.69,3.9,6.31,7.00,61.4,1.50,36.6,8.1,-3.43
28,Philadelphia Eagles,16,26.9,401.6,71.8,5.6,1.63,0.69,22.8,24.6,39.6,267.1,2.25,0.94,6.4,14.9,29.9,134.6,0.63,4.5,6.25,7.69,65.6,1.63,36.0,11.8,-4.67
29,Cleveland Browns,16,27.0,379.2,62.4,6.1,1.31,0.63,20.1,20.1,31.9,250.8,2.13,0.69,7.4,11.6,28.6,128.4,0.69,4.5,6.50,6.75,52.1,1.94,41.9,11.7,-6.00
30,New York Giants,16,27.6,420.3,69.1,6.1,1.75,0.81,22.9,26.4,39.9,298.9,1.94,0.94,7.2,14.8,27.8,121.4,0.94,4.4,6.50,7.50,67.3,1.69,40.5,14.2,-6.46
31,Jacksonville Jaguars,16,28.0,375.0,68.9,5.4,1.13,0.56,22.6,24.4,37.6,268.2,1.81,0.56,6.7,13.9,29.0,106.8,0.94,3.7,6.38,7.13,61.8,2.38,38.1,8.8,-4.73
32,New Orleans Saints,16,29.8,413.4,62.3,6.6,1.38,0.81,23.8,23.3,34.0,284.0,2.81,0.56,7.9,13.9,26.4,129.4,0.75,4.9,6.44,7.13,55.4,3.38,43.9,11.7,-11.26
,Avg Team,,365.0,5642.7,1030.4,5.5,23.3,9.7,320.9,360.2,571.8,3901.3,26.3,13.6,6.4,196.5,421.5,1741.4,11.4,4.1,92.9,110.8,942.1,31.4,34.3,11.7,-21.2
,League Total,,11680,180567,32973,5.5,746,310,10268,11527,18298,124843,842,436,6.4,6289,13488,55724,365,4.1,2973,3545,30148,1006,34.3,11.7,
,Avg Tm/G,,22.8,352.7,64.4,5.5,1.5,0.6,20.1,22.5,35.7,243.8,1.6,0.9,6.4,12.3,26.3,108.8,0.7,4.1,5.8,6.9,58.9,2.0,34.3,11.7,
