,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
21,Washington Redskins,16,22.9,339.8,61.8,5.5,1.31,0.50,18.4,19.3,31.8,222.1,1.38,0.81,6.5,11.3,27.4,117.8,0.94,4.3,5.94,7.69,62.9,1.25,37.4,10.5,3.13
22,San Diego Chargers,16,23.6,346.6,59.9,5.8,1.31,0.25,19.4,18.7,29.9,224.4,1.81,1.06,7.0,11.6,28.0,122.2,0.50,4.4,6.38,5.75,47.5,1.44,36.5,12.4,3.05
23,Detroit Lions,16,24.2,367.6,65.9,5.6,2.13,0.81,20.3,23.5,37.8,239.4,1.63,1.31,5.9,12.2,25.6,128.1,0.63,5.0,5.69,7.44,61.4,2.44,32.4,16.2,8.13
24,Denver Broncos,16,24.4,357.8,66.4,5.4,1.13,0.56,19.7,20.8,33.4,231.5,1.50,0.56,6.4,11.4,30.5,126.3,0.69,4.1,6.31,6.19,52.8,2.00,33.0,7.8,4.25
25,New York Giants,16,25.0,376.4,67.0,5.6,1.94,0.69,21.1,22.6,36.8,255.1,1.75,1.25,6.4,13.1,27.2,121.3,0.94,4.5,6.44,6.88,58.3,1.56,34.7,14.8,3.59
26,St. Louis Rams,16,25.4,358.4,64.6,5.6,1.13,0.38,19.6,18.3,30.3,206.3,1.31,0.75,6.3,10.4,31.9,152.1,1.06,4.8,7.63,6.94,59.4,1.56,35.9,8.9,0.77
27,Carolina Panthers,16,26.8,377.6,60.8,6.2,1.50,0.63,20.6,19.9,30.6,246.8,1.75,0.88,7.6,11.9,28.2,130.8,1.13,4.6,6.88,6.13,56.3,1.75,42.7,12.9,-2.86
28,Indianapolis Colts,16,26.9,370.9,66.4,5.6,1.06,0.56,21.4,21.9,30.8,227.0,1.56,0.50,7.0,12.1,33.8,143.9,1.19,4.3,8.50,5.25,50.3,0.88,39.2,9.1,4.88
29,Oakland Raiders,16,27.1,387.6,66.9,5.8,1.63,0.50,23.1,20.3,37.6,251.4,1.94,1.13,6.3,12.9,26.9,136.1,0.94,5.1,6.56,7.50,61.4,3.63,35.6,12.8,-3.19
30,Buffalo Bills,16,27.1,371.1,62.7,5.9,1.94,0.69,21.3,20.1,31.7,232.1,1.88,1.25,6.9,12.3,29.2,139.0,1.19,4.8,7.50,5.31,54.4,1.50,37.0,15.3,0.56
31,Minnesota Vikings,16,28.1,358.2,64.2,5.6,1.44,0.94,20.8,22.9,33.6,251.2,2.13,0.50,6.8,13.3,27.4,107.0,0.63,3.9,5.75,6.06,52.1,1.69,41.1,10.8,2.18
32,Tampa Bay Buccaneers,16,30.9,394.4,62.6,6.3,1.50,0.63,22.3,18.8,30.1,238.4,1.88,0.88,7.6,11.8,31.1,156.1,1.63,5.0,8.44,5.94,49.1,2.06,42.9,13.0,-2.44
,Avg Team,,354.9,5549.3,1017.8,5.5,25.3,9.5,311.3,327.0,544.1,3675.0,23.3,15.8,6.3,187.2,436.6,1874.3,12.5,4.3,96.7,102.8,867.3,27.3,32.8,12.8,90.1
,League Total,,11356,177579,32569,5.5,810,304,9960,10464,17410,117601,745,506,6.3,5991,13971,59978,400,4.3,3095,3288,27753,874,32.8,12.8,
,Avg Tm/G,,22.2,346.8,63.6,5.5,1.6,0.6,19.5,20.4,34.0,229.7,1.5,1.0,6.3,11.7,27.3,117.1,0.8,4.3,6.0,6.4,54.2,1.7,32.8,12.8,
