,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Pittsburgh Steelers,16,14.2,271.8,60.3,4.5,0.94,0.25,16.5,18.1,33.1,171.9,0.94,0.69,4.9,9.75,24.9,99.8,0.44,4.0,5.13,6.00,48.6,1.63,26.0,8.3,4.51
2,San Francisco 49ers,16,14.3,308.2,60.9,5.1,2.38,0.94,16.7,20.8,36.2,230.9,1.25,1.44,6.0,11.9,22.1,77.3,0.19,3.5,3.31,6.13,54.2,1.50,23.3,18.7,10.3
3,Baltimore Ravens,16,16.6,288.9,62.6,4.6,1.63,0.69,16.8,18.0,33.4,196.3,0.69,0.94,5.4,10.4,26.2,92.6,0.63,3.5,4.94,6.44,64.5,1.50,26.6,13.8,15.0
4,Houston Texans,16,17.4,285.7,60.0,4.8,1.69,0.63,16.9,17.4,33.6,189.7,1.13,1.06,5.2,10.4,23.6,96.0,0.50,4.1,4.56,5.50,42.9,1.94,29.8,13.8,12.9
5,Cleveland Browns,16,19.2,332.4,64.7,5.1,1.25,0.69,18.8,16.6,29.3,184.9,1.00,0.56,5.9,9.31,33.4,147.4,0.75,4.4,7.75,5.63,45.4,1.75,33.3,11.5,8.89
6,Miami Dolphins,16,19.6,345.1,65.2,5.3,1.19,0.19,19.4,21.9,36.9,249.5,1.50,1.00,6.3,12.4,25.8,95.6,0.50,3.7,5.50,7.00,60.9,1.50,29.7,8.7,7.11
7,Seattle Seahawks,16,19.7,332.2,65.6,5.1,1.94,0.56,19.4,20.3,33.9,219.9,1.13,1.38,6.1,10.9,29.6,112.3,0.63,3.8,6.00,6.00,56.7,2.50,28.6,14.8,11.2
8,Tennessee Titans,16,19.8,355.1,67.5,5.3,1.44,0.75,20.3,23.1,36.9,226.8,1.31,0.69,5.9,11.7,28.8,128.3,0.63,4.5,6.94,6.19,50.8,1.63,31.0,12.3,5.99
9,Cincinnati Bengals,16,20.2,316.3,63.1,5.0,1.38,0.75,17.8,19.9,33.7,211.6,1.31,0.63,5.8,10.6,26.6,104.7,0.88,3.9,5.88,6.31,54.9,1.25,28.5,11.0,7.83
10,Philadelphia Eagles,16,20.5,324.9,61.4,5.3,1.50,0.56,18.1,18.8,32.4,212.3,1.69,0.94,6.0,10.8,25.9,112.6,0.69,4.4,5.25,6.06,50.8,2.00,27.7,12.3,6.68
11,Jacksonville Jaguars,16,20.6,313.0,61.2,5.1,1.75,0.69,16.8,20.4,32.1,208.8,1.31,1.06,6.1,10.9,27.2,104.2,0.88,3.8,4.56,6.56,55.9,1.25,29.2,13.3,8.55
12,Kansas City Chiefs,16,21.1,333.3,61.9,5.4,1.63,0.38,18.2,16.1,28.4,201.3,1.44,1.25,6.7,10.6,31.8,132.0,0.88,4.2,6.00,6.75,52.1,1.63,31.9,13.8,6.75
13,New Orleans Saints,16,21.2,368.4,63.1,5.8,1.00,0.44,20.4,22.6,39.1,259.8,1.50,0.56,6.3,12.3,21.9,108.6,0.69,5.0,5.75,6.81,57.0,2.38,34.1,8.8,0.85
14,Chicago Bears,16,21.3,350.4,65.5,5.4,1.94,0.69,18.2,23.9,39.4,254.1,1.38,1.25,6.1,12.4,24.0,96.4,0.63,4.0,4.69,6.13,44.9,1.06,30.5,14.3,10.2
15,New England Patriots,16,21.4,411.1,66.5,6.2,2.13,0.69,23.1,24.1,38.7,293.9,1.63,1.44,7.1,15.3,25.3,117.1,0.81,4.6,6.31,7.19,56.7,1.50,32.6,17.1,5.30
16,Dallas Cowboys,16,21.7,343.2,60.8,5.6,1.56,0.63,19.1,21.0,34.1,244.1,1.50,0.94,6.7,12.4,24.1,99.1,0.63,4.1,4.88,5.31,40.6,1.75,33.3,13.3,5.09
17,Arizona Cardinals,16,21.8,355.1,68.4,5.2,1.19,0.56,20.8,21.3,36.1,231.0,1.06,0.63,6.0,10.9,29.7,124.1,0.94,4.2,7.38,7.63,59.4,2.56,32.8,9.3,9.88
18,Atlanta Falcons,16,21.9,333.6,60.3,5.5,1.81,0.63,18.3,21.3,35.0,236.6,1.56,1.19,6.4,11.6,23.3,97.0,0.63,4.2,5.44,6.31,52.7,1.19,32.2,15.0,3.22
19,Green Bay Packers,16,22.4,411.6,65.6,6.3,2.38,0.44,22.4,24.4,39.8,299.8,1.81,1.94,7.2,15.4,23.9,111.8,0.63,4.7,6.00,7.63,59.3,1.00,33.9,20.2,3.31
20,New York Jets,16,22.7,312.1,62.1,5.0,1.94,0.75,17.0,17.2,31.7,201.0,0.94,1.19,5.9,10.4,28.2,111.1,1.06,3.9,5.19,6.88,60.4,1.38,29.3,13.9,14.5
