,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
11,Carolina Panthers,16,20.4,317.1,59.6,5.3,1.31,0.69,17.6,21.9,34.4,229.1,1.56,0.63,6.1,11.7,22.1,88.1,0.44,4.0,4.31,6.31,54.2,1.63,33.9,11.7,6.38
12,Los Angeles Rams,16,20.6,339.5,63.8,5.3,1.75,0.63,18.8,20.3,34.7,217.2,1.31,1.13,5.8,11.3,26.1,122.3,0.94,4.7,5.38,6.38,50.5,2.06,30.6,14.0,6.28
13,Dallas Cowboys,16,20.8,318.1,62.5,5.1,1.31,0.69,19.5,23.2,34.9,214.1,1.75,0.63,5.7,11.3,25.2,104.0,0.44,4.1,6.00,6.69,55.0,2.19,31.6,10.5,1.87
14,Seattle Seahawks,16,20.8,323.2,65.3,4.9,1.56,0.69,19.8,20.3,34.6,209.2,1.19,0.88,5.6,11.3,28.3,114.0,0.88,4.0,5.63,6.38,54.9,2.81,33.2,11.9,7.85
15,Kansas City Chiefs,16,21.2,365.1,65.3,5.6,1.63,0.63,22.0,20.3,35.6,247.0,1.44,1.00,6.6,12.8,27.7,118.1,0.94,4.3,7.00,6.69,54.0,2.25,33.5,13.4,2.35
16,Cincinnati Bengals,16,21.8,339.1,68.2,5.0,0.88,0.19,20.3,21.0,35.1,211.2,1.25,0.69,5.6,10.8,30.6,127.9,0.81,4.2,6.94,6.63,56.6,2.56,37.0,7.6,9.97
17,Tennessee Titans,16,22.3,328.0,65.4,5.0,1.31,0.56,20.2,23.1,37.8,239.3,1.69,0.75,5.9,14.4,24.9,88.8,0.31,3.6,4.25,7.44,58.9,1.50,37.3,10.8,4.84
18,Buffalo Bills,16,22.4,355.1,66.6,5.3,1.56,0.44,21.8,23.1,35.8,230.5,0.88,1.13,6.1,12.4,29.1,124.6,1.38,4.3,7.56,6.06,54.6,1.75,37.2,13.1,5.40
19,Arizona Cardinals,16,22.6,310.8,63.0,4.9,1.31,0.38,17.7,21.4,35.3,221.3,1.50,0.94,5.9,11.7,25.4,89.5,0.75,3.5,4.25,8.06,70.5,1.75,31.5,10.5,8.94
20,Oakland Raiders,16,23.3,350.1,62.1,5.6,0.88,0.56,19.0,22.6,33.1,241.1,1.50,0.31,6.9,11.7,27.1,108.9,0.69,4.0,5.81,6.38,59.0,1.50,40.9,7.0,0.72
21,Detroit Lions,16,23.5,355.8,64.8,5.5,2.00,0.81,21.8,22.9,35.6,243.3,1.31,1.19,6.4,12.8,27.0,112.5,1.13,4.2,6.81,6.88,60.7,2.19,32.3,16.1,7.68
22,New York Jets,16,23.9,352.3,65.8,5.4,1.25,0.56,20.6,20.6,34.9,234.3,1.88,0.69,6.4,11.9,29.1,117.9,0.81,4.0,5.50,7.13,61.3,3.13,33.3,10.4,2.62
23,Denver Broncos,16,23.9,290.0,59.5,4.9,1.06,0.44,16.6,18.4,30.7,200.6,1.81,0.63,6.1,10.4,26.8,89.4,0.56,3.3,4.25,5.56,51.3,2.00,32.5,8.8,8.20
24,Tampa Bay Buccaneers,16,23.9,378.1,63.2,6.0,1.63,0.81,20.4,23.2,34.3,260.6,1.38,0.81,7.3,12.6,27.5,117.5,1.06,4.3,6.38,6.81,58.6,1.44,38.9,13.1,3.17
25,San Francisco 49ers,16,23.9,351.6,66.6,5.3,1.25,0.63,21.4,21.5,34.0,235.3,1.69,0.63,6.6,12.4,30.7,116.3,0.81,3.8,6.75,6.06,49.4,2.31,37.8,10.1,1.62
26,Green Bay Packers,16,24.0,348.9,63.4,5.5,1.38,0.69,20.7,21.8,32.1,236.8,1.88,0.69,6.9,13.2,29.0,112.1,0.63,3.9,5.94,5.88,52.0,1.56,40.2,11.5,1.02
27,New York Giants,16,24.3,373.2,65.8,5.7,1.19,0.38,19.6,21.7,35.1,252.4,2.00,0.81,6.9,11.8,29.0,120.8,0.63,4.2,6.31,7.19,57.7,1.44,35.5,9.6,5.94
28,Washington Redskins,16,24.3,347.9,65.3,5.3,1.44,0.44,19.2,19.1,33.2,213.8,1.44,1.00,6.0,10.7,29.5,134.1,0.81,4.5,6.56,6.25,55.4,1.94,35.9,11.8,7.54
29,Miami Dolphins,16,24.6,335.7,61.8,5.4,0.94,0.38,19.9,21.2,33.0,225.2,1.63,0.56,6.5,11.9,26.9,110.5,0.88,4.1,5.50,7.63,67.3,2.56,36.6,8.1,3.82
30,Indianapolis Colts,16,25.3,367.1,64.1,5.7,1.25,0.44,20.3,20.0,32.1,246.6,1.44,0.81,7.3,12.0,30.5,120.4,0.94,3.9,6.19,6.38,51.4,2.06,39.7,10.3,0.31
31,Cleveland Browns,16,25.6,328.1,64.1,5.1,0.81,0.38,19.7,22.5,32.8,230.3,1.75,0.44,6.6,11.8,29.2,97.9,0.88,3.4,5.94,6.31,56.6,1.94,36.2,6.9,0.87
32,Houston Texans,16,27.3,346.6,60.8,5.7,1.00,0.31,18.8,20.1,31.3,237.4,1.88,0.69,7.1,11.0,27.5,109.2,0.88,4.0,5.50,7.63,70.5,2.31,39.7,7.7,2.95
,Avg Team,,347.5,5345.0,1013.7,5.3,22.1,8.6,308.1,339.3,546.5,3589.7,23.2,13.4,6.1,185.0,429.8,1755.3,11.9,4.1,91.2,106.9,924.4,31.9,33.8,11.4,88.5
,League Total,,11120,171040,32438,5.3,706,276,9860,10856,17488,114870,741,430,6.1,5921,13755,56170,380,4.1,2919,3420,29580,1020,33.8,11.4,
,Avg Tm/G,,21.7,334.1,63.4,5.3,1.4,0.5,19.3,21.2,34.2,224.4,1.4,0.8,6.1,11.6,26.9,109.7,0.7,4.1,5.7,6.7,57.8,2.0,33.8,11.4,
