,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Minnesota Vikings,16,15.8,275.9,59.8,4.6,1.19,0.31,16.3,20.3,34.7,192.4,0.81,0.88,5.2,10.5,22.8,83.6,0.63,3.7,3.69,6.56,58.0,2.06,27.9,10.1,9.07
2,Jacksonville Jaguars,16,16.8,286.1,62.1,4.6,2.06,0.75,16.1,18.1,31.8,169.9,1.06,1.31,4.8,8.94,26.8,116.3,0.56,4.3,5.69,7.00,65.6,1.44,23.9,15.6,15.8
3,Los Angeles Chargers,16,17.0,328.4,62.3,5.3,1.69,0.56,17.6,20.6,32.8,197.3,1.06,1.13,5.6,9.56,26.9,131.1,0.69,4.9,6.19,6.81,62.3,1.88,28.5,15.1,7.52
4,Philadelphia Eagles,16,18.4,306.5,61.0,5.0,1.94,0.75,17.0,22.7,37.6,227.3,1.50,1.19,5.7,11.1,21.1,79.2,0.44,3.8,3.88,6.31,57.3,2.06,27.1,15.4,10.1
5,New England Patriots,16,18.5,366.0,63.9,5.7,1.13,0.38,20.3,22.9,36.9,251.3,1.50,0.75,6.4,12.8,24.4,114.8,0.38,4.7,6.13,6.94,64.7,1.44,30.2,9.9,0.76
6,Baltimore Ravens,16,18.9,325.1,65.3,5.0,2.13,0.75,18.5,20.8,35.6,213.8,1.13,1.38,5.6,11.2,27.2,111.3,0.75,4.1,5.44,6.00,50.4,1.88,29.7,17.4,11.3
7,Pittsburgh Steelers,16,19.3,306.9,58.8,5.2,1.38,0.38,16.9,18.6,31.2,201.1,1.25,1.00,5.8,9.81,24.1,105.8,0.88,4.4,5.56,6.88,65.1,1.50,30.3,12.4,1.98
8,Atlanta Falcons,16,19.7,318.4,62.1,5.1,1.00,0.50,20.2,22.6,34.6,214.3,1.38,0.50,5.8,12.3,25.1,104.1,0.56,4.1,6.06,6.44,55.0,1.81,36.0,9.1,7.97
9,Chicago Bears,16,20.0,319.1,62.7,5.1,1.38,0.88,18.6,21.4,33.1,211.0,1.13,0.50,5.9,11.3,27.0,108.1,0.63,4.0,5.31,7.38,56.9,2.06,33.1,11.2,8.12
10,New Orleans Saints,16,20.4,336.5,62.6,5.4,1.56,0.31,19.3,20.6,34.6,224.8,1.38,1.25,6.0,10.8,25.4,111.7,0.69,4.4,5.75,6.75,53.1,2.75,33.3,13.6,4.02
