,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
12,Cleveland Browns,16,20.1,309.9,62.1,5.0,1.38,0.44,17.7,18.6,31.4,177.9,0.81,0.94,5.3,10.0,28.6,132.1,0.88,4.6,6.25,8.81,68.4,1.44,34.8,11.2,8.72
13,Tennessee Titans,16,20.3,306.3,57.9,5.3,2.13,0.81,17.2,20.8,34.1,225.4,1.25,1.31,6.2,10.4,21.4,80.9,0.63,3.8,4.94,6.00,49.6,1.81,29.8,16.0,12.7
14,New Orleans Saints,16,20.4,327.1,62.3,5.2,1.69,0.81,18.6,16.5,30.3,187.1,1.25,0.88,5.8,10.3,30.0,140.1,0.75,4.7,6.81,6.31,63.3,1.50,31.0,13.0,7.17
15,Seattle Seahawks,16,20.4,327.4,66.8,4.9,1.75,0.75,19.0,21.4,35.8,217.5,1.50,1.00,5.7,11.4,28.5,109.9,0.56,3.9,5.81,6.56,51.6,1.75,30.9,14.4,8.42
16,Pittsburgh Steelers,16,20.4,298.9,60.5,4.9,1.56,0.69,16.9,18.4,30.3,190.1,1.25,0.88,5.9,9.69,28.1,108.8,0.88,3.9,5.56,6.00,44.3,1.63,28.2,12.3,11.7
17,St. Louis Rams,16,20.5,315.8,60.3,5.2,2.88,1.38,17.0,18.5,31.9,192.0,1.44,1.50,5.6,10.3,25.8,123.8,0.56,4.8,5.75,7.13,55.1,1.00,26.3,22.2,13.7
18,Jacksonville Jaguars,16,20.7,291.1,61.0,4.8,1.69,0.75,17.3,18.9,31.9,203.2,1.44,0.94,6.1,10.8,27.6,87.9,0.75,3.2,5.25,6.44,55.1,1.25,33.0,14.8,7.11
19,Kansas City Chiefs,16,20.8,356.7,65.9,5.4,2.31,0.75,20.1,20.8,35.3,210.2,1.19,1.56,5.6,11.5,28.3,146.5,1.13,5.2,7.50,5.94,48.8,1.13,29.5,17.4,3.99
20,Indianapolis Colts,16,21.0,299.3,57.1,5.2,1.88,0.94,17.4,17.3,27.8,175.6,1.13,0.94,5.9,8.63,27.3,123.8,1.19,4.5,7.31,7.69,62.8,1.50,30.1,14.8,7.85
21,San Francisco 49ers,16,21.1,308.0,61.0,5.0,2.31,0.88,18.3,19.4,32.1,202.4,1.56,1.44,5.8,10.3,26.3,105.6,0.81,4.0,6.19,4.88,45.0,1.75,29.4,16.6,7.93
22,Chicago Bears,16,21.6,309.2,62.0,5.0,1.25,0.31,18.1,20.4,32.8,192.6,1.25,0.94,5.7,9.75,28.1,116.6,0.81,4.2,6.50,5.81,46.6,1.81,34.4,9.7,5.71
23,Minnesota Vikings,16,22.1,334.8,59.7,5.6,2.19,0.44,19.8,19.4,33.2,217.3,1.06,1.75,6.1,11.6,24.2,117.4,1.38,4.9,5.88,5.63,45.0,2.25,33.7,19.1,8.47
24,Washington Redskins,16,23.3,338.3,63.4,5.3,1.88,0.81,20.3,17.8,30.2,199.7,1.44,1.06,6.3,11.0,31.5,138.6,1.25,4.4,7.63,5.94,52.2,1.69,33.0,14.4,4.74
25,Oakland Raiders,16,23.7,369.0,64.8,5.7,1.56,0.69,19.8,17.9,29.2,212.1,1.31,0.88,6.9,9.94,34.0,156.9,1.31,4.6,7.94,7.19,61.3,1.94,35.0,11.5,5.90
26,Detroit Lions,16,23.7,335.0,62.3,5.4,1.75,0.81,18.6,20.7,32.6,223.6,1.63,0.94,6.5,10.4,27.9,111.4,0.88,4.0,6.56,7.44,59.6,1.69,30.2,13.5,6.70
27,Houston Texans,16,23.8,380.1,65.9,5.8,1.38,0.50,21.0,18.6,31.4,232.0,1.38,0.88,7.1,11.2,33.3,148.1,0.94,4.4,8.13,6.00,47.9,1.69,35.3,11.4,5.97
28,Cincinnati Bengals,16,24.0,351.3,62.4,5.6,1.50,0.63,20.0,18.6,31.8,212.6,1.44,0.88,6.3,11.1,28.8,138.6,1.13,4.8,7.44,6.75,57.6,1.50,38.1,13.3,2.50
29,New York Giants,16,24.2,332.5,66.3,5.0,1.38,0.75,19.6,19.3,32.4,213.3,1.56,0.63,6.0,11.1,31.0,119.3,0.75,3.8,6.38,7.38,61.4,2.13,32.3,10.4,5.34
30,Atlanta Falcons,16,26.4,381.8,65.2,5.9,1.94,1.00,20.8,20.2,31.8,237.5,1.75,0.94,7.0,11.7,31.2,144.3,1.31,4.6,7.63,8.13,62.6,1.50,33.5,14.8,6.31
31,San Diego Chargers,16,27.6,349.6,67.0,5.2,1.25,0.44,20.4,20.1,32.8,210.9,2.25,0.81,6.1,11.1,32.4,138.6,0.75,4.3,7.75,6.88,62.9,1.50,37.7,9.9,2.07
32,Arizona Cardinals,16,28.3,344.0,62.1,5.5,1.44,0.63,20.4,19.4,31.1,224.3,1.81,0.81,6.9,11.5,29.7,119.7,1.06,4.0,7.50,5.38,47.1,1.38,36.8,12.4,-0.13
,Avg Team,,333.3,5092.8,1002.9,5.1,28.5,11.7,292.7,303.0,515.4,3207.1,20.4,16.8,5.8,165.8,453.4,1885.7,13.3,4.2,101.6,105.6,875.8,25.3,30.4,14.0,142.1
,League Total,,10666,162969,32093,5.1,911,373,9367,9695,16493,102628,654,538,5.8,5304,14508,60341,427,4.2,3252,3378,28026,811,30.4,14.0,
,Avg Tm/G,,20.8,318.3,62.7,5.1,1.8,0.7,18.3,18.9,32.2,200.4,1.3,1.1,5.8,10.4,28.3,117.9,0.8,4.2,6.4,6.6,54.7,1.6,30.4,14.0,
