,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,New England Patriots,16,14.9,291.6,66.3,4.4,2.56,0.75,18.3,20.5,38.6,202.0,0.69,1.81,4.9,11.1,25.1,89.6,0.63,3.6,5.69,6.69,52.8,1.56,23.0,19.5,17.5
2,Dallas Cowboys,16,16.3,253.5,58.6,4.3,1.56,0.75,14.3,14.9,30.8,164.4,1.13,0.81,5.0,7.94,25.8,89.1,0.44,3.5,4.25,5.50,47.7,2.06,23.4,11.2,11.7
3,Miami Dolphins,16,16.3,299.2,63.4,4.7,2.25,0.88,17.7,19.9,33.1,208.4,0.75,1.38,5.8,10.7,27.6,90.8,0.69,3.3,5.13,6.13,47.9,1.88,25.3,17.0,12.9
4,Tampa Bay Buccaneers,16,16.5,279.1,60.1,4.6,2.06,0.81,15.6,17.1,29.7,169.4,1.00,1.25,5.3,8.75,28.2,109.8,0.38,3.9,5.56,6.50,51.1,1.25,25.4,16.4,14.2
5,Buffalo Bills,16,17.4,269.6,63.1,4.3,1.13,0.50,16.9,17.8,31.8,169.2,1.13,0.63,5.0,9.56,29.0,100.4,0.69,3.5,5.75,6.88,62.3,1.56,26.9,9.3,13.0
6,Baltimore Ravens,16,17.6,271.3,64.1,4.2,2.56,1.06,15.5,18.5,33.2,175.3,1.19,1.50,4.9,9.00,28.0,96.0,0.38,3.4,4.88,6.63,58.4,1.63,24.3,16.5,18.1
7,Philadelphia Eagles,16,17.9,331.7,66.1,5.0,1.63,0.81,19.1,21.1,34.9,202.3,1.06,0.81,5.4,10.7,28.8,129.4,0.81,4.5,7.25,8.06,69.1,1.19,27.8,13.4,10.6
8,New York Jets,16,18.7,332.4,64.5,5.2,1.25,0.56,19.8,17.6,28.4,189.1,0.88,0.69,6.2,10.5,33.9,143.4,1.06,4.2,8.38,4.94,38.8,0.88,30.4,11.9,5.47
9,Denver Broncos,16,18.8,277.1,56.9,4.9,1.25,0.69,15.1,16.6,30.9,176.8,1.06,0.56,5.3,8.81,23.7,100.3,0.69,4.2,4.81,8.56,64.4,1.44,28.6,10.3,10.2
10,Carolina Panthers,16,19.0,295.3,62.3,4.7,1.63,0.63,17.1,18.7,32.6,187.7,1.19,1.00,5.3,10.1,27.1,107.6,0.63,4.0,5.19,6.94,63.2,1.88,26.3,12.6,14.2
11,Green Bay Packers,16,19.2,318.8,64.8,4.9,2.00,0.69,18.0,20.4,36.8,212.5,1.13,1.31,5.5,10.8,25.8,106.3,0.63,4.1,5.69,6.06,47.9,1.56,29.6,15.3,13.6
