,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
11,Green Bay Packers,16,21.0,336.8,64.6,5.2,1.44,0.31,19.3,19.6,35.5,218.3,1.50,1.13,5.7,11.9,26.1,118.5,0.75,4.5,5.19,7.69,65.9,2.13,33.2,11.8,5.08
12,Baltimore Ravens,16,21.5,350.9,67.9,5.2,1.56,0.75,20.4,20.9,34.8,228.1,0.94,0.81,6.1,11.7,30.8,122.8,0.94,4.0,6.56,6.69,58.1,2.13,34.9,12.0,8.26
13,New York Giants,16,21.5,383.4,63.5,6.0,2.19,0.88,19.8,21.3,33.4,254.3,1.63,1.31,7.2,12.3,28.1,129.1,0.56,4.6,6.50,6.38,56.3,1.06,35.4,17.1,4.05
14,Minnesota Vikings,16,21.8,350.0,67.7,5.2,1.38,0.75,21.6,24.4,38.3,244.3,1.75,0.63,6.0,14.3,26.7,105.8,0.63,4.0,5.13,6.94,59.3,2.13,33.7,11.8,3.51
15,St. Louis Rams,16,21.8,342.6,65.1,5.3,1.31,0.25,20.4,22.6,34.2,225.1,1.00,1.06,6.0,12.3,27.6,117.5,1.13,4.3,6.69,5.63,47.4,1.44,34.6,10.8,5.35
16,San Diego Chargers,16,21.9,326.4,63.3,5.2,1.75,0.88,19.8,21.7,35.5,230.1,1.75,0.88,6.1,12.6,25.4,96.4,0.63,3.8,5.31,6.38,49.9,1.88,31.3,13.7,6.66
17,Arizona Cardinals,16,22.3,337.8,65.1,5.2,2.06,0.69,18.0,16.9,31.1,200.8,1.25,1.38,6.0,10.0,31.6,137.0,0.75,4.3,6.69,6.25,50.6,1.31,27.0,14.2,10.6
18,Carolina Panthers,16,22.7,333.1,63.1,5.3,1.44,0.75,20.4,23.2,34.7,223.0,1.38,0.69,6.0,12.3,26.0,110.1,0.69,4.2,6.13,5.38,44.4,2.00,38.6,11.9,2.56
19,Cleveland Browns,16,23.0,363.8,68.4,5.3,1.81,0.75,21.6,23.6,37.5,245.2,1.69,1.06,6.1,12.7,28.6,118.6,0.88,4.2,6.50,7.50,63.0,2.38,30.7,14.6,5.24
20,New York Jets,16,23.4,323.4,63.7,5.1,1.44,0.75,18.3,16.6,30.9,189.8,1.25,0.69,5.8,10.1,30.9,133.6,1.06,4.3,6.00,6.81,50.3,2.25,30.6,11.4,5.25
21,Indianapolis Colts,16,24.2,374.3,62.2,6.0,0.94,0.19,20.3,20.9,33.4,236.8,1.44,0.75,6.7,11.9,26.8,137.5,0.88,5.1,6.38,8.00,75.5,2.06,38.3,8.3,-2.55
22,Washington Redskins,16,24.3,377.7,64.4,5.9,1.94,0.63,21.3,24.6,39.8,281.9,1.94,1.31,6.8,13.9,22.7,95.8,0.69,4.2,5.56,6.25,50.7,1.75,38.3,16.9,4.19
23,Tampa Bay Buccaneers,16,24.6,379.9,64.4,5.9,1.63,0.50,20.6,25.6,39.2,297.4,1.88,1.13,7.3,14.1,23.6,82.5,0.81,3.5,4.69,6.44,53.2,1.75,32.8,12.5,1.18
24,Dallas Cowboys,16,25.0,355.4,61.6,5.8,1.00,0.56,19.8,20.0,31.9,230.3,1.38,0.44,6.8,12.2,27.6,125.2,1.06,4.5,5.75,5.56,45.4,1.88,38.9,8.0,2.60
25,Kansas City Chiefs,16,26.6,356.5,60.8,5.9,0.81,0.38,18.8,17.4,29.0,220.8,1.81,0.44,7.2,11.0,30.1,135.7,0.69,4.5,6.63,5.06,41.9,1.19,40.4,6.2,-1.05
26,Buffalo Bills,16,27.2,362.9,65.1,5.6,1.31,0.56,21.8,19.1,33.5,217.1,1.56,0.75,6.1,11.4,29.4,145.8,1.44,5.0,8.50,5.00,43.3,1.94,37.1,10.8,-1.70
27,Detroit Lions,16,27.3,341.1,62.4,5.5,1.06,0.38,19.1,21.6,34.0,223.1,1.63,0.69,6.2,10.4,26.3,118.1,0.81,4.5,6.69,5.81,49.3,1.94,36.8,8.4,2.16
28,Oakland Raiders,16,27.7,354.5,62.2,5.7,1.19,0.50,19.0,21.7,32.9,235.9,1.75,0.69,6.9,11.3,27.8,118.6,1.13,4.3,5.94,6.31,57.8,1.81,41.2,9.1,0.41
29,Philadelphia Eagles,16,27.8,343.2,62.1,5.5,0.81,0.31,19.8,18.3,30.3,216.9,2.06,0.50,6.7,11.1,29.9,126.3,0.69,4.2,6.75,7.38,62.3,1.94,39.0,6.6,0.41
30,Jacksonville Jaguars,16,27.8,380.5,68.8,5.5,1.44,0.69,22.8,21.3,33.4,239.5,1.31,0.75,6.9,12.1,34.1,141.0,1.19,4.1,8.31,6.31,51.3,2.31,39.8,11.0,-1.16
31,New Orleans Saints,16,28.4,440.1,68.1,6.5,1.63,0.69,23.8,23.1,37.6,292.6,1.94,0.94,7.4,14.8,28.6,147.6,1.13,5.2,7.25,6.38,52.2,1.75,39.6,13.0,-1.51
32,Tennessee Titans,16,29.4,374.9,67.9,5.5,1.50,0.31,22.4,23.4,35.3,247.8,1.94,1.19,6.6,13.1,30.2,127.2,1.00,4.2,7.63,5.38,44.8,1.63,39.8,12.6,1.39
,Avg Team,,364.1,5555.2,1027.6,5.4,24.9,10.3,317.6,338.5,555.9,3700.6,23.7,14.6,6.2,191.9,435.2,1854.7,12.5,4.3,96.9,100.4,850.7,28.8,33.7,12.5,69.0
,League Total,,11651,177767,32882,5.4,797,329,10162,10833,17788,118418,757,468,6.2,6141,13925,59349,401,4.3,3101,3213,27221,920,33.7,12.5,
,Avg Tm/G,,22.8,347.2,64.2,5.4,1.6,0.6,19.8,21.2,34.7,231.3,1.5,0.9,6.2,12.0,27.2,115.9,0.8,4.3,6.1,6.3,53.2,1.8,33.7,12.5,
