,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Seattle Seahawks,16,15.3,306.2,60.5,5.1,1.94,0.81,18.4,20.4,35.3,203.1,0.94,1.13,5.4,11.6,23.0,103.1,0.50,4.5,5.00,6.38,56.4,1.81,27.2,16.0,8.36
2,San Francisco 49ers,16,17.1,294.4,63.3,4.7,1.56,0.69,17.8,21.1,35.4,200.2,1.19,0.88,5.3,11.1,25.4,94.2,0.44,3.7,4.50,5.81,47.4,2.13,26.7,12.8,7.18
3,Chicago Bears,16,17.3,315.6,63.8,4.9,2.75,1.25,17.9,21.9,37.0,213.9,1.19,1.50,5.4,11.6,24.3,101.7,0.38,4.2,4.69,4.88,44.0,1.56,25.1,20.5,12.9
4,Denver Broncos,16,18.1,290.8,63.4,4.6,1.50,0.50,17.9,20.1,34.9,199.6,1.56,1.00,5.2,11.4,25.3,91.1,0.31,3.6,4.56,7.69,59.4,1.94,26.9,11.9,8.78
5,Atlanta Falcons,16,18.7,365.6,61.9,5.9,1.94,0.69,18.6,21.1,34.4,242.4,0.88,1.25,6.7,11.8,25.7,123.2,1.00,4.8,6.19,5.19,40.1,0.63,31.7,17.2,2.55
6,Pittsburgh Steelers,16,19.6,275.8,59.4,4.6,1.25,0.63,17.1,18.7,32.7,185.2,1.19,0.63,5.3,10.6,24.4,90.6,0.56,3.7,4.88,6.25,55.1,1.63,30.8,10.4,3.93
7,Miami Dolphins,16,19.8,356.8,67.1,5.3,1.00,0.38,20.0,22.1,37.5,248.4,1.13,0.63,6.2,13.4,26.9,108.4,0.63,4.0,4.94,7.56,65.3,1.63,32.2,8.2,8.43
8,Cincinnati Bengals,16,20.0,319.7,64.6,4.9,1.88,1.00,19.2,21.6,35.0,212.5,1.00,0.88,5.6,11.4,26.4,107.2,0.81,4.1,6.19,5.63,48.7,1.56,29.3,14.1,12.0
9,Houston Texans,16,20.7,323.3,63.4,5.1,1.81,0.88,18.3,19.3,36.3,225.8,1.81,0.94,5.8,10.4,24.4,97.5,0.31,4.0,5.88,5.63,53.9,1.94,28.0,14.5,7.78
10,New England Patriots,16,20.7,373.3,65.4,5.7,2.56,1.31,21.3,23.1,37.1,271.4,1.69,1.25,6.9,12.9,25.9,101.9,0.63,3.9,6.25,6.31,58.3,2.06,30.1,20.4,5.20
