,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Baltimore Ravens,16,12.6,264.1,58.5,4.5,2.50,0.75,14.8,17.4,31.8,188.2,1.00,1.75,5.3,9.44,22.9,75.9,0.31,3.3,3.69,4.94,36.3,1.63,19.5,20.0,20.6
2,New England Patriots,16,14.8,294.4,59.4,5.0,2.19,0.81,16.5,18.4,32.4,200.2,0.63,1.38,5.7,10.3,24.3,94.2,0.69,3.9,4.19,6.38,57.4,2.06,23.6,18.7,10.6
3,Chicago Bears,16,15.9,294.1,63.9,4.6,2.75,1.25,16.1,20.5,36.3,194.8,1.13,1.50,5.0,9.94,25.1,99.4,0.44,4.0,4.81,8.25,67.8,1.38,20.6,19.6,18.1
4,Jacksonville Jaguars,16,17.1,283.6,61.1,4.6,1.50,0.25,16.2,18.4,32.7,192.4,0.75,1.25,5.5,8.94,26.3,91.3,0.88,3.5,5.88,5.00,42.8,1.38,23.0,12.8,8.24
5,Miami Dolphins,16,17.7,289.1,62.8,4.6,1.69,1.19,16.7,17.4,31.1,187.9,1.38,0.50,5.5,10.4,28.8,101.1,0.44,3.5,4.50,5.69,45.3,1.81,27.1,12.8,8.87
6,New York Jets,16,18.4,331.6,63.8,5.2,1.56,0.56,19.5,19.8,33.3,201.4,1.19,1.00,5.7,11.3,28.3,130.3,0.88,4.6,6.94,6.56,52.7,1.25,28.0,13.7,7.46
7,San Diego Chargers,16,18.9,301.6,61.6,4.9,1.75,0.75,17.8,19.2,33.6,200.8,1.19,1.00,5.4,11.1,24.1,100.8,0.81,4.2,5.44,5.44,46.9,1.25,28.8,13.6,12.3
8,Carolina Panthers,16,19.1,296.1,61.9,4.8,1.38,0.50,16.7,18.2,31.3,187.5,1.38,0.88,5.5,9.31,28.1,108.6,0.63,3.9,6.00,5.56,45.9,1.38,28.7,10.8,8.18
9,Denver Broncos,16,19.1,326.3,63.8,5.1,1.88,0.81,18.2,20.4,33.6,212.9,0.81,1.06,5.9,11.4,27.9,113.3,0.81,4.1,6.06,6.06,49.1,0.69,32.6,14.7,12.4
10,Buffalo Bills,16,19.4,329.6,64.3,5.1,1.50,0.69,18.6,20.3,32.1,188.7,1.13,0.81,5.5,10.5,29.8,140.9,0.88,4.7,7.31,5.63,44.3,0.81,28.9,11.8,8.55
11,Pittsburgh Steelers,16,19.7,300.3,61.0,4.9,1.81,0.56,16.8,19.9,33.1,212.1,1.31,1.25,6.0,11.0,25.5,88.3,0.56,3.5,4.50,6.50,53.9,1.31,27.7,15.4,11.1
12,Kansas City Chiefs,16,19.7,328.9,62.4,5.3,1.88,0.94,18.6,19.6,31.6,208.4,1.13,0.94,6.2,10.7,28.8,120.5,0.88,4.2,6.81,5.31,44.3,1.13,31.9,14.8,9.87
13,New Orleans Saints,16,20.1,307.3,58.1,5.3,1.19,0.50,16.4,16.7,29.6,178.4,1.63,0.69,5.6,9.25,26.1,128.9,0.63,4.9,6.00,5.56,42.1,1.13,26.5,9.0,6.80
14,Minnesota Vikings,16,20.4,300.2,61.1,4.9,2.25,0.94,17.0,22.2,37.4,238.6,0.94,1.31,6.1,12.0,21.8,61.6,0.56,2.8,3.31,7.00,56.2,1.69,30.2,16.7,12.2
15,Atlanta Falcons,16,20.5,332.8,62.1,5.4,1.63,0.88,19.6,20.1,32.2,229.3,1.25,0.75,6.6,11.4,27.6,103.6,0.88,3.7,6.06,6.19,49.9,2.06,31.8,13.4,6.49
16,Philadelphia Eagles,16,20.5,328.1,65.9,5.0,1.81,0.63,19.6,19.3,32.8,191.7,1.06,1.19,5.4,9.63,30.6,136.4,0.75,4.5,7.88,6.00,49.7,2.13,30.1,15.1,10.8
17,Cincinnati Bengals,16,20.7,355.1,64.9,5.5,1.94,0.75,21.1,21.8,34.7,238.6,1.50,1.19,6.5,12.9,28.0,116.4,0.94,4.2,6.81,6.06,52.3,1.38,30.6,14.5,4.93
18,Oakland Raiders,16,20.8,284.8,61.6,4.6,1.44,0.31,16.7,15.3,25.6,150.8,1.06,1.13,5.4,8.56,33.9,134.0,0.94,4.0,6.69,5.31,41.6,1.44,33.3,11.6,10.7
19,Seattle Seahawks,16,21.3,330.3,61.6,5.4,1.63,0.88,17.3,18.7,31.5,203.5,1.44,0.75,6.0,10.0,27.6,126.8,0.75,4.6,6.38,7.38,59.4,0.94,29.6,11.7,8.31
20,Dallas Cowboys,16,21.9,322.8,60.9,5.3,1.94,0.81,18.4,18.8,31.9,219.1,1.56,1.13,6.4,11.2,26.8,103.7,0.75,3.9,5.50,5.81,55.9,1.69,32.2,15.3,6.58
21,Tampa Bay Buccaneers,16,22.1,329.4,63.4,5.2,1.25,0.56,18.8,18.8,30.8,209.6,1.63,0.69,6.5,10.9,31.1,119.8,0.69,3.9,6.75,5.19,41.1,1.13,31.7,10.2,5.74
22,Cleveland Browns,16,22.3,344.7,65.1,5.3,1.69,0.56,18.9,17.7,31.2,202.6,1.25,1.13,6.2,11.1,32.1,142.1,0.88,4.4,6.69,5.25,42.4,1.13,31.1,14.0,5.84
23,Indianapolis Colts,16,22.5,332.3,59.9,5.5,1.63,0.69,20.3,16.6,25.9,159.3,1.00,0.94,5.8,9.38,32.4,173.0,1.25,5.3,9.38,5.38,41.7,1.56,38.5,16.7,5.82
24,New York Giants,16,22.6,342.4,66.1,5.2,1.75,0.69,19.6,20.8,35.4,228.1,1.31,1.06,6.1,11.8,28.6,114.4,1.19,4.0,6.63,6.06,48.2,1.19,33.2,15.0,8.07
25,Green Bay Packers,16,22.9,320.9,62.6,5.1,2.06,0.63,18.2,17.9,32.2,206.8,1.56,1.44,5.9,10.6,27.6,114.1,0.75,4.1,5.94,6.06,44.4,1.69,31.8,16.4,7.75
26,Houston Texans,16,22.9,337.5,61.2,5.5,1.38,0.69,19.5,20.5,31.6,215.3,1.38,0.69,6.5,10.9,27.9,122.3,1.00,4.4,7.19,6.00,49.5,1.44,37.5,13.1,4.01
27,Washington Redskins,16,23.5,355.5,62.3,5.7,0.75,0.38,18.8,18.1,30.4,218.2,1.88,0.38,6.9,10.6,30.8,137.3,0.56,4.5,6.50,5.88,53.5,1.75,38.5,5.6,0.95
28,St. Louis Rams,16,23.8,335.1,60.1,5.6,2.00,0.94,19.6,16.6,28.2,189.7,1.31,1.06,6.3,10.3,29.8,145.4,1.31,4.9,7.56,5.75,52.2,1.75,34.7,17.0,4.57
29,Arizona Cardinals,16,24.3,349.4,63.6,5.5,2.06,1.06,20.7,20.1,32.6,230.9,1.31,1.00,6.6,11.6,28.6,118.6,1.00,4.1,7.13,5.94,50.9,1.94,37.6,18.2,9.31
30,Detroit Lions,16,24.9,345.6,64.6,5.4,1.88,1.13,19.9,21.2,31.9,220.0,1.38,0.75,6.5,11.4,30.8,125.6,1.13,4.1,6.94,6.38,54.3,1.56,37.8,15.1,3.17
31,Tennessee Titans,16,25.0,369.7,66.4,5.6,1.75,0.69,20.6,20.9,33.1,225.1,1.50,1.06,6.5,11.3,31.6,144.6,1.25,4.6,7.56,6.38,56.6,1.69,37.6,13.2,2.29
32,San Francisco 49ers,16,25.8,344.2,64.1,5.4,1.69,0.81,20.4,20.7,32.4,223.2,1.56,0.88,6.5,11.8,29.6,121.0,1.13,4.1,6.69,5.44,43.9,1.88,39.0,13.9,4.25
,Avg Team,,330.5,5153.8,1000.0,5.2,28.0,11.8,293.9,306.1,512.2,3276.9,20.3,16.3,6.0,170.4,451.5,1876.9,13.3,4.2,99.8,95.2,786.2,23.6,30.9,14.2,132.3
,League Total,,10577,164922,32000,5.2,897,377,9404,9796,16389,104861,648,520,6.0,5454,14447,60061,424,4.2,3195,3045,25157,755,30.9,14.2,
,Avg Tm/G,,20.7,322.1,62.5,5.2,1.8,0.7,18.4,19.1,32.0,204.8,1.3,1.0,6.0,10.7,28.2,117.3,0.8,4.2,6.2,5.9,49.1,1.5,30.9,14.2,
