,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Pittsburgh Steelers,16,15.7,258.4,55.1,4.7,2.00,0.81,15.5,16.8,30.3,177.2,0.88,1.19,5.4,9.13,22.3,81.2,0.50,3.6,4.94,6.50,54.7,1.44,25.9,17.2,12.6
2,Philadelphia Eagles,16,16.3,319.7,64.9,4.9,1.75,0.69,18.7,20.9,34.4,200.8,1.00,1.06,5.4,10.3,27.6,118.9,0.81,4.3,6.31,7.44,62.6,2.06,25.1,13.1,9.88
3,New England Patriots,16,16.3,310.8,61.8,5.0,2.25,1.00,18.1,19.7,33.6,212.5,1.13,1.25,5.8,11.1,25.3,98.3,0.56,3.9,5.19,7.38,63.4,1.88,24.0,20.0,15.3
4,New York Jets,16,16.3,304.9,60.4,5.0,2.06,0.88,17.6,18.1,31.1,207.0,1.31,1.19,6.2,10.6,27.0,97.9,0.50,3.6,5.44,5.38,45.0,1.63,25.3,16.9,11.3
5,Washington Redskins,16,16.6,267.6,60.9,4.4,1.63,0.50,15.7,18.4,32.2,186.1,1.06,1.13,5.4,9.56,26.2,81.5,0.44,3.1,4.19,6.06,49.8,1.94,20.7,12.6,12.7
6,Baltimore Ravens,16,16.8,300.2,63.1,4.8,2.13,0.81,17.0,17.3,31.3,195.1,0.88,1.31,5.8,9.88,29.3,105.1,0.56,3.6,5.50,6.31,49.8,1.63,24.6,16.6,16.7
7,Jacksonville Jaguars,16,17.5,320.9,60.8,5.3,1.75,0.75,18.1,19.1,31.1,209.8,1.13,1.00,6.3,11.3,27.4,111.1,0.44,4.1,5.19,7.38,60.4,1.63,26.4,16.1,5.39
8,Buffalo Bills,16,17.8,264.3,61.1,4.3,2.44,0.94,16.1,16.3,30.4,164.0,1.25,1.50,4.9,9.38,27.9,100.3,0.38,3.6,4.94,7.50,54.1,1.81,27.6,19.3,15.9
9,Denver Broncos,16,19.0,278.7,57.4,4.9,1.25,0.50,14.7,17.0,30.3,184.2,1.06,0.75,5.6,8.13,24.8,94.5,1.00,3.8,5.19,7.50,66.4,1.38,28.1,9.9,7.88
10,Tampa Bay Buccaneers,16,19.0,284.5,60.1,4.7,1.69,0.69,16.1,15.4,27.3,161.2,1.31,1.00,5.4,8.19,30.0,123.3,0.50,4.1,6.31,7.00,56.1,1.63,26.2,13.4,13.5
11,San Diego Chargers,16,19.6,335.0,61.9,5.4,2.06,0.63,20.0,23.3,37.9,253.3,1.19,1.44,6.4,12.5,22.2,81.7,0.94,3.7,4.94,6.81,58.8,2.56,29.5,17.5,4.16
12,Arizona Cardinals,16,20.1,321.3,62.1,5.2,1.88,0.94,17.6,16.9,31.6,189.8,1.13,0.94,5.6,9.56,28.1,131.6,0.75,4.7,6.31,8.69,70.1,1.75,27.1,14.8,10.2
13,Chicago Bears,16,20.7,336.9,65.4,5.2,1.81,0.75,18.9,17.9,32.2,208.8,1.44,1.06,6.1,10.3,31.0,128.1,0.56,4.1,6.81,7.50,57.1,1.75,26.9,13.4,12.5
14,Atlanta Falcons,16,21.1,325.4,62.4,5.2,2.00,0.81,19.4,20.5,32.3,220.4,1.19,1.19,6.2,11.4,27.1,105.1,1.25,3.9,6.69,8.06,58.1,1.25,29.7,16.8,8.34
15,Carolina Panthers,16,21.2,336.4,63.8,5.3,2.38,0.75,19.2,18.9,32.1,217.4,1.13,1.63,6.4,11.1,29.6,119.0,1.19,4.0,6.13,7.31,67.4,2.00,30.5,19.8,9.31
16,Houston Texans,16,21.2,341.1,60.7,5.6,1.88,0.50,19.0,21.5,33.1,225.9,2.00,1.38,6.5,12.1,26.1,115.2,0.25,4.4,5.56,7.69,61.2,1.31,32.6,16.9,6.13
17,New York Giants,16,21.7,324.2,62.8,5.2,1.75,0.88,19.4,18.3,29.2,189.4,1.75,0.88,6.0,10.6,31.1,134.8,0.81,4.3,7.00,7.50,62.9,1.75,31.9,14.7,4.50
18,Detroit Lions,16,21.9,337.6,66.9,5.0,1.50,0.63,20.0,20.5,33.4,219.6,1.81,0.88,6.1,10.4,31.1,117.9,0.63,3.8,7.38,7.13,61.0,2.19,29.6,12.2,5.58
19,Indianapolis Colts,16,21.9,370.6,65.1,5.7,2.25,1.06,20.7,22.8,34.8,243.3,1.63,1.19,6.5,13.1,27.5,127.3,0.75,4.6,6.44,7.25,54.8,1.19,35.4,18.5,3.17
20,Miami Dolphins,16,22.1,305.9,63.1,4.9,1.56,0.63,17.6,15.3,27.1,162.0,1.25,0.94,5.5,8.69,33.7,143.9,0.75,4.3,6.69,6.69,53.3,2.19,25.4,11.2,9.91
