,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
21,Cincinnati Bengals,16,23.3,335.3,64.4,5.2,2.25,1.00,18.9,19.6,32.5,206.4,1.44,1.25,5.9,9.88,29.6,128.9,0.69,4.4,7.69,6.63,55.4,1.38,31.8,16.4,10.6
22,Seattle Seahawks,16,23.3,351.3,65.4,5.4,2.19,0.75,19.4,21.3,34.9,224.4,1.50,1.44,6.0,11.9,28.3,126.9,1.06,4.5,6.38,5.69,46.8,1.13,35.2,18.1,5.48
23,Green Bay Packers,16,23.8,346.3,60.4,5.7,0.94,0.44,19.2,19.6,32.4,228.9,2.06,0.50,6.6,11.3,25.6,117.4,0.75,4.6,5.75,7.00,58.9,2.13,34.3,7.7,1.30
24,Cleveland Browns,16,24.4,325.9,64.0,5.1,1.75,0.81,19.2,17.3,28.8,181.3,1.06,0.94,5.9,9.00,33.3,144.6,1.38,4.3,8.81,6.81,55.6,1.38,32.3,12.3,6.54
25,St. Louis Rams,16,24.5,334.6,62.9,5.3,0.94,0.56,19.4,18.3,30.8,198.4,1.50,0.38,6.0,10.8,30.0,136.2,0.81,4.5,7.38,6.81,51.7,1.31,37.6,7.7,1.47
26,Minnesota Vikings,16,24.7,368.9,63.6,5.8,1.38,0.69,21.9,21.1,34.0,243.5,1.88,0.69,6.7,13.8,27.2,125.4,0.94,4.6,6.88,6.88,60.9,1.25,41.6,13.3,0.05
27,New Orleans Saints,16,25.3,383.8,66.7,5.8,2.06,1.25,21.4,20.3,34.1,243.0,1.50,0.81,6.7,12.1,30.3,140.8,1.00,4.6,7.38,7.44,60.3,2.00,36.6,16.5,1.26
28,Dallas Cowboys,16,25.3,330.3,60.0,5.5,1.38,0.56,18.6,19.4,31.4,220.1,1.94,0.81,6.6,11.3,26.6,110.3,0.88,4.2,5.50,6.50,54.9,1.81,35.7,10.8,3.01
29,Kansas City Chiefs,16,27.2,377.3,60.0,6.3,1.31,0.50,20.4,19.5,32.6,262.7,2.00,0.81,7.5,11.9,24.8,114.6,1.13,4.6,6.06,7.31,59.8,2.50,38.8,10.9,0.41
30,Tennessee Titans,16,27.4,357.8,61.1,5.9,1.88,0.75,19.9,20.8,32.8,237.9,1.81,1.13,6.8,11.8,26.3,119.8,1.13,4.6,6.19,5.94,48.4,1.88,36.5,14.6,1.59
31,Oakland Raiders,16,27.6,371.0,67.0,5.5,1.13,0.56,22.9,19.7,31.9,245.3,1.88,0.56,7.3,13.1,33.6,125.8,1.31,3.7,7.19,6.38,52.3,2.63,37.2,9.8,0.25
32,San Francisco 49ers,16,28.3,342.6,63.4,5.4,1.31,0.75,20.1,19.3,30.6,217.9,1.69,0.56,6.7,11.2,30.9,124.7,1.38,4.0,7.56,6.69,54.2,1.38,37.9,9.7,2.28
,Avg Team,,343.8,5234.6,999.3,5.2,28.3,11.9,300.4,305.4,511.1,3368.7,22.9,16.4,6.1,172.6,450.9,1865.9,13.0,4.1,99.9,111.6,912.9,27.8,30.8,14.3,114.5
,League Total,,11000,167506,31978,5.2,904,380,9613,9772,16354,107797,732,524,6.1,5524,14428,59709,416,4.1,3198,3570,29214,891,30.8,14.3,
,Avg Tm/G,,21.5,327.2,62.5,5.2,1.8,0.7,18.8,19.1,31.9,210.5,1.4,1.0,6.1,10.8,28.2,116.6,0.8,4.1,6.2,7.0,57.1,1.7,30.8,14.3,
