,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,New England Patriots,16,34.8,427.9,74.4,5.7,1.00,0.44,27.8,25.1,40.1,291.4,2.13,0.56,7.0,16.0,32.7,136.5,1.56,4.2,9.44,6.06,52.5,2.31,48.1,8.1,7.44
2,Denver Broncos,16,30.1,397.9,68.1,5.8,1.56,0.88,23.8,25.1,36.8,283.4,2.31,0.69,7.4,14.5,30.1,114.5,0.75,3.8,7.00,6.25,50.3,2.25,39.9,12.2,3.39
3,New Orleans Saints,16,28.8,410.9,66.7,6.2,1.50,0.31,22.0,26.4,41.9,312.3,2.69,1.19,7.2,16.7,23.1,98.6,0.63,4.3,4.00,6.50,56.9,1.31,37.4,12.1,4.65
4,Washington Redskins,16,27.3,383.2,62.1,6.2,0.88,0.38,21.3,18.2,27.6,213.9,1.50,0.50,7.2,10.7,32.4,169.3,1.38,5.2,9.00,7.25,61.6,1.63,39.3,7.7,-1.03
5,Green Bay Packers,16,27.1,359.4,65.1,5.5,1.00,0.50,21.3,23.4,34.9,253.1,2.50,0.50,6.6,13.3,27.1,106.4,0.56,3.9,5.31,6.44,57.7,2.69,37.6,8.1,1.61
6,New York Giants,16,26.8,355.4,60.5,5.9,1.31,0.38,20.4,20.2,33.7,239.1,1.63,0.94,6.8,11.7,25.6,116.4,1.13,4.6,6.44,4.50,36.1,2.31,43.8,11.9,-0.92
7,Atlanta Falcons,16,26.2,369.1,63.8,5.8,1.13,0.25,21.4,26.4,38.4,281.8,2.00,0.88,7.0,15.4,23.6,87.3,0.75,3.7,4.38,3.44,25.9,1.63,44.0,10.3,-1.13
8,Houston Texans,16,26.0,372.1,68.1,5.5,1.06,0.25,21.3,22.1,34.6,239.4,1.38,0.81,6.6,12.8,31.8,132.7,1.19,4.2,7.13,6.75,54.6,1.38,35.6,8.4,-1.25
9,Seattle Seahawks,16,25.8,350.6,60.9,5.8,1.13,0.50,19.4,16.2,25.3,189.4,1.69,0.63,6.9,9.56,33.5,161.2,1.00,4.8,8.06,6.88,55.6,1.81,39.4,10.0,0.57
10,Baltimore Ravens,16,24.9,352.5,65.1,5.4,1.00,0.31,19.6,20.9,35.0,233.7,1.38,0.69,6.3,11.4,27.8,118.8,1.06,4.3,6.13,7.56,70.4,2.13,35.8,7.8,1.38
11,San Francisco 49ers,16,24.8,361.8,60.6,6.0,1.00,0.50,20.1,18.1,27.3,206.1,1.44,0.50,6.9,10.8,30.8,155.7,1.06,5.1,8.00,6.81,60.0,1.38,39.3,7.9,-0.96
12,Cincinnati Bengals,16,24.4,332.7,63.5,5.2,1.63,0.63,18.3,20.9,33.8,223.6,1.75,1.00,6.1,10.8,26.9,109.1,0.69,4.1,5.94,6.19,53.6,1.50,35.4,12.8,-5.66
13,Tampa Bay Buccaneers,16,24.3,363.8,63.0,5.8,1.44,0.38,18.8,19.4,35.4,248.9,1.69,1.06,6.7,11.8,26.0,114.8,0.81,4.4,5.56,6.31,51.2,1.50,35.2,10.9,-2.06
14,Minnesota Vikings,16,23.7,336.6,62.6,5.4,1.44,0.69,19.1,18.8,30.2,171.9,1.13,0.75,5.3,10.2,30.4,164.6,1.00,5.4,7.06,5.63,51.9,1.88,37.9,12.6,-3.74
15,Dallas Cowboys,16,23.5,374.6,65.6,5.7,1.81,0.63,21.1,27.1,41.1,295.6,1.81,1.19,6.8,14.8,22.2,79.1,0.50,3.6,4.75,7.31,53.3,1.56,36.7,15.0,-2.44
16,Chicago Bears,16,23.4,310.6,62.4,5.0,1.50,0.50,18.3,17.9,30.3,187.4,1.31,1.00,5.7,10.2,29.4,123.1,0.69,4.2,6.19,6.38,50.7,1.88,30.3,11.8,-7.20
17,Detroit Lions,16,23.3,408.8,72.5,5.6,2.06,1.00,23.9,27.8,46.3,307.9,1.38,1.06,6.4,17.0,24.4,100.8,1.06,4.1,5.25,6.44,59.0,1.63,36.0,15.2,-3.73
18,Carolina Panthers,16,22.3,360.7,61.8,5.8,1.38,0.63,20.5,17.8,30.6,230.2,1.19,0.75,7.0,10.7,28.9,130.5,1.31,4.5,7.69,6.13,52.2,2.13,32.6,10.3,0.13
19,Indianapolis Colts,16,22.3,362.4,69.3,5.2,1.69,0.56,22.5,21.2,39.3,258.0,1.44,1.13,6.2,13.0,27.5,104.4,0.69,3.8,6.88,5.88,50.1,2.63,33.3,13.9,-4.57
20,San Diego Chargers,16,21.9,297.3,61.8,4.8,1.63,0.69,18.3,21.1,33.0,205.9,1.63,0.94,5.7,11.5,25.7,91.3,0.25,3.6,5.06,6.44,49.8,1.75,30.6,13.9,-7.84
21,Buffalo Bills,16,21.5,342.9,61.4,5.6,2.13,1.06,18.8,19.3,31.9,204.3,1.50,1.06,6.0,11.0,27.6,138.6,0.75,5.0,6.44,6.50,54.4,1.38,30.0,17.4,-6.27
22,Pittsburgh Steelers,16,21.0,332.8,63.9,5.2,1.88,1.00,19.2,22.1,35.9,236.7,1.69,0.88,6.2,12.6,25.8,96.1,0.50,3.7,5.00,5.75,58.6,1.56,33.9,15.6,-6.75
23,Tennessee Titans,16,20.6,313.1,59.8,5.2,1.75,0.75,16.3,19.9,33.8,207.7,1.06,1.00,5.7,10.4,23.6,105.4,0.63,4.5,4.38,6.63,52.9,1.50,27.7,14.9,-6.85
24,Cleveland Browns,16,18.9,314.3,62.4,5.0,1.63,0.50,17.4,20.5,35.4,214.7,1.00,1.13,5.7,11.6,24.8,99.6,0.75,4.0,4.44,7.06,62.8,1.44,29.8,12.0,-8.73
25,St. Louis Rams,16,18.7,329.0,62.6,5.3,1.38,0.50,17.9,20.8,34.8,221.9,1.38,0.88,6.0,11.8,25.6,107.1,0.31,4.2,4.94,8.13,61.1,1.19,27.5,11.0,-8.52
26,Oakland Raiders,16,18.1,344.0,64.5,5.3,1.63,0.63,18.8,23.5,39.3,255.3,1.50,1.00,6.2,12.5,23.5,88.8,0.25,3.8,4.50,6.75,58.7,1.75,31.4,12.8,-7.40
27,Miami Dolphins,16,18.0,311.5,61.3,5.1,1.63,0.81,18.0,18.3,31.5,198.9,0.81,0.81,5.9,9.88,27.5,112.6,0.94,4.1,5.81,5.13,45.3,2.31,27.4,12.9,-5.54
28,New York Jets,16,17.6,299.2,64.6,4.6,2.31,1.13,18.7,17.0,30.8,180.7,0.88,1.19,5.4,10.1,30.9,118.5,0.75,3.8,6.38,5.19,44.3,2.19,24.2,17.5,-10.41
29,Philadelphia Eagles,16,17.5,354.1,67.4,5.3,2.31,1.38,20.8,22.9,38.6,236.9,1.13,0.94,5.7,11.9,25.8,117.1,0.63,4.5,6.94,6.13,50.8,1.94,29.9,17.9,-10.90
30,Jacksonville Jaguars,16,15.9,299.3,62.1,4.8,1.63,0.56,16.8,20.5,36.6,213.7,1.25,1.06,5.4,9.81,22.4,85.6,0.31,3.8,4.75,6.31,59.7,2.25,25.5,12.8,-12.01
31,Arizona Cardinals,16,15.6,263.1,63.6,4.1,2.13,0.81,15.4,21.1,38.0,187.8,0.69,1.31,4.5,10.5,22.0,75.3,0.63,3.4,3.63,6.38,53.6,1.25,22.0,14.8,-18.57
32,Kansas City Chiefs,16,13.2,319.3,63.4,5.0,2.31,1.06,17.9,17.1,29.7,169.6,0.50,1.25,5.3,9.00,31.3,149.7,0.56,4.8,7.38,5.75,45.8,1.50,24.2,18.8,-12.72
,Avg Team,,364.1,5555.2,1027.6,5.4,24.9,10.3,317.6,338.5,555.9,3700.6,23.7,14.6,6.2,191.9,435.2,1854.7,12.5,4.3,96.9,100.4,850.7,28.8,33.7,12.5,-69.0
,League Total,,11651,177767,32882,5.4,797,329,10162,10833,17788,118418,757,468,6.2,6141,13925,59349,401,4.3,3101,3213,27221,920,33.7,12.5,
,Avg Tm/G,,22.8,347.2,64.2,5.4,1.6,0.6,19.8,21.2,34.7,231.3,1.5,0.9,6.2,12.0,27.2,115.9,0.8,4.3,6.1,6.3,53.2,1.8,33.7,12.5,
