,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
14,Tennessee Titans,16,22.9,329.5,64.5,5.1,1.56,0.63,19.5,19.1,31.3,207.5,1.38,0.94,6.4,11.4,31.9,122.0,1.00,3.8,7.00,7.00,55.7,1.13,34.6,13.2,0.59
15,New York Jets,16,22.4,314.8,57.3,5.5,1.19,0.56,18.8,20.6,30.3,213.6,1.56,0.63,6.6,11.9,25.0,101.1,0.75,4.0,5.38,4.94,42.8,1.50,36.1,10.7,2.15
16,Seattle Seahawks,16,22.2,363.6,65.6,5.5,1.75,0.75,21.7,22.6,36.7,254.9,1.19,1.00,6.6,13.0,26.9,108.8,1.06,4.0,6.50,6.25,49.5,2.19,33.0,15.6,1.81
17,Indianapolis Colts,16,21.8,351.0,65.5,5.4,2.00,0.81,20.3,24.5,36.9,253.4,1.69,1.19,6.6,13.3,27.1,97.6,0.75,3.6,5.81,5.69,45.6,1.13,33.9,16.4,-0.29
18,Tampa Bay Buccaneers,16,21.6,312.6,63.9,4.9,1.31,0.69,17.9,21.8,35.4,215.3,1.44,0.63,5.7,10.8,25.9,97.3,0.38,3.8,5.63,6.44,49.3,1.56,32.6,10.7,-2.73
19,Cleveland Browns,16,21.5,314.2,62.1,5.1,1.94,0.56,17.4,21.1,34.5,213.3,1.69,1.38,5.8,10.7,25.4,100.9,0.63,4.0,4.81,6.69,52.8,1.94,30.9,15.2,-2.18
20,San Diego Chargers,16,20.8,332.8,64.3,5.2,1.50,0.50,19.6,20.3,33.6,199.3,1.06,1.00,5.7,10.4,29.1,133.6,1.19,4.6,7.31,6.25,50.3,1.88,28.3,11.0,0.26
21,Jacksonville Jaguars,16,20.5,303.2,59.9,5.1,0.94,0.38,17.2,16.8,28.9,172.6,1.13,0.56,5.5,9.75,28.4,130.6,1.19,4.6,6.56,5.56,42.8,0.88,31.5,7.9,0.03
22,New York Giants,16,20.0,364.1,66.2,5.5,1.69,0.81,20.2,21.1,34.3,246.9,1.19,0.88,6.9,12.2,30.4,117.2,0.88,3.9,5.94,7.06,59.7,2.06,31.2,13.8,0.19
23,Baltimore Ravens,16,19.8,289.9,59.2,4.9,2.00,1.13,16.3,16.4,29.9,177.9,1.25,0.88,5.5,9.06,26.7,112.0,0.56,4.2,5.63,6.31,52.9,1.63,27.6,15.1,-4.65
24,St. Louis Rams,16,19.8,347.4,64.0,5.4,2.81,1.13,19.7,25.5,39.7,259.6,1.50,1.69,6.1,13.7,21.4,87.8,0.69,4.1,4.75,7.50,57.4,1.25,28.6,23.3,-5.19
25,Washington Redskins,16,19.2,321.4,64.9,4.9,2.50,1.25,18.9,18.8,34.9,203.4,1.50,1.25,5.5,10.3,27.6,118.1,0.63,4.3,6.69,7.25,60.5,1.94,25.4,18.3,-4.61
26,Detroit Lions,16,19.1,279.4,59.7,4.7,1.94,0.38,15.1,17.3,36.1,187.1,1.19,1.56,5.0,9.38,22.4,92.3,0.56,4.1,4.31,6.50,57.3,1.44,26.0,14.8,-7.73
27,Chicago Bears,16,17.6,274.7,60.6,4.5,2.19,1.06,16.3,19.4,33.9,190.7,1.38,1.13,5.2,9.75,23.9,84.0,0.50,3.5,4.94,5.94,54.0,1.56,26.1,16.1,-10.13
28,Cincinnati Bengals,16,17.4,325.4,65.9,4.9,2.19,0.81,19.7,21.9,36.9,217.3,1.06,1.38,5.5,11.6,26.6,108.1,0.81,4.1,6.56,6.19,55.3,1.50,24.6,16.9,-4.46
29,Arizona Cardinals,16,16.4,285.2,62.7,4.5,2.19,0.81,17.1,18.2,34.3,171.3,1.13,1.38,4.7,9.25,25.9,113.9,0.63,4.4,5.88,4.75,38.6,2.00,22.9,18.6,-6.73
30,Carolina Panthers,16,16.1,267.5,60.0,4.5,2.50,1.13,14.9,15.9,29.0,168.4,0.94,1.38,5.3,8.31,28.3,99.1,0.69,3.5,5.13,5.88,49.1,1.44,19.4,17.5,-10.35
31,Dallas Cowboys,16,13.6,273.4,59.3,4.6,2.13,1.13,14.8,15.8,29.4,163.8,0.88,1.00,5.0,8.06,26.4,109.6,0.44,4.1,5.44,6.56,60.9,1.31,16.3,15.8,-11.48
32,Houston Texans,16,13.3,223.3,59.2,3.8,1.81,0.88,13.0,14.7,27.9,139.1,0.69,0.94,4.3,7.44,26.5,84.2,0.38,3.2,3.69,8.50,63.2,1.88,16.9,11.9,-14.31
,Avg Team,,346.8,5253.8,1017.8,5.2,29.0,12.5,304.0,322.3,540.4,3395.7,21.7,16.5,5.9,175.9,440.7,1858.1,14.4,4.2,102.0,104.0,863.9,26.0,31.4,14.4,-29.2
,League Total,,11097,168120,32569,5.2,927,399,9727,10314,17292,108661,694,528,5.9,5630,14102,59459,460,4.2,3264,3328,27645,833,31.4,14.4,
,Avg Tm/G,,21.7,328.4,63.6,5.2,1.8,0.8,19.0,20.1,33.8,212.2,1.4,1.0,5.9,11.0,27.5,116.1,0.9,4.2,6.4,6.5,54.0,1.6,31.4,14.4,
