,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Kansas City Chiefs,16,29.2,375.0,60.3,6.2,0.94,0.13,21.4,18.3,29.8,226.4,1.69,0.81,7.2,11.2,28.9,148.6,1.63,5.1,8.75,4.69,43.8,1.50,42.7,7.9,9.09
2,Oakland Raiders,16,28.1,389.8,66.8,5.8,1.19,0.56,22.9,26.1,38.7,279.7,1.63,0.63,6.8,14.1,25.9,110.1,1.31,4.3,7.06,8.06,68.4,1.69,42.7,9.4,7.71
3,New Orleans Saints,16,27.0,325.3,62.6,5.2,1.88,0.94,18.2,18.2,33.6,215.1,1.69,0.94,6.0,10.6,26.6,110.3,1.00,4.1,5.69,7.44,56.9,1.94,38.5,14.6,-4.84
4,Philadelphia Eagles,16,25.9,350.3,67.1,5.2,1.50,0.81,19.4,19.9,34.3,211.5,1.69,0.69,5.8,10.3,30.6,138.8,0.94,4.5,7.75,6.94,56.1,1.44,36.0,12.0,-0.96
5,Atlanta Falcons,16,25.1,345.9,64.9,5.3,1.69,0.94,19.8,16.8,29.9,197.9,1.13,0.75,6.1,10.2,32.7,148.0,1.44,4.5,7.69,6.56,58.2,1.88,38.6,13.2,2.40
6,Green Bay Packers,16,24.9,347.5,66.1,5.3,1.75,0.75,19.9,22.6,36.3,226.7,1.81,1.00,6.0,12.3,28.2,120.8,0.75,4.3,5.88,6.75,57.1,1.69,34.8,14.1,-0.39
7,Denver Broncos,16,24.5,380.6,66.1,5.8,1.69,0.44,22.3,22.4,34.6,239.0,1.31,1.25,6.4,12.4,28.6,141.6,1.31,5.0,7.81,6.50,54.8,2.06,37.6,14.9,2.65
8,Pittsburgh Steelers,16,24.4,372.0,68.6,5.4,2.25,0.88,21.4,21.9,34.4,239.5,1.63,1.38,6.6,12.5,32.0,132.5,0.94,4.1,7.44,5.63,44.5,1.50,35.7,16.8,0.09
9,Minnesota Vikings,16,24.4,387.0,67.5,5.7,2.56,1.13,21.9,21.1,34.9,230.3,1.19,1.44,6.1,11.9,29.6,156.7,1.63,5.3,8.69,8.56,71.2,1.25,35.6,19.9,4.15
10,New England Patriots,16,23.8,317.8,64.4,4.9,1.50,0.63,19.0,23.4,37.8,223.6,1.75,0.88,5.6,11.5,24.7,94.3,0.56,3.8,6.19,6.75,55.9,1.31,34.6,11.9,-2.01
11,Buffalo Bills,16,23.7,349.4,65.9,5.3,1.94,1.00,22.2,23.6,38.3,249.7,1.50,0.94,6.0,13.6,24.3,99.8,1.06,4.1,5.63,7.00,64.4,2.94,35.9,15.8,0.53
12,Miami Dolphins,16,23.6,337.0,63.1,5.3,1.88,0.94,19.9,16.9,28.4,180.6,1.13,0.94,6.0,9.69,33.1,156.4,1.50,4.7,8.69,6.44,53.7,1.50,34.6,15.7,-1.17
13,San Francisco 49ers,16,22.9,356.3,67.6,5.3,1.06,0.44,21.4,22.1,35.7,216.1,1.44,0.63,5.8,11.4,30.6,140.3,1.00,4.6,8.81,5.44,45.3,1.19,37.6,9.2,4.17
