,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Los Angeles Rams,16,29.9,361.5,62.5,5.8,1.31,0.88,19.4,20.0,32.4,239.4,1.75,0.44,7.0,11.6,28.4,122.1,1.06,4.3,6.06,6.69,57.6,1.81,45.3,9.5,-2.70
2,New England Patriots,16,28.6,394.2,66.9,5.9,0.75,0.25,24.3,24.3,36.7,276.1,2.00,0.50,7.1,14.5,28.0,118.1,1.00,4.2,6.69,5.94,52.2,3.13,49.4,6.9,7.18
3,Philadelphia Eagles,16,28.6,365.8,67.1,5.5,1.25,0.69,21.1,21.3,35.3,233.6,2.38,0.56,6.2,12.1,29.6,132.2,0.56,4.5,6.75,7.25,60.1,2.31,40.3,9.4,1.32
4,New Orleans Saints,16,28.0,391.2,62.5,6.3,1.13,0.63,20.8,24.1,33.5,261.8,1.44,0.50,7.5,12.6,27.8,129.4,1.44,4.7,6.94,6.56,60.4,1.25,44.6,9.1,0.46
5,Jacksonville Jaguars,16,26.1,365.9,67.4,5.4,1.44,0.63,20.8,19.8,32.9,224.6,1.31,0.81,6.5,12.1,32.9,141.4,1.13,4.3,6.31,7.00,58.5,2.38,34.7,11.1,-2.25
6,Kansas City Chiefs,16,25.9,375.4,61.6,6.1,0.69,0.19,20.1,22.7,33.9,256.5,1.63,0.50,7.1,12.4,25.3,118.9,0.75,4.7,5.94,7.38,65.3,1.81,44.9,6.3,-1.41
7,Detroit Lions,16,25.6,337.8,61.3,5.5,1.38,0.69,18.5,23.4,35.6,261.4,1.81,0.69,6.8,13.1,22.7,76.3,0.63,3.4,3.63,6.50,60.5,1.75,37.3,11.9,-5.86
8,Pittsburgh Steelers,16,25.4,377.9,65.7,5.8,1.25,0.31,21.8,24.0,36.9,273.8,1.81,0.94,7.1,13.6,27.3,104.2,0.75,3.8,6.00,6.31,56.1,2.19,43.0,10.6,-2.03
9,Baltimore Ravens,16,24.7,305.4,65.9,4.6,1.06,0.25,19.4,22.7,35.4,189.4,1.25,0.81,5.1,10.5,28.8,116.0,0.88,4.0,6.94,5.69,46.8,2.00,36.5,8.9,-8.25
10,Minnesota Vikings,16,23.9,356.9,65.9,5.4,0.88,0.38,20.9,22.3,32.9,234.6,1.56,0.50,6.8,12.3,31.3,122.3,0.94,3.9,6.25,6.25,59.3,2.38,38.9,7.6,-3.38
11,Seattle Seahawks,16,22.9,330.4,62.9,5.2,1.06,0.31,18.7,21.3,34.7,228.6,2.13,0.75,6.1,11.4,25.6,101.8,0.25,4.0,5.31,9.25,83.9,1.94,30.5,8.6,-4.88
12,Carolina Panthers,16,22.7,323.7,64.1,5.0,1.38,0.38,20.0,18.3,31.3,192.3,1.38,1.00,5.7,10.4,30.6,131.4,0.94,4.3,7.56,5.19,42.6,2.00,37.4,11.7,-6.27
13,Los Angeles Chargers,16,22.2,376.6,63.8,5.9,0.94,0.25,21.1,22.9,36.4,276.9,1.75,0.69,7.4,13.8,26.2,99.7,0.63,3.8,5.25,6.75,57.9,2.06,33.3,8.5,-1.11
14,Dallas Cowboys,16,22.1,331.9,62.8,5.3,1.38,0.56,19.6,19.3,30.8,196.3,1.38,0.81,6.0,10.1,30.0,135.6,1.13,4.5,7.94,6.06,58.7,1.56,36.3,11.1,-2.54
15,Atlanta Falcons,16,22.1,364.8,61.5,5.9,1.13,0.38,20.6,21.4,33.1,249.4,1.31,0.75,7.2,12.5,26.9,115.4,0.75,4.3,6.31,6.38,57.4,1.81,41.2,10.3,-2.88
16,Washington Redskins,16,21.4,324.9,61.4,5.3,1.69,0.88,17.4,21.7,33.8,234.4,1.69,0.81,6.5,11.9,25.1,90.5,0.63,3.6,4.13,5.75,45.8,1.31,31.9,12.6,-5.97
17,Houston Texans,16,21.1,320.0,64.2,5.0,1.75,0.69,19.6,18.7,32.8,204.9,1.75,1.06,5.7,11.3,28.0,115.1,0.50,4.1,5.38,7.75,65.6,2.94,29.2,14.6,-4.93
18,Tampa Bay Buccaneers,16,20.9,363.4,64.7,5.6,1.69,0.81,22.0,23.6,37.8,272.9,1.63,0.88,6.8,15.2,24.4,90.5,0.50,3.7,4.75,6.50,49.7,2.06,33.7,15.4,-3.27
19,Tennessee Titans,16,20.9,314.0,60.9,5.2,1.56,0.50,18.1,19.1,31.0,199.4,0.88,1.06,6.0,9.81,27.7,114.6,1.13,4.1,6.06,5.31,49.1,2.25,35.1,12.6,-8.39
20,San Francisco 49ers,16,20.7,349.2,66.1,5.3,1.44,0.50,20.1,22.6,37.9,245.3,0.94,0.94,6.0,12.9,25.5,103.9,0.94,4.1,5.50,7.69,61.8,1.69,37.5,12.0,-10.87
21,Green Bay Packers,16,20.0,305.7,62.4,4.9,1.56,0.44,19.2,22.0,35.1,197.9,1.56,1.13,5.2,11.0,24.1,107.8,0.81,4.5,6.19,6.00,49.3,2.00,30.5,13.2,-3.86
22,Buffalo Bills,16,18.9,302.6,63.1,4.8,1.00,0.38,17.4,18.1,29.8,176.6,1.00,0.63,5.4,9.31,30.4,126.1,0.75,4.1,6.56,6.13,54.5,1.50,31.7,8.9,-9.76
23,Oakland Raiders,16,18.8,324.1,59.5,5.4,1.75,0.88,17.9,21.7,34.9,226.9,1.44,0.88,6.2,11.1,23.1,97.1,0.81,4.2,4.88,7.13,63.1,1.94,29.2,15.2,-5.29
24,New York Jets,16,18.6,305.3,61.5,5.0,1.50,0.75,16.8,20.2,31.9,198.9,1.19,0.75,5.7,9.81,26.7,106.4,0.81,4.0,4.81,7.44,64.7,2.19,28.6,11.1,-7.49
25,Arizona Cardinals,16,18.4,314.1,66.3,4.7,1.56,0.44,19.4,21.2,37.4,227.5,1.31,1.13,5.6,12.5,25.6,86.6,0.38,3.4,4.13,6.88,55.0,2.75,29.2,12.4,-11.62
26,Cincinnati Bengals,16,18.1,280.5,57.9,4.8,1.44,0.69,16.7,19.0,31.9,195.1,1.56,0.75,5.7,10.3,23.6,85.4,0.38,3.6,4.50,6.88,64.2,1.88,26.5,11.4,-6.78
27,Denver Broncos,16,18.1,324.1,67.2,4.8,2.13,0.75,18.6,20.8,35.4,208.3,1.19,1.38,5.4,11.3,28.6,115.8,0.50,4.1,5.75,7.06,55.3,1.56,26.4,16.6,-10.32
28,Miami Dolphins,16,17.6,307.7,62.2,4.9,1.81,0.50,17.8,23.3,37.6,220.9,1.50,1.31,5.6,11.7,22.5,86.8,0.25,3.9,4.13,8.56,72.1,1.94,25.8,15.3,-9.76
29,Chicago Bears,16,16.5,287.4,58.4,4.9,1.38,0.63,16.6,18.2,29.6,175.7,0.81,0.75,5.5,9.00,26.4,111.8,0.81,4.2,5.75,7.19,58.9,1.88,24.1,12.1,-7.20
30,Indianapolis Colts,16,16.4,284.6,62.1,4.6,0.94,0.38,16.7,17.8,30.4,180.8,0.81,0.56,5.3,9.25,28.2,103.8,0.69,3.7,5.88,5.75,48.7,1.56,29.4,8.3,-11.86
31,New York Giants,16,15.4,314.3,64.8,4.9,1.38,0.50,16.9,23.3,38.0,217.4,1.25,0.88,5.4,11.1,24.6,96.8,0.38,3.9,4.13,5.69,55.9,1.69,22.7,11.3,-10.47
32,Cleveland Browns,16,14.6,308.9,63.0,4.9,2.56,0.81,18.1,19.5,35.9,201.8,0.94,1.75,5.2,9.81,24.0,107.1,0.69,4.5,6.06,6.88,57.8,2.25,22.0,21.0,-14.57
,Avg Team,,347.5,5345.0,1013.7,5.3,22.1,8.6,308.1,339.3,546.5,3589.7,23.2,13.4,6.1,185.0,429.8,1755.3,11.9,4.1,91.2,106.9,924.4,31.9,33.8,11.4,-88.5
,League Total,,11120,171040,32438,5.3,706,276,9860,10856,17488,114870,741,430,6.1,5921,13755,56170,380,4.1,2919,3420,29580,1020,33.8,11.4,
,Avg Tm/G,,21.7,334.1,63.4,5.3,1.4,0.5,19.3,21.2,34.2,224.4,1.4,0.8,6.1,11.6,26.9,109.7,0.7,4.1,5.7,6.7,57.8,2.0,33.8,11.4,
