,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,New England Patriots,16,32.4,363.8,61.6,5.9,0.63,0.31,20.9,20.7,31.7,240.4,2.31,0.31,7.2,12.3,28.4,123.3,1.19,4.3,7.44,5.19,47.9,1.25,47.0,5.4,4.60
2,San Diego Chargers,16,27.6,395.6,64.9,6.1,1.81,1.00,22.3,22.4,34.0,282.4,1.88,0.81,7.8,14.8,28.6,113.1,1.13,4.0,5.88,5.25,42.3,1.69,40.3,14.5,1.72
3,Philadelphia Eagles,16,27.4,389.4,64.9,6.0,1.56,0.75,20.1,21.8,35.1,244.1,1.75,0.81,6.4,11.8,26.8,145.3,1.13,5.4,7.25,8.06,68.8,1.06,39.8,11.7,-0.69
4,Indianapolis Colts,16,27.2,380.8,68.0,5.6,1.56,0.50,22.9,28.1,42.4,288.1,2.06,1.06,6.6,15.8,24.6,92.7,0.81,3.8,5.44,4.94,44.3,1.63,40.2,13.4,1.79
5,Atlanta Falcons,16,25.9,341.1,68.6,5.0,1.06,0.50,22.1,22.6,36.1,222.9,1.75,0.56,5.9,12.5,31.1,118.2,0.88,3.8,6.94,3.63,37.4,2.63,39.3,9.0,-2.47
6,Oakland Raiders,16,25.6,354.6,64.9,5.5,1.63,0.63,19.1,17.4,30.7,198.8,1.13,1.00,5.9,9.94,31.5,155.9,1.19,4.9,7.06,9.25,79.8,2.13,34.5,11.8,-6.92
7,Dallas Cowboys,16,24.6,364.3,64.7,5.6,1.88,0.69,20.4,23.7,36.0,252.6,1.81,1.19,6.7,12.6,26.8,111.6,0.63,4.2,6.50,6.81,53.9,1.38,34.6,14.8,-6.76
8,New York Giants,16,24.6,380.3,64.7,5.9,2.63,1.06,20.7,21.2,33.7,242.8,1.94,1.56,7.0,12.0,30.0,137.5,1.06,4.6,7.00,5.75,48.6,1.69,32.4,20.3,-3.08
9,Houston Texans,16,24.4,386.6,64.3,6.0,1.13,0.38,22.5,22.8,35.9,259.0,1.50,0.75,6.8,13.9,26.4,127.6,1.25,4.8,7.38,5.63,43.1,1.25,39.7,10.1,3.32
10,Green Bay Packers,16,24.3,358.1,62.5,5.7,1.38,0.56,19.5,22.0,33.8,257.8,1.94,0.81,7.1,12.8,26.3,100.4,0.69,3.8,5.50,4.88,38.6,1.25,35.0,10.9,-2.86
11,New Orleans Saints,16,24.0,372.5,66.7,5.6,1.94,0.56,21.9,28.1,41.3,277.6,2.06,1.38,6.5,14.8,23.8,94.9,0.56,4.0,5.88,5.63,55.3,1.31,38.5,16.7,-3.32
12,Pittsburgh Steelers,16,23.4,345.3,62.1,5.6,1.13,0.56,18.4,18.6,29.9,225.1,1.38,0.56,6.9,10.9,29.4,120.3,0.94,4.1,6.63,6.25,56.4,0.88,36.9,9.5,-8.36
13,New York Jets,16,22.9,351.0,67.9,5.2,1.31,0.44,19.2,18.0,32.8,202.6,1.25,0.88,5.9,10.7,33.4,148.4,0.88,4.4,7.38,6.44,58.4,1.13,32.2,10.6,-7.68
14,Kansas City Chiefs,16,22.9,349.7,66.4,5.3,0.88,0.38,19.9,17.1,29.7,185.5,1.69,0.50,5.9,10.4,34.8,164.2,0.81,4.7,8.06,5.63,48.2,1.44,31.3,6.8,-5.87
15,Detroit Lions,16,22.6,338.9,66.5,5.1,1.56,0.56,19.0,23.9,39.6,238.1,1.63,1.00,5.8,12.4,25.3,100.8,0.69,4.0,5.19,8.50,63.6,1.38,32.1,12.4,-6.59
16,Baltimore Ravens,16,22.3,322.9,63.6,5.1,1.25,0.63,18.9,19.3,30.7,208.4,1.56,0.63,6.3,10.9,30.4,114.4,0.69,3.8,6.06,5.63,42.1,1.94,32.8,9.5,-4.99
17,Tennessee Titans,16,22.3,302.1,56.7,5.3,1.81,0.88,15.8,17.1,29.6,194.2,1.50,0.94,6.2,9.69,25.4,107.9,0.81,4.3,4.56,8.00,65.0,1.50,33.2,14.7,-4.48
18,Jacksonville Jaguars,16,22.1,341.3,63.7,5.4,2.06,0.75,20.6,18.2,29.3,191.6,1.63,1.31,6.0,10.1,32.0,149.7,0.88,4.7,9.25,5.19,42.2,1.31,35.0,16.9,-2.20
19,Denver Broncos,16,21.5,348.9,63.6,5.5,1.69,0.94,19.3,20.9,36.3,252.4,1.56,0.75,6.5,12.8,24.9,96.5,0.81,3.9,5.06,6.13,59.0,1.50,30.6,11.7,-7.84
20,Tampa Bay Buccaneers,16,21.3,335.1,59.7,5.6,1.19,0.81,18.0,19.1,30.9,210.1,1.63,0.38,6.4,10.8,26.9,125.1,0.56,4.6,6.06,6.25,52.3,1.19,33.7,9.3,-5.89
21,Chicago Bears,16,20.9,289.4,58.5,4.9,1.94,0.63,16.4,17.3,29.1,188.4,1.44,1.31,5.8,10.2,25.9,101.0,0.63,3.9,4.75,5.69,48.0,1.50,29.3,15.7,-14.20
22,Cincinnati Bengals,16,20.1,330.6,65.4,5.1,2.13,0.88,19.8,22.8,36.9,235.4,1.63,1.25,6.1,12.9,26.8,95.1,0.50,3.6,5.31,5.63,45.3,1.63,30.5,16.3,-9.29
23,Seattle Seahawks,16,19.4,297.8,60.3,4.9,1.94,0.69,16.3,20.3,34.0,208.8,0.88,1.25,5.8,9.94,24.1,89.0,0.81,3.7,5.06,6.31,55.6,1.25,26.5,14.8,-12.32
24,San Francisco 49ers,16,19.1,313.3,59.1,5.3,1.44,0.50,15.7,17.6,31.3,209.8,1.19,0.94,6.2,9.31,25.1,103.6,0.63,4.1,5.31,7.00,58.3,1.06,26.8,11.1,-5.96
25,Washington Redskins,16,18.9,337.0,62.6,5.4,1.94,0.75,18.4,21.8,37.8,245.7,1.31,1.19,6.0,12.1,21.9,91.3,0.56,4.2,4.50,5.63,40.4,1.81,26.3,14.6,-8.43
26,St. Louis Rams,16,18.1,302.9,65.8,4.6,1.31,0.38,18.3,22.1,36.9,204.3,1.13,0.94,5.2,11.2,26.8,98.6,0.56,3.7,5.25,6.38,54.8,1.81,30.2,9.5,-12.74
27,Arizona Cardinals,16,18.1,269.3,58.2,4.6,2.19,1.00,15.1,17.8,35.1,182.6,0.63,1.19,4.8,9.63,20.0,86.8,0.56,4.3,4.19,6.75,54.4,1.25,23.7,15.8,-13.46
28,Buffalo Bills,16,17.7,304.9,59.6,5.1,2.44,1.13,16.4,18.5,32.4,197.4,1.50,1.31,5.7,10.4,25.1,107.5,0.38,4.3,5.13,5.13,39.6,0.94,25.3,19.2,-10.88
29,Minnesota Vikings,16,17.6,314.9,61.4,5.1,2.31,0.69,18.1,19.1,31.6,193.6,0.88,1.63,5.7,9.94,27.6,121.4,1.00,4.4,6.50,6.25,48.1,1.63,24.9,19.0,-7.89
30,Miami Dolphins,16,17.1,323.1,65.0,5.0,1.94,0.63,18.8,20.9,34.8,220.4,1.06,1.31,5.9,11.8,27.8,102.7,0.50,3.7,5.69,4.50,37.2,1.25,29.7,15.7,-10.88
31,Cleveland Browns,16,16.9,289.7,57.9,5.0,1.81,0.69,16.6,18.5,29.9,186.8,0.81,1.13,5.8,9.63,25.8,102.9,0.81,4.0,5.44,4.88,42.2,1.50,27.7,15.8,-10.60
32,Carolina Panthers,16,12.3,258.4,60.1,4.3,2.31,1.00,14.1,16.0,30.3,143.1,0.56,1.31,4.3,7.81,26.8,115.4,0.44,4.3,4.88,6.63,57.4,1.38,20.8,17.8,-17.51
,Avg Team,,352.6,5376.8,1010.0,5.3,26.9,10.9,302.8,327.8,539.7,3545.3,23.5,16.0,6.2,183.3,435.0,1831.5,12.5,4.2,96.3,96.9,814.2,23.3,32.4,13.3,-101.4
,League Total,,11283,172057,32319,5.3,860,349,9688,10491,17269,113450,751,511,6.2,5864,13920,58607,399,4.2,3080,3100,26053,744,32.4,13.3,
,Avg Tm/G,,22.0,336.0,63.1,5.3,1.7,0.7,18.9,20.5,33.7,221.6,1.5,1.0,6.2,11.5,27.2,114.5,0.8,4.2,6.0,6.1,50.9,1.5,32.4,13.3,
