,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
19,Minnesota Vikings,16,22.5,345.6,62.7,5.5,1.25,0.63,19.4,26.6,37.9,252.3,1.88,0.63,6.2,13.6,22.3,93.3,0.56,4.2,4.13,5.75,48.7,1.63,32.4,10.6,0.47
20,Cleveland Browns,16,22.4,368.8,63.9,5.8,1.50,0.44,19.6,22.1,35.9,250.4,1.81,1.06,6.5,11.8,25.7,118.3,0.94,4.6,5.81,7.00,55.9,2.00,31.2,11.4,2.31
21,San Francisco 49ers,16,21.4,360.6,62.7,5.8,2.00,0.75,21.5,20.7,33.3,241.7,1.63,1.25,6.7,12.6,26.4,118.9,0.44,4.5,6.13,7.00,61.4,2.81,37.0,17.1,1.31
22,Dallas Cowboys,16,21.2,343.8,63.9,5.4,1.06,0.56,20.1,22.3,32.9,221.1,1.38,0.50,6.1,11.5,27.4,122.7,0.81,4.5,7.06,6.50,55.3,1.56,37.9,10.1,5.19
23,New York Jets,16,20.8,299.2,60.7,4.9,1.88,0.69,16.1,18.7,32.8,197.8,1.13,1.19,5.6,9.81,25.6,101.4,0.69,4.0,5.25,7.13,59.3,1.06,32.0,14.7,-6.09
24,Denver Broncos,16,20.6,350.1,63.4,5.5,1.31,0.38,20.0,22.9,36.8,230.9,1.19,0.94,5.9,11.3,24.6,119.2,1.13,4.9,6.69,7.81,61.6,2.00,30.6,11.3,1.51
25,Detroit Lions,16,20.3,327.3,63.7,5.1,1.19,0.44,20.3,23.4,35.9,223.5,1.38,0.75,5.8,12.6,25.3,103.8,0.69,4.1,5.69,5.88,53.3,2.06,35.3,11.0,2.49
26,Miami Dolphins,16,19.9,289.9,54.9,5.3,1.44,0.63,15.8,18.3,28.4,181.3,1.63,0.81,5.7,9.56,23.2,108.6,0.44,4.7,4.69,6.75,61.1,1.50,28.3,12.5,-2.52
27,Tennessee Titans,16,19.4,312.6,58.8,5.3,1.13,0.38,18.1,18.3,27.3,185.9,1.00,0.75,6.1,9.75,28.5,126.7,0.94,4.4,6.63,5.13,45.4,1.69,34.9,10.2,0.66
28,Oakland Raiders,16,18.1,336.2,62.2,5.4,1.50,0.88,18.8,23.9,34.8,234.4,1.19,0.63,6.2,12.3,24.2,101.8,0.56,4.2,5.38,6.88,60.3,1.06,31.3,13.6,-1.12
29,Washington Redskins,16,17.6,299.7,60.4,5.0,1.19,0.25,17.5,19.4,31.8,188.8,1.00,0.94,5.5,9.75,25.9,110.9,0.75,4.3,6.00,7.19,63.0,1.75,31.8,11.2,-2.13
30,Buffalo Bills,16,16.8,298.6,63.0,4.7,2.00,0.56,17.7,16.9,31.2,174.6,0.81,1.44,5.2,8.56,29.3,124.0,0.94,4.2,6.75,7.25,62.0,2.38,26.4,15.5,-6.55
31,Jacksonville Jaguars,16,15.3,302.0,62.8,4.8,1.81,1.00,17.3,20.6,33.5,194.3,0.94,0.81,5.3,10.3,26.0,107.7,0.44,4.1,5.75,7.56,69.5,1.31,25.0,15.6,-6.14
32,Arizona Cardinals,16,14.1,241.6,56.4,4.3,1.75,0.63,14.9,17.7,30.9,157.7,0.94,1.13,4.6,8.56,22.2,83.9,0.56,3.8,4.75,6.31,49.1,1.63,19.3,15.0,-9.69
,Avg Team,,373.5,5635.6,1007.0,5.6,21.8,8.7,326.9,358.2,552.2,3804.3,26.5,13.1,6.4,196.1,414.8,1831.3,13.7,4.4,100.2,107.7,919.5,30.6,36.5,11.8,68.8
,League Total,,11952,180338,32224,5.6,696,277,10462,11462,17671,121737,847,419,6.4,6276,13272,58601,439,4.4,3206,3445,29423,980,36.5,11.8,
,Avg Tm/G,,23.3,352.2,62.9,5.6,1.4,0.5,20.4,22.4,34.5,237.8,1.7,0.8,6.4,12.3,25.9,114.5,0.9,4.4,6.3,6.7,57.5,1.9,36.5,11.8,
