,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Kansas City Chiefs,16,35.3,425.6,62.3,6.8,1.13,0.38,24.0,24.1,36.4,309.7,3.13,0.75,8.1,14.9,24.2,115.9,1.00,4.8,6.75,8.56,72.0,2.31,52.6,10.5,18.6
2,Los Angeles Rams,16,32.9,421.1,66.3,6.4,1.19,0.44,25.1,23.0,35.5,281.7,2.00,0.75,7.5,14.8,28.7,139.4,1.44,4.9,8.38,6.00,54.9,1.94,48.6,9.8,15.0
3,New Orleans Saints,16,31.5,379.2,63.1,6.0,1.00,0.56,23.6,23.8,32.4,252.6,2.06,0.44,7.5,13.1,29.4,126.6,1.63,4.3,8.38,5.88,58.7,2.06,51.8,9.5,14.9
4,New England Patriots,16,27.3,393.4,67.1,5.9,1.13,0.44,22.8,23.6,35.9,266.1,1.81,0.69,7.2,12.9,29.9,127.3,1.13,4.3,8.19,5.81,46.5,1.75,40.8,9.2,11.9
5,Indianapolis Colts,16,27.1,386.2,66.9,5.8,1.50,0.56,23.2,27.0,40.3,278.8,2.44,0.94,6.7,14.8,25.5,107.4,0.81,4.2,6.00,7.50,59.6,2.38,41.2,13.2,8.78
6,Seattle Seahawks,16,26.8,353.3,63.3,5.6,0.69,0.25,20.6,17.5,26.7,193.3,2.19,0.44,6.5,9.75,33.4,160.0,0.94,4.8,8.31,6.94,59.9,2.50,39.8,6.1,8.05
7,Los Angeles Chargers,16,26.8,372.6,59.1,6.3,1.19,0.44,21.1,21.8,32.0,255.6,2.00,0.75,7.5,13.3,24.9,117.1,1.00,4.7,6.25,7.06,60.4,1.56,42.4,10.0,10.6
8,Pittsburgh Steelers,16,26.8,403.3,66.1,6.1,1.63,0.56,23.6,28.7,43.1,313.0,2.19,1.06,7.0,15.7,21.6,90.3,1.00,4.2,5.50,6.94,64.1,2.44,36.8,14.3,9.76
9,Chicago Bears,16,26.3,343.9,63.3,5.4,1.50,0.63,20.7,21.5,32.0,222.8,1.75,0.88,6.5,11.1,29.3,121.1,1.00,4.1,6.75,6.06,49.8,2.88,36.8,13.2,6.02
10,Atlanta Falcons,16,25.9,389.1,63.1,6.2,1.13,0.69,22.0,26.8,38.6,290.8,2.25,0.44,7.1,14.9,21.9,98.3,0.69,4.5,5.25,6.31,56.2,1.88,42.9,10.7,9.69
11,Houston Texans,16,25.1,362.6,65.0,5.6,1.00,0.44,20.8,21.6,31.6,236.3,1.63,0.56,6.7,12.6,29.5,126.3,0.75,4.3,5.88,6.56,49.2,2.31,40.3,8.1,5.26
12,Tampa Bay Buccaneers,16,24.8,415.5,65.9,6.3,2.19,0.56,24.3,25.5,39.1,320.3,2.25,1.63,7.7,16.6,24.3,95.2,0.69,3.9,5.00,7.31,60.9,2.69,37.0,19.0,7.57
13,Baltimore Ravens,16,24.3,374.9,70.9,5.3,1.25,0.69,22.9,20.9,34.8,222.4,1.13,0.56,6.1,11.5,34.2,152.6,1.19,4.5,9.56,7.25,58.8,1.88,40.7,10.7,4.55
14,Green Bay Packers,16,23.5,369.1,64.1,5.8,0.94,0.69,20.8,24.5,40.0,264.9,1.56,0.25,6.1,13.0,20.8,104.2,0.88,5.0,6.13,6.75,58.6,1.63,38.8,6.7,6.80
15,Carolina Panthers,16,23.5,373.3,63.2,5.9,1.38,0.38,22.3,23.6,35.2,239.8,1.75,1.00,6.4,13.3,26.0,133.5,1.06,5.1,7.31,5.75,51.1,1.69,37.0,12.1,7.33
16,New York Giants,16,23.1,356.1,61.5,5.8,1.19,0.44,18.6,23.9,36.4,252.9,1.44,0.75,6.4,13.0,22.1,103.1,0.81,4.7,4.44,7.13,59.4,1.13,38.4,9.6,4.41
17,Cincinnati Bengals,16,23.0,310.8,58.6,5.3,1.06,0.25,19.0,20.7,33.9,205.6,1.69,0.81,5.7,11.4,22.4,105.1,0.81,4.7,5.75,7.13,59.8,1.88,35.5,9.6,2.97
18,Philadelphia Eagles,16,22.9,365.3,64.8,5.6,1.44,0.75,21.6,26.4,37.4,267.2,1.81,0.69,6.7,13.8,24.9,98.1,0.75,3.9,5.88,6.25,53.3,1.94,38.1,12.5,5.75
