,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Green Bay Packers,16,31.8,389.0,61.9,6.3,0.69,0.38,22.4,23.3,32.9,256.6,3.00,0.31,7.5,13.5,27.7,132.4,1.00,4.8,7.13,5.25,42.8,1.75,49.7,5.6,18.2
2,Buffalo Bills,16,31.3,396.4,64.6,6.1,1.38,0.69,24.8,25.6,37.3,288.8,2.50,0.69,7.4,15.0,25.7,107.7,1.00,4.2,7.44,6.38,58.8,2.38,49.4,11.8,14.3
3,Tampa Bay Buccaneers,16,30.8,384.1,63.6,6.0,1.06,0.31,22.8,25.6,39.1,289.1,2.63,0.75,7.1,14.9,23.1,94.9,1.00,4.1,5.13,5.25,44.7,2.75,47.8,8.9,15.4
4,Tennessee Titans,16,30.7,396.4,64.4,6.2,0.75,0.31,23.8,19.8,30.3,228.3,2.06,0.44,7.2,12.7,32.6,168.1,1.63,5.2,8.88,5.38,48.9,2.25,47.9,7.2,15.3
5,New Orleans Saints,16,30.1,376.4,65.3,5.8,1.06,0.56,22.9,23.1,32.6,234.9,1.75,0.50,6.8,12.4,30.9,141.6,1.88,4.6,9.19,6.13,62.8,1.31,45.5,9.0,11.1
6,Kansas City Chiefs,16,29.6,415.8,66.1,6.3,1.00,0.56,24.8,26.3,39.4,303.4,2.50,0.44,7.4,15.9,25.2,112.4,0.81,4.5,6.88,6.56,57.4,2.00,47.9,9.2,17.6
7,Baltimore Ravens,16,29.3,363.1,62.1,5.9,1.13,0.44,20.4,16.1,25.4,171.2,1.69,0.69,6.3,8.88,34.7,191.9,1.50,5.5,10.4,6.50,60.1,1.19,45.3,10.6,9.27
8,Seattle Seahawks,16,28.7,369.5,63.9,5.8,1.13,0.31,22.3,24.3,35.2,246.3,2.50,0.81,6.5,13.5,25.7,123.2,0.94,4.8,6.94,5.25,41.4,1.81,44.4,10.1,8.08
9,Indianapolis Colts,16,28.2,378.1,64.5,5.9,0.94,0.25,22.8,23.2,34.5,253.3,1.50,0.69,7.1,12.6,28.7,124.8,1.25,4.3,8.06,5.88,56.2,2.13,44.4,8.8,10.5
10,Las Vegas Raiders,16,27.1,383.3,64.8,5.9,1.63,1.00,22.4,23.1,34.4,263.6,1.75,0.63,7.3,12.9,28.6,119.8,1.25,4.2,7.56,6.13,53.5,2.00,47.9,14.8,9.23
11,Minnesota Vikings,16,26.9,393.3,63.9,6.2,1.44,0.63,23.9,21.8,32.3,250.6,2.19,0.81,7.2,13.3,29.3,142.7,1.25,4.9,8.69,5.13,40.6,2.00,39.8,12.5,9.86
12,Pittsburgh Steelers,16,26.0,334.6,65.2,5.1,1.13,0.44,20.1,26.8,41.0,250.2,2.19,0.69,6.0,12.9,23.3,84.4,0.75,3.6,5.06,5.06,43.2,2.19,37.2,8.5,4.89
13,Arizona Cardinals,16,25.6,384.6,67.7,5.7,1.31,0.50,23.8,24.2,35.9,244.8,1.69,0.81,6.5,13.2,29.9,139.8,1.38,4.7,8.50,7.06,54.3,2.13,40.2,11.7,6.48
14,Cleveland Browns,16,25.5,369.6,63.9,5.8,1.00,0.50,22.2,19.7,31.3,221.2,1.69,0.50,6.7,12.2,30.9,148.4,1.31,4.8,8.31,6.25,54.4,1.69,40.6,9.7,9.97
15,Miami Dolphins,16,25.3,339.0,63.8,5.3,1.25,0.44,21.6,23.1,34.9,233.5,1.50,0.81,6.3,12.9,26.8,105.5,0.94,3.9,6.25,4.63,39.7,2.38,41.4,11.0,3.87
16,Atlanta Falcons,16,24.8,368.4,67.4,5.5,1.13,0.44,22.9,25.5,39.3,272.7,1.69,0.69,6.5,15.2,25.6,95.8,0.81,3.7,5.38,5.19,46.0,2.31,44.8,10.3,8.11
17,Dallas Cowboys,16,24.7,371.8,69.6,5.3,1.63,0.81,23.2,25.8,39.9,260.1,1.56,0.81,6.1,14.4,26.9,111.8,0.88,4.2,7.19,6.00,53.1,1.56,40.6,14.4,3.69
18,Houston Texans,16,24.0,375.3,58.8,6.4,1.13,0.69,20.4,23.9,34.1,283.6,2.06,0.44,7.6,13.9,21.5,91.6,0.63,4.3,5.19,5.00,38.7,1.31,42.9,9.8,8.76
19,Los Angeles Chargers,16,24.0,382.1,70.4,5.4,1.00,0.38,23.3,25.8,39.2,270.6,1.94,0.63,6.5,14.1,29.1,111.5,0.75,3.8,6.94,5.31,44.4,2.25,38.3,8.6,8.10
20,Detroit Lions,16,23.6,350.2,61.9,5.7,1.31,0.50,21.9,23.4,36.4,256.5,1.69,0.81,6.6,13.8,22.9,93.7,1.06,4.1,5.81,5.94,53.8,2.31,38.5,11.2,5.92
21,San Francisco 49ers,16,23.5,370.1,65.4,5.7,1.94,0.88,21.9,23.2,35.6,252.1,1.56,1.06,6.6,13.6,27.3,118.1,1.19,4.3,6.31,5.31,45.7,2.00,36.3,14.8,3.48
22,Los Angeles Rams,16,23.3,377.0,68.0,5.5,1.56,0.69,22.0,24.5,36.9,250.9,1.25,0.88,6.5,12.9,29.6,126.1,1.19,4.3,7.69,4.44,40.9,1.44,34.2,12.5,3.58
23,Chicago Bears,16,23.3,331.4,65.2,5.1,1.38,0.38,20.9,25.1,38.4,228.4,1.63,1.00,5.6,13.6,24.6,102.9,0.75,4.2,5.81,5.50,48.6,1.50,38.9,12.0,2.18
24,Carolina Panthers,16,21.9,349.5,62.1,5.6,1.31,0.31,20.9,23.3,34.4,243.0,1.00,1.00,6.6,12.0,25.4,106.5,1.19,4.2,6.88,5.94,47.0,2.06,40.3,13.2,5.08
25,Washington Football Team,16,20.9,317.3,65.7,4.8,1.69,0.69,20.1,24.3,37.6,216.6,1.00,1.00,5.3,11.5,25.0,100.7,1.13,4.0,6.75,5.44,43.6,1.88,33.3,13.1,-0.65
26,Philadelphia Eagles,16,20.9,334.6,66.6,5.0,1.81,0.56,21.0,20.9,37.4,207.9,1.38,1.25,5.0,11.1,25.2,126.7,1.00,5.0,7.13,6.69,53.3,2.81,27.9,15.3,-0.85
27,New England Patriots,16,20.4,327.3,61.2,5.3,1.19,0.31,20.8,17.7,27.5,180.6,0.75,0.88,6.1,9.81,31.4,146.6,1.25,4.7,8.94,3.88,33.4,2.00,36.9,12.1,3.49
