,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Kansas City Chiefs,16,30.3,369.4,62.7,5.9,1.13,0.38,21.8,21.2,33.5,248.8,1.50,0.75,7.1,12.6,27.9,120.6,2.00,4.3,7.50,4.94,43.6,1.69,38.3,8.5,2.30
2,St. Louis Rams,16,27.9,341.1,65.9,5.2,2.44,1.00,20.9,23.6,37.5,247.6,1.44,1.44,6.2,13.2,25.7,93.5,1.19,3.6,6.06,5.75,41.7,1.69,41.1,16.8,-9.94
3,Indianapolis Colts,16,27.9,367.1,65.1,5.6,1.25,0.63,21.8,23.8,35.6,261.2,1.81,0.63,7.1,13.3,28.3,105.9,1.00,3.7,6.50,5.75,41.4,2.00,46.3,10.2,-0.87
4,Green Bay Packers,16,27.6,362.4,62.4,5.8,2.00,0.69,19.7,19.4,29.6,202.5,2.00,1.31,6.6,10.4,31.7,159.9,1.13,5.0,7.94,5.50,43.7,1.38,38.0,15.6,-3.09
5,Tennessee Titans,16,27.2,343.8,63.3,5.4,1.31,0.75,19.4,19.7,31.4,242.4,1.88,0.56,7.4,13.2,30.4,101.4,0.69,3.3,5.25,6.88,55.4,0.94,39.4,9.6,-6.49
6,Minnesota Vikings,16,26.0,393.4,65.9,6.0,1.50,0.69,21.0,20.8,32.5,246.9,2.00,0.81,7.0,12.1,30.8,146.4,0.94,4.8,7.75,7.94,64.3,1.13,35.5,13.1,0.52
7,Seattle Seahawks,16,25.3,351.7,63.6,5.5,1.81,0.81,21.1,19.8,32.6,226.1,1.69,1.00,6.4,11.9,28.3,125.6,1.06,4.4,7.56,5.69,48.6,1.69,36.2,13.5,-2.34
8,Baltimore Ravens,16,24.4,308.1,63.1,4.9,2.38,1.19,16.2,13.6,25.9,140.9,1.00,1.19,4.9,7.56,34.5,167.1,1.13,4.8,7.19,7.88,60.6,1.44,31.8,16.6,-13.78
9,San Francisco 49ers,16,24.0,355.4,64.9,5.5,1.56,0.63,19.6,18.7,31.9,213.0,1.56,0.94,6.3,10.8,31.2,142.4,1.00,4.6,7.38,6.50,50.4,1.44,35.1,12.4,-3.56
10,Denver Broncos,16,23.8,349.9,65.4,5.3,1.50,0.38,20.9,17.5,29.9,185.6,1.19,1.13,5.9,10.1,33.9,164.3,1.25,4.8,8.31,6.69,57.6,2.44,36.6,12.0,-7.98
11,Philadelphia Eagles,16,23.4,314.7,59.0,5.3,1.38,0.69,18.9,17.4,30.3,188.8,1.06,0.69,5.7,9.75,26.1,125.9,1.44,4.8,6.56,6.00,51.1,2.56,34.2,10.2,-5.05
12,New England Patriots,16,21.8,314.9,65.1,4.8,1.50,0.69,18.4,20.0,33.6,214.5,1.44,0.81,6.0,11.1,29.6,100.4,0.56,3.4,5.69,6.94,62.4,1.63,27.9,11.3,-8.53
13,Cincinnati Bengals,16,21.6,333.1,64.9,5.1,1.38,0.44,19.6,20.3,32.5,208.9,1.63,0.94,6.0,11.3,30.1,124.2,0.75,4.1,6.31,6.69,52.9,1.94,33.3,11.1,-4.89
14,New Orleans Saints,16,21.3,339.9,63.7,5.3,1.75,1.25,18.9,19.6,33.4,214.9,1.56,0.50,6.0,11.1,28.0,125.0,0.69,4.5,6.25,6.44,54.9,1.56,31.2,14.5,-6.86
15,Carolina Panthers,16,20.3,321.3,63.0,5.1,1.94,0.94,17.8,16.9,28.8,190.6,1.19,1.00,6.3,9.13,32.6,130.7,0.56,4.0,7.13,7.25,60.4,1.50,30.8,14.9,-9.37
16,San Diego Chargers,16,19.6,322.9,60.7,5.3,1.94,0.75,18.1,18.6,32.8,188.8,1.31,1.19,5.5,9.13,26.1,134.1,1.00,5.1,7.31,7.88,63.5,1.69,27.2,15.7,-7.92
17,Miami Dolphins,16,19.4,288.1,60.5,4.8,2.13,0.94,16.6,16.1,28.1,174.5,1.06,1.19,5.8,9.06,30.4,113.6,0.88,3.7,6.19,6.44,57.1,1.38,28.1,17.2,-11.12
18,Tampa Bay Buccaneers,16,18.8,340.8,64.8,5.3,1.94,0.56,19.2,23.1,37.0,237.8,1.69,1.38,6.2,11.9,26.3,103.0,0.31,3.9,5.38,7.31,69.0,1.94,25.5,16.0,-13.43
19,Pittsburgh Steelers,16,18.8,299.5,63.8,4.7,1.75,0.69,17.2,19.1,33.3,206.5,1.19,1.06,5.8,10.9,27.9,93.0,0.63,3.3,4.81,6.94,62.8,1.50,27.1,13.5,-10.43
20,Atlanta Falcons,16,18.7,272.3,58.1,4.7,1.94,0.63,15.8,14.4,28.8,150.5,0.88,1.31,4.9,7.94,27.2,121.8,1.06,4.5,6.19,5.63,49.4,1.63,24.9,12.9,-11.91
21,Dallas Cowboys,16,18.1,322.6,66.4,4.9,1.81,0.50,17.9,18.4,31.9,197.6,1.06,1.31,5.8,9.31,32.2,124.9,0.69,3.9,7.19,6.13,52.3,1.38,25.1,13.8,-15.72
22,Washington Redskins,16,17.9,291.2,61.9,4.7,1.75,0.75,17.0,17.7,32.9,187.9,1.31,1.00,5.3,9.75,26.3,103.3,0.50,3.9,5.94,7.75,64.9,1.31,28.3,13.6,-11.39
23,New York Jets,16,17.7,309.4,58.5,5.3,1.25,0.38,17.1,19.5,31.0,207.3,1.25,0.88,6.3,11.3,25.6,102.2,0.50,4.0,4.88,4.31,34.4,0.94,32.4,11.8,-6.74
24,Chicago Bears,16,17.7,273.8,62.6,4.4,1.81,0.56,16.5,16.9,32.2,163.6,0.75,1.25,4.7,8.94,27.7,110.2,0.81,4.0,6.50,5.75,50.4,1.06,27.4,14.5,-13.44
25,Jacksonville Jaguars,16,17.3,334.9,64.0,5.2,1.94,0.88,19.1,18.9,32.2,205.3,1.06,1.06,6.0,10.2,30.1,129.6,0.81,4.3,7.38,6.75,55.9,1.50,27.3,15.8,-8.27
26,Oakland Raiders,16,16.9,285.8,61.7,4.6,1.63,0.75,16.1,17.4,32.6,171.9,0.56,0.88,4.9,8.75,26.4,113.9,0.94,4.3,6.13,8.38,70.0,1.25,24.3,12.2,-11.88
27,Detroit Lions,16,16.9,266.4,60.9,4.4,1.75,0.25,15.6,19.9,36.8,182.8,1.06,1.50,4.9,9.50,23.5,83.6,0.31,3.6,4.31,6.69,53.7,1.81,23.2,13.7,-13.27
28,Houston Texans,16,15.9,269.1,56.0,4.8,1.69,0.56,14.8,15.5,27.4,165.9,0.88,1.13,5.6,7.94,26.3,103.2,0.88,3.9,5.38,7.56,60.1,1.50,24.5,13.8,-12.53
29,Cleveland Browns,16,15.9,281.5,60.1,4.7,2.06,0.94,17.3,19.6,31.8,177.1,1.06,1.13,5.2,9.56,25.8,104.4,0.50,4.1,5.69,6.13,47.9,2.00,26.7,17.2,-11.99
30,New York Giants,16,15.2,308.9,65.4,4.7,2.38,1.13,18.8,21.5,38.5,211.4,1.00,1.25,5.1,11.5,24.2,97.4,0.38,4.0,5.63,7.94,68.1,1.63,21.4,18.4,-14.11
31,Buffalo Bills,16,15.2,271.8,61.3,4.4,2.13,1.06,16.8,18.3,31.4,167.8,0.69,1.06,4.9,9.38,26.7,104.0,0.81,3.9,6.00,6.63,55.7,1.38,21.9,17.6,-14.38
32,Arizona Cardinals,16,14.1,280.6,61.3,4.6,2.25,0.88,16.0,18.9,33.4,184.9,1.13,1.38,5.1,9.19,25.2,95.7,0.31,3.8,5.00,6.13,47.6,1.81,22.2,18.4,-15.67
,Avg Team,,333.3,5092.8,1002.9,5.1,28.5,11.7,292.7,303.0,515.4,3207.1,20.4,16.8,5.8,165.8,453.4,1885.7,13.3,4.2,101.6,105.6,875.8,25.3,30.4,14.0,-142.1
,League Total,,10666,162969,32093,5.1,911,373,9367,9695,16493,102628,654,538,5.8,5304,14508,60341,427,4.2,3252,3378,28026,811,30.4,14.0,
,Avg Tm/G,,20.8,318.3,62.7,5.1,1.8,0.7,18.3,18.9,32.2,200.4,1.3,1.1,5.8,10.4,28.3,117.9,0.8,4.2,6.4,6.6,54.7,1.6,30.4,14.0,
