,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Seattle Seahawks,16,28.3,369.7,63.8,5.8,1.06,0.44,22.6,19.2,29.6,216.1,1.56,0.63,6.9,12.0,32.4,153.6,1.81,4.7,8.88,5.88,52.9,1.69,38.9,8.1,3.04
2,Indianapolis Colts,16,27.4,362.4,62.5,5.8,1.19,0.50,22.7,21.7,32.2,256.0,1.94,0.69,7.7,13.6,29.1,106.4,1.13,3.7,7.25,5.88,43.1,1.88,43.6,9.1,4.87
3,New York Giants,16,26.4,361.7,65.9,5.5,1.56,0.50,19.5,18.4,34.9,223.6,1.50,1.06,6.1,10.8,29.3,138.1,1.06,4.7,6.63,8.94,69.7,2.13,37.8,11.4,-5.80
4,Cincinnati Bengals,16,26.3,358.1,63.6,5.6,1.25,0.38,21.4,22.6,33.6,238.8,2.00,0.88,6.8,12.7,28.7,119.4,0.94,4.2,6.81,6.88,57.5,1.88,41.9,11.2,-3.89
5,San Diego Chargers,16,26.1,347.9,63.9,5.4,1.75,0.75,21.1,21.1,32.9,218.4,1.69,1.00,6.3,11.9,29.1,129.5,1.38,4.5,7.25,6.88,55.6,1.88,39.3,13.5,-2.40
6,Kansas City Chiefs,16,25.2,387.0,66.2,5.8,1.44,0.81,21.7,19.8,31.7,238.1,1.06,0.63,7.1,11.4,32.5,148.9,1.63,4.6,8.63,7.19,55.6,1.69,38.3,11.5,-0.94
7,Denver Broncos,16,24.7,360.4,64.4,5.6,1.00,0.56,20.6,17.4,29.1,201.7,1.13,0.44,6.6,10.1,33.9,158.7,1.56,4.7,9.06,6.06,47.3,1.44,36.0,8.1,-3.28
8,Carolina Panthers,16,24.4,309.4,60.3,5.1,1.63,0.63,17.4,16.8,28.1,204.4,1.56,1.00,6.9,9.81,30.4,104.9,1.06,3.4,5.13,5.69,45.8,2.44,35.8,12.6,-6.52
9,Pittsburgh Steelers,16,24.3,321.8,60.0,5.4,1.44,0.56,18.6,14.3,23.7,182.9,1.31,0.88,7.1,9.00,34.3,138.9,1.31,4.0,7.50,6.19,54.8,2.06,36.1,10.9,-3.72
10,New England Patriots,16,23.7,352.0,64.4,5.5,1.50,0.56,20.9,22.0,35.3,257.5,1.75,0.94,7.0,12.8,27.4,94.5,1.00,3.4,6.31,6.88,57.6,1.81,34.8,13.0,-5.62
11,St. Louis Rams,16,22.7,348.2,64.1,5.4,2.31,0.81,19.6,24.5,37.4,252.3,1.44,1.50,6.3,13.1,23.8,95.9,0.81,4.0,5.13,8.19,58.8,1.44,32.3,18.5,-6.48
12,Jacksonville Jaguars,16,22.6,321.8,63.8,5.0,1.06,0.69,18.8,17.7,30.4,199.4,1.31,0.38,6.1,10.6,31.4,122.4,1.13,3.9,6.06,7.56,62.9,2.13,32.1,8.3,-7.37
13,Washington Redskins,16,22.4,330.6,64.8,5.1,1.69,1.00,18.8,17.4,30.1,194.1,1.56,0.69,6.1,10.4,32.8,136.4,0.94,4.2,7.13,6.75,57.8,1.31,29.7,13.0,-7.43
14,Atlanta Falcons,16,21.9,326.6,63.8,5.1,1.81,1.00,19.6,15.4,28.2,167.4,1.19,0.81,5.5,9.31,33.2,159.1,1.06,4.8,8.69,7.13,65.2,1.56,31.6,13.2,-5.03
15,Dallas Cowboys,16,20.3,325.1,66.9,4.9,1.94,0.88,19.9,18.8,31.3,208.8,1.44,1.06,6.1,11.1,32.6,116.3,0.81,3.6,6.06,6.19,46.2,2.75,28.9,15.5,-9.90
16,Miami Dolphins,16,19.9,324.9,64.1,5.1,1.88,0.88,17.1,18.2,34.8,206.3,1.38,1.00,5.7,9.94,27.8,118.6,0.69,4.3,5.81,8.25,65.9,1.38,28.7,14.4,-10.21
