,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
17,Arizona Cardinals,16,19.4,348.4,67.2,5.2,2.31,1.00,19.0,26.2,41.9,277.3,1.31,1.31,6.2,14.0,22.5,71.1,0.13,3.2,3.63,9.06,74.0,1.38,34.0,18.0,-10.97
18,Philadelphia Eagles,16,19.4,319.3,64.2,5.0,2.13,0.88,17.6,21.1,38.8,229.8,1.31,1.25,5.6,11.4,22.8,89.5,0.69,3.9,4.56,8.38,70.6,1.69,24.8,14.7,-10.95
19,Minnesota Vikings,16,19.1,288.3,59.1,4.9,1.88,0.88,17.8,20.2,31.9,196.6,1.13,1.00,5.6,10.6,23.8,91.7,0.63,3.9,5.19,8.00,63.3,2.06,27.9,14.2,-11.12
20,Tampa Bay Buccaneers,16,18.8,294.8,61.6,4.8,1.44,0.56,16.8,18.9,30.4,180.6,1.06,0.88,5.5,10.1,28.6,114.1,0.81,4.0,5.19,8.19,67.8,1.50,27.4,11.6,-12.41
21,Tennessee Titans,16,18.7,320.1,63.9,5.0,1.63,0.75,17.4,22.4,37.1,224.8,1.25,0.88,5.8,11.9,24.8,95.3,0.50,3.8,4.50,7.81,62.6,1.00,26.4,13.5,-15.17
22,Green Bay Packers,16,18.6,319.9,65.7,4.9,2.81,0.94,19.9,23.9,39.1,235.4,1.25,1.88,5.8,12.9,24.9,84.5,0.69,3.4,4.75,7.44,57.4,2.25,27.0,22.2,-9.85
23,Oakland Raiders,16,18.1,309.4,62.3,5.0,1.44,0.56,18.4,19.8,36.9,223.9,1.31,0.88,5.6,11.8,22.6,85.6,0.69,3.8,5.00,9.19,70.8,1.56,28.4,11.5,-9.20
24,Buffalo Bills,16,16.9,257.6,58.1,4.4,1.63,0.63,16.2,16.8,28.7,157.2,1.13,1.00,5.0,8.06,26.8,100.4,0.38,3.8,6.00,7.50,56.1,2.13,29.9,14.1,-14.43
25,Baltimore Ravens,16,16.6,293.3,66.0,4.4,2.25,0.94,17.9,20.9,35.1,193.0,1.06,1.31,5.1,10.2,28.3,100.3,0.31,3.6,6.06,8.69,66.7,1.63,27.2,18.3,-14.87
26,Houston Texans,16,16.3,253.3,59.6,4.2,1.50,0.69,15.2,16.9,28.1,139.8,0.94,0.81,4.3,8.88,27.3,113.5,0.56,4.2,5.56,6.63,53.4,0.75,28.9,12.7,-12.89
27,Chicago Bears,16,16.3,256.3,58.6,4.4,1.75,0.81,14.6,13.7,26.1,125.1,0.69,0.94,4.5,6.94,30.5,131.2,0.69,4.3,6.19,6.56,53.1,1.44,22.6,12.8,-16.11
28,Detroit Lions,16,15.9,269.9,59.7,4.5,1.88,0.75,16.1,18.6,32.5,178.0,0.94,1.13,5.2,9.44,25.3,91.9,0.63,3.6,4.31,7.19,52.4,2.38,24.6,15.6,-11.71
29,New York Jets,16,15.0,248.1,56.7,4.4,2.13,1.19,15.7,16.8,29.4,165.1,0.69,0.94,5.1,9.13,24.0,83.0,0.63,3.5,4.63,6.13,50.1,1.94,25.6,16.7,-11.58
30,San Francisco 49ers,16,14.9,224.2,54.1,4.1,2.19,0.88,11.9,12.8,24.3,118.6,0.50,1.31,4.3,6.00,26.8,105.6,0.56,3.9,4.38,6.63,48.8,1.56,21.9,16.3,-17.38
31,New Orleans Saints,16,14.7,314.4,63.6,4.9,2.69,1.19,19.5,19.3,34.6,208.9,0.94,1.50,5.6,11.4,26.4,105.5,0.50,4.0,5.56,8.44,70.6,2.56,26.4,20.3,-12.45
32,Cleveland Browns,16,14.5,284.4,58.6,4.9,1.88,0.81,15.1,18.6,31.1,190.4,0.94,1.06,5.6,9.31,24.7,93.9,0.25,3.8,4.75,6.19,48.1,1.00,25.8,16.9,-14.65
,Avg Team,,329.9,5054.7,1000.7,5.1,28.0,12.2,294.6,305.9,514.5,3255.3,20.1,15.8,5.9,170.2,449.2,1799.5,13.5,4.0,96.3,116.3,931.1,28.1,31.0,13.8,-138.2
,League Total,,10556,161751,32021,5.1,896,390,9426,9790,16464,104168,644,506,5.9,5445,14375,57583,431,4.0,3081,3720,29796,900,31.0,13.8,
,Avg Tm/G,,20.6,315.9,62.5,5.1,1.8,0.8,18.4,19.1,32.2,203.5,1.3,1.0,5.9,10.6,28.1,112.5,0.8,4.0,6.0,7.3,58.2,1.8,31.0,13.8,
