Team,OffPoints,OffYds,OffPlayes,OffY/P,OffTurnovers,OffFumbles,Off1stD,OffPassCmp,OffPassAtt,OffPassYds,OffPassTD,OffPassInt,OffPassNY/A,OffPass1stD,OffRushAtt,OffRushYds,OffRushTD,OffRushY/A,OffRush1stD,OffPenalties,OffPenYds,Off1stPy,OffSc%,OffTurnover%,DefPoints,DefYds,DefPlayes,DefY/P,DefTurnovers,DefFumbles,Def1stD,DefPassCmp,DefPassAtt,DefPassYds,DefPassTD,DefPassInt,DefPassNY/A,DefPass1stD,DefRushAtt,DefRushYds,DefRushTD,DefRushY/A,DefRush1stD,DefPenalties,DefPenYds,Def1stPy,DefSc%,DefTurnover%,Year
Kansas City Chiefs,29.2,375.0,60.3,6.2,0.94,0.13,21.4,18.3,29.8,226.4,1.69,0.81,7.2,11.2,28.9,148.6,1.63,5.1,8.75,4.69,43.8,1.5,42.7,7.9,24.9,390.5,67.6,5.8,1.94,0.81,22.9,25.2,38.5,261.3,1.69,1.13,6.4,14.2,26.9,129.2,1.19,4.8,7.5,6.25,51.7,1.25,39.6,16.5,2002
Oakland Raiders,28.1,389.8,66.8,5.8,1.19,0.56,22.9,26.1,38.7,279.7,1.63,0.63,6.8,14.1,25.9,110.1,1.31,4.3,7.06,8.06,68.4,1.69,42.7,9.4,19.0,311.2,62.3,5.0,1.94,0.63,19.9,21.6,35.6,220.4,1.31,1.31,5.8,11.8,24.0,90.8,0.88,3.8,6.0,6.44,49.2,2.13,28.7,16.6,2002
New Orleans Saints,27.0,325.3,62.6,5.2,1.88,0.94,18.2,18.2,33.6,215.1,1.69,0.94,6.0,10.6,26.6,110.3,1.0,4.1,5.69,7.44,56.9,1.94,38.5,14.6,24.3,362.3,66.9,5.4,2.38,1.13,20.4,21.4,37.1,237.8,1.56,1.25,6.0,11.9,27.4,124.4,1.13,4.5,6.75,6.88,59.6,1.75,33.7,18.4,2002
Philadelphia Eagles,25.9,350.3,67.1,5.2,1.5,0.81,19.4,19.9,34.3,211.5,1.69,0.69,5.8,10.3,30.6,138.8,0.94,4.5,7.75,6.94,56.1,1.44,36.0,12.0,15.1,297.1,63.1,4.7,2.38,1.44,17.0,20.8,35.2,193.4,1.13,0.94,5.0,10.0,24.4,103.8,0.31,4.3,5.19,7.0,60.6,1.81,20.6,18.0,2002
Atlanta Falcons,25.1,345.9,64.9,5.3,1.69,0.94,19.8,16.8,29.9,197.9,1.13,0.75,6.1,10.2,32.7,148.0,1.44,4.5,7.69,6.56,58.2,1.88,38.6,13.2,19.6,333.4,62.6,5.3,2.44,0.94,18.0,17.8,32.1,205.4,1.44,1.5,5.9,10.7,27.6,127.9,0.75,4.6,6.06,7.0,57.5,1.25,27.9,19.5,2002
Green Bay Packers,24.9,347.5,66.1,5.3,1.75,0.75,19.9,22.6,36.3,226.7,1.81,1.0,6.0,12.3,28.2,120.8,0.75,4.3,5.88,6.75,57.1,1.69,34.8,14.1,20.5,311.6,61.7,5.1,2.81,1.31,18.4,17.9,33.2,186.7,1.5,1.5,5.2,8.94,25.8,124.9,0.88,4.8,7.63,6.13,59.1,1.81,27.3,21.7,2002
Denver Broncos,24.5,380.6,66.1,5.8,1.69,0.44,22.3,22.4,34.6,239.0,1.31,1.25,6.4,12.4,28.6,141.6,1.31,5.0,7.81,6.5,54.8,2.06,37.6,14.9,21.5,301.6,61.6,4.9,1.38,0.81,18.6,22.5,35.4,208.6,0.94,0.56,5.5,11.0,23.7,93.1,1.31,3.9,6.25,6.19,51.8,1.38,34.5,10.7,2002
Pittsburgh Steelers,24.4,372.0,68.6,5.4,2.25,0.88,21.4,21.9,34.4,239.5,1.63,1.38,6.6,12.5,32.0,132.5,0.94,4.1,7.44,5.63,44.5,1.5,35.7,16.8,21.6,302.2,61.4,4.9,2.25,1.06,17.4,21.0,35.8,216.3,1.19,1.19,5.6,11.1,22.4,85.9,1.0,3.8,4.81,6.63,57.9,1.5,29.8,16.5,2002
Minnesota Vikings,24.4,387.0,67.5,5.7,2.56,1.13,21.9,21.1,34.9,230.3,1.19,1.44,6.1,11.9,29.6,156.7,1.63,5.3,8.69,8.56,71.2,1.25,35.6,19.9,27.6,360.6,60.2,6.0,1.44,0.44,19.7,20.9,33.9,256.4,2.06,1.0,7.2,12.4,24.6,104.1,0.94,4.2,5.19,6.25,51.5,2.13,36.9,12.3,2002
New England Patriots,23.8,317.8,64.4,4.9,1.5,0.63,19.0,23.4,37.8,223.6,1.75,0.88,5.6,11.5,24.7,94.3,0.56,3.8,6.19,6.75,55.9,1.31,34.6,11.9,21.6,336.1,64.5,5.2,1.81,0.69,19.7,19.6,33.2,198.7,1.44,1.13,5.6,9.88,29.2,137.4,1.06,4.7,8.06,6.19,58.0,1.75,32.1,15.5,2002
