Team,OffPoints,OffYds,OffPlayes,OffY/P,OffTurnovers,OffFumbles,Off1stD,OffPassCmp,OffPassAtt,OffPassYds,OffPassTD,OffPassInt,OffPassNY/A,OffPass1stD,OffRushAtt,OffRushYds,OffRushTD,OffRushY/A,OffRush1stD,OffPenalties,OffPenYds,Off1stPy,OffSc%,OffTurnover%,DefPoints,DefYds,DefPlayes,DefY/P,DefTurnovers,DefFumbles,Def1stD,DefPassCmp,DefPassAtt,DefPassYds,DefPassTD,DefPassInt,DefPassNY/A,DefPass1stD,DefRushAtt,DefRushYds,DefRushTD,DefRushY/A,DefRush1stD,DefPenalties,DefPenYds,Def1stPy,DefSc%,DefTurnover%,Year
Kansas City Chiefs,35.3,425.6,62.3,6.8,1.13,0.38,24.0,24.1,36.4,309.7,3.13,0.75,8.1,14.9,24.2,115.9,1.0,4.8,6.75,8.56,72.0,2.31,52.6,10.5,26.3,405.5,69.3,5.9,1.69,0.75,26.2,25.4,39.5,273.4,1.88,0.94,6.4,15.4,26.6,132.1,1.19,5.0,8.06,6.69,55.1,2.69,40.8,14.9,2018
Los Angeles Rams,32.9,421.1,66.3,6.4,1.19,0.44,25.1,23.0,35.5,281.7,2.0,0.75,7.5,14.8,28.7,139.4,1.44,4.9,8.38,6.0,54.9,1.94,48.6,9.8,24.0,358.6,60.0,6.0,1.88,0.75,20.1,21.7,33.3,236.3,1.94,1.13,6.6,11.6,24.1,122.3,0.75,5.1,6.31,6.19,53.3,2.25,38.2,16.9,2018
New Orleans Saints,31.5,379.2,63.1,6.0,1.0,0.56,23.6,23.8,32.4,252.6,2.06,0.44,7.5,13.1,29.4,126.6,1.63,4.3,8.38,5.88,58.7,2.06,51.8,9.5,22.1,349.1,61.1,5.7,1.5,0.75,20.8,24.0,35.8,268.9,1.88,0.75,6.9,14.0,22.3,80.2,0.75,3.6,4.5,5.31,50.9,2.31,36.0,14.6,2018
New England Patriots,27.3,393.4,67.1,5.9,1.13,0.44,22.8,23.6,35.9,266.1,1.81,0.69,7.2,12.9,29.9,127.3,1.13,4.3,8.19,5.81,46.5,1.75,40.8,9.2,20.3,359.1,62.6,5.7,1.75,0.63,20.1,23.1,37.8,246.4,1.81,1.13,6.2,13.0,22.9,112.7,0.44,4.9,5.81,5.69,52.4,1.31,32.6,15.0,2018
Indianapolis Colts,27.1,386.2,66.9,5.8,1.5,0.56,23.2,27.0,40.3,278.8,2.44,0.94,6.7,14.8,25.5,107.4,0.81,4.2,6.0,7.5,59.6,2.38,41.2,13.2,21.5,339.7,62.3,5.5,1.63,0.69,19.7,24.0,33.9,237.8,1.31,0.94,6.6,12.7,26.1,101.9,0.75,3.9,5.44,8.19,69.7,1.56,35.5,14.5,2018
Seattle Seahawks,26.8,353.3,63.3,5.6,0.69,0.25,20.6,17.5,26.7,193.3,2.19,0.44,6.5,9.75,33.4,160.0,0.94,4.8,8.31,6.94,59.9,2.5,39.8,6.1,21.7,353.3,59.7,5.9,1.63,0.88,20.2,22.2,34.1,240.1,1.63,0.75,6.5,12.6,22.9,113.2,0.56,4.9,5.69,6.75,61.3,1.94,35.2,14.2,2018
Los Angeles Chargers,26.8,372.6,59.1,6.3,1.19,0.44,21.1,21.8,32.0,255.6,2.0,0.75,7.5,13.3,24.9,117.1,1.0,4.7,6.25,7.06,60.4,1.56,42.4,10.0,20.6,333.7,61.3,5.4,1.25,0.44,19.4,21.9,34.3,227.9,1.44,0.81,6.2,11.1,24.7,105.8,0.69,4.3,6.31,6.44,51.8,2.0,33.7,11.8,2018
Pittsburgh Steelers,26.8,403.3,66.1,6.1,1.63,0.56,23.6,28.7,43.1,313.0,2.19,1.06,7.0,15.7,21.6,90.3,1.0,4.2,5.5,6.94,64.1,2.44,36.8,14.3,22.5,327.2,61.7,5.3,0.94,0.44,19.8,22.6,35.4,231.1,1.69,0.5,6.0,12.5,23.1,96.1,0.81,4.2,5.25,8.5,73.1,2.06,33.7,8.2,2018
Chicago Bears,26.3,343.9,63.3,5.4,1.5,0.63,20.7,21.5,32.0,222.8,1.75,0.88,6.5,11.1,29.3,121.1,1.0,4.1,6.75,6.06,49.8,2.88,36.8,13.2,17.7,299.7,62.8,4.8,2.25,0.56,17.4,23.6,38.4,219.7,1.38,1.69,5.3,11.6,21.2,80.0,0.31,3.8,4.19,7.13,63.9,1.56,28.6,19.5,2018
Atlanta Falcons,25.9,389.1,63.1,6.2,1.13,0.69,22.0,26.8,38.6,290.8,2.25,0.44,7.1,14.9,21.9,98.3,0.69,4.5,5.25,6.31,56.2,1.88,42.9,10.7,26.4,384.5,64.4,6.0,1.19,0.25,23.4,24.9,36.6,259.6,2.06,0.94,6.7,14.1,25.6,124.9,1.0,4.9,7.19,6.75,62.6,2.13,41.5,10.5,2018
