Team,OffPoints,OffYds,OffPlayes,OffY/P,OffTurnovers,OffFumbles,Off1stD,OffPassCmp,OffPassAtt,OffPassYds,OffPassTD,OffPassInt,OffPassNY/A,OffPass1stD,OffRushAtt,OffRushYds,OffRushTD,OffRushY/A,OffRush1stD,OffPenalties,OffPenYds,Off1stPy,OffSc%,OffTurnover%,DefPoints,DefYds,DefPlayes,DefY/P,DefTurnovers,DefFumbles,Def1stD,DefPassCmp,DefPassAtt,DefPassYds,DefPassTD,DefPassInt,DefPassNY/A,DefPass1stD,DefRushAtt,DefRushYds,DefRushTD,DefRushY/A,DefRush1stD,DefPenalties,DefPenYds,Def1stPy,DefSc%,DefTurnover%,Year
Houston Texans,25.1,362.6,65.0,5.6,1.0,0.44,20.8,21.6,31.6,236.3,1.63,0.56,6.7,12.6,29.5,126.3,0.75,4.3,5.88,6.56,49.2,2.31,40.3,8.1,19.8,343.1,63.9,5.4,1.81,0.88,18.6,24.1,37.1,260.4,1.75,0.94,6.5,12.5,24.1,82.7,0.5,3.4,4.75,7.31,59.1,1.38,31.6,13.9,2018
Tampa Bay Buccaneers,24.8,415.5,65.9,6.3,2.19,0.56,24.3,25.5,39.1,320.3,2.25,1.63,7.7,16.6,24.3,95.2,0.69,3.9,5.0,7.31,60.9,2.69,37.0,19.0,29.0,383.4,62.4,6.1,1.06,0.5,22.3,24.2,33.4,259.4,2.13,0.56,7.3,13.1,26.6,123.9,1.19,4.7,7.63,7.94,72.3,1.56,40.7,8.2,2018
Baltimore Ravens,24.3,374.9,70.9,5.3,1.25,0.69,22.9,20.9,34.8,222.4,1.13,0.56,6.1,11.5,34.2,152.6,1.19,4.5,9.56,7.25,58.8,1.88,40.7,10.7,17.9,292.9,60.9,4.8,1.06,0.31,17.9,21.1,36.1,210.0,1.31,0.75,5.4,10.9,22.1,82.9,0.69,3.7,5.13,7.06,63.6,1.88,29.1,9.5,2018
Green Bay Packers,23.5,369.1,64.1,5.8,0.94,0.69,20.8,24.5,40.0,264.9,1.56,0.25,6.1,13.0,20.8,104.2,0.88,5.0,6.13,6.75,58.6,1.63,38.8,6.7,25.0,354.4,63.6,5.6,0.94,0.5,20.7,21.0,32.9,234.5,1.88,0.44,6.6,12.4,27.9,119.9,0.94,4.3,6.25,6.06,49.5,2.0,37.9,8.2,2018
Carolina Panthers,23.5,373.3,63.2,5.9,1.38,0.38,22.3,23.6,35.2,239.8,1.75,1.0,6.4,13.3,26.0,133.5,1.06,5.1,7.31,5.75,51.1,1.69,37.0,12.1,23.9,353.2,59.3,6.0,1.44,0.63,19.7,22.1,33.1,240.4,2.0,0.81,6.8,11.6,24.0,112.8,0.81,4.7,6.88,5.69,50.3,1.25,38.0,12.9,2018
New York Giants,23.1,356.1,61.5,5.8,1.19,0.44,18.6,23.9,36.4,252.9,1.44,0.75,6.4,13.0,22.1,103.1,0.81,4.7,4.44,7.13,59.4,1.13,38.4,9.6,25.8,371.4,64.6,5.7,1.31,0.31,21.6,22.6,35.0,252.8,1.5,1.0,6.9,12.8,27.8,118.6,1.13,4.3,6.44,6.88,57.4,2.38,40.9,11.6,2018
Cincinnati Bengals,23.0,310.8,58.6,5.3,1.06,0.25,19.0,20.7,33.9,205.6,1.69,0.81,5.7,11.4,22.4,105.1,0.81,4.7,5.75,7.13,59.8,1.88,35.5,9.6,28.4,413.6,67.8,6.1,1.13,0.38,23.3,24.3,36.5,275.9,2.0,0.75,7.1,13.8,29.1,137.8,1.06,4.7,7.81,7.06,59.0,1.63,46.3,10.2,2018
Philadelphia Eagles,22.9,365.3,64.8,5.6,1.44,0.75,21.6,26.4,37.4,267.2,1.81,0.69,6.7,13.8,24.9,98.1,0.75,3.9,5.88,6.25,53.3,1.94,38.1,12.5,21.8,366.2,62.6,5.8,1.06,0.44,19.3,26.1,39.1,269.3,1.38,0.63,6.4,13.4,20.8,96.9,0.88,4.7,4.44,7.19,62.2,1.38,38.6,9.1,2018
Minnesota Vikings,22.5,345.6,62.7,5.5,1.25,0.63,19.4,26.6,37.9,252.3,1.88,0.63,6.2,13.6,22.3,93.3,0.56,4.2,4.13,5.75,48.7,1.63,32.4,10.6,21.3,309.7,62.1,5.0,1.25,0.5,18.9,19.7,31.4,196.3,0.94,0.75,5.7,10.0,27.5,113.4,0.81,4.1,6.69,6.63,52.1,2.25,33.7,10.5,2018
Cleveland Browns,22.4,368.8,63.9,5.8,1.5,0.44,19.6,22.1,35.9,250.4,1.81,1.06,6.5,11.8,25.7,118.3,0.94,4.6,5.81,7.0,55.9,2.0,31.2,11.4,24.5,393.0,70.1,5.6,1.94,0.88,23.6,24.6,39.1,257.8,1.31,1.06,6.2,13.5,28.7,135.2,1.25,4.7,8.13,7.44,61.9,1.94,35.3,15.4,2018
San Francisco 49ers,21.4,360.6,62.7,5.8,2.0,0.75,21.5,20.7,33.3,241.7,1.63,1.25,6.7,12.6,26.4,118.9,0.44,4.5,6.13,7.0,61.4,2.81,37.0,17.1,27.2,346.6,63.9,5.4,0.44,0.31,21.1,21.5,33.9,233.3,2.19,0.13,6.4,12.2,27.8,113.4,0.81,4.1,6.5,7.31,63.2,2.38,39.8,3.9,2018
Dallas Cowboys,21.2,343.8,63.9,5.4,1.06,0.56,20.1,22.3,32.9,221.1,1.38,0.5,6.1,11.5,27.4,122.7,0.81,4.5,7.06,6.5,55.3,1.56,37.9,10.1,20.3,329.3,61.3,5.4,1.25,0.69,19.3,22.9,33.9,234.7,1.38,0.56,6.5,12.1,25.0,94.6,0.75,3.8,5.56,5.56,42.6,1.69,36.5,12.0,2018
New York Jets,20.8,299.2,60.7,4.9,1.88,0.69,16.1,18.7,32.8,197.8,1.13,1.19,5.6,9.81,25.6,101.4,0.69,4.0,5.25,7.13,59.3,1.06,32.0,14.7,27.6,380.4,66.3,5.7,1.25,0.44,21.4,22.9,36.4,254.1,1.81,0.81,6.5,12.6,27.5,126.3,1.0,4.6,6.5,5.94,51.1,2.38,39.1,9.9,2018
Denver Broncos,20.6,350.1,63.4,5.5,1.31,0.38,20.0,22.9,36.8,230.9,1.19,0.94,5.9,11.3,24.6,119.2,1.13,4.9,6.69,7.81,61.6,2.0,30.6,11.3,21.8,365.1,63.9,5.7,1.75,0.69,19.9,22.1,34.3,245.6,1.63,1.06,6.6,12.3,26.8,119.6,0.69,4.5,5.31,7.69,62.9,2.25,34.1,14.1,2018
Detroit Lions,20.3,327.3,63.7,5.1,1.19,0.44,20.3,23.4,35.9,223.5,1.38,0.75,5.8,12.6,25.3,103.8,0.69,4.1,5.69,5.88,53.3,2.06,35.3,11.0,22.5,335.0,58.9,5.7,0.88,0.44,19.7,20.2,31.0,224.9,1.81,0.44,6.7,11.9,25.2,110.1,0.69,4.4,5.5,5.88,55.4,2.25,34.5,7.0,2018
Miami Dolphins,19.9,289.9,54.9,5.3,1.44,0.63,15.8,18.3,28.4,181.3,1.63,0.81,5.7,9.56,23.2,108.6,0.44,4.7,4.69,6.75,61.1,1.5,28.3,12.5,27.1,391.1,64.0,6.1,1.75,0.44,21.9,20.9,31.8,245.8,1.94,1.31,7.3,12.2,30.3,145.3,1.06,4.8,7.25,6.69,53.5,2.44,39.9,14.2,2018
Tennessee Titans,19.4,312.6,58.8,5.3,1.13,0.38,18.1,18.3,27.3,185.9,1.0,0.75,6.1,9.75,28.5,126.7,0.94,4.4,6.63,5.13,45.4,1.69,34.9,10.2,18.9,333.4,62.6,5.3,1.06,0.38,18.6,21.1,33.3,216.9,1.31,0.69,6.1,11.4,26.8,116.4,0.56,4.3,6.13,7.5,61.5,1.13,33.1,9.9,2018
Oakland Raiders,18.1,336.2,62.2,5.4,1.5,0.88,18.8,23.9,34.8,234.4,1.19,0.63,6.2,12.3,24.2,101.8,0.56,4.2,5.38,6.88,60.3,1.06,31.3,13.6,29.2,381.4,60.8,6.3,1.06,0.19,19.8,18.7,30.0,240.8,2.25,0.88,7.8,11.1,30.0,140.6,1.0,4.7,6.75,7.31,61.9,1.94,44.3,9.8,2018
Washington Redskins,17.6,299.7,60.4,5.0,1.19,0.25,17.5,19.4,31.8,188.8,1.0,0.94,5.5,9.75,25.9,110.9,0.75,4.3,6.0,7.19,63.0,1.75,31.8,11.2,22.4,353.4,62.3,5.7,1.63,0.69,20.6,22.6,33.6,237.1,1.69,0.94,6.5,12.3,25.8,116.3,0.75,4.5,6.81,6.38,49.4,1.5,35.1,14.6,2018
Buffalo Bills,16.8,298.6,63.0,4.7,2.0,0.56,17.7,16.9,31.2,174.6,0.81,1.44,5.2,8.56,29.3,124.0,0.94,4.2,6.75,7.25,62.0,2.38,26.4,15.5,23.4,294.1,60.5,4.9,1.69,0.69,18.3,19.6,30.8,179.2,1.38,1.0,5.4,9.81,27.5,114.9,1.06,4.2,6.94,6.19,61.0,1.56,33.3,14.3,2018
Jacksonville Jaguars,15.3,302.0,62.8,4.8,1.81,1.0,17.3,20.6,33.5,194.3,0.94,0.81,5.3,10.3,26.0,107.7,0.44,4.1,5.75,7.56,69.5,1.31,25.0,15.6,19.8,311.4,60.6,5.1,1.06,0.38,18.0,19.5,31.2,194.6,1.06,0.69,5.8,10.1,27.1,116.9,1.0,4.3,5.56,5.75,45.9,2.31,33.1,8.3,2018
Arizona Cardinals,14.1,241.6,56.4,4.3,1.75,0.63,14.9,17.7,30.9,157.7,0.94,1.13,4.6,8.56,22.2,83.9,0.56,3.8,4.75,6.31,49.1,1.63,19.3,15.0,26.6,358.8,66.6,5.4,1.0,0.56,22.3,21.4,31.6,203.9,1.31,0.44,5.9,11.6,31.9,154.9,1.56,4.9,8.69,6.25,49.4,2.0,38.0,8.6,2018
