Team,OffPoints,OffYds,OffPlayes,OffY/P,OffTurnovers,OffFumbles,Off1stD,OffPassCmp,OffPassAtt,OffPassYds,OffPassTD,OffPassInt,OffPassNY/A,OffPass1stD,OffRushAtt,OffRushYds,OffRushTD,OffRushY/A,OffRush1stD,OffPenalties,OffPenYds,Off1stPy,OffSc%,OffTurnover%,DefPoints,DefYds,DefPlayes,DefY/P,DefTurnovers,DefFumbles,Def1stD,DefPassCmp,DefPassAtt,DefPassYds,DefPassTD,DefPassInt,DefPassNY/A,DefPass1stD,DefRushAtt,DefRushYds,DefRushTD,DefRushY/A,DefRush1stD,DefPenalties,DefPenYds,Def1stPy,DefSc%,DefTurnover%,Year
New York Giants,22.2,325.9,62.7,5.2,1.75,0.63,19.0,18.8,32.7,191.1,1.5,1.13,5.6,10.2,28.4,134.8,0.88,4.7,7.5,6.31,55.1,1.31,32.6,13.7,22.6,342.4,66.1,5.2,1.75,0.69,19.6,20.8,35.4,228.1,1.31,1.06,6.1,11.8,28.6,114.4,1.19,4.0,6.63,6.06,48.2,1.19,33.2,15.0,2006
Baltimore Ravens,22.1,317.0,63.6,5.0,1.44,0.56,17.6,20.5,32.8,214.7,1.31,0.88,6.3,11.2,29.8,102.3,0.69,3.4,5.38,6.81,54.9,1.06,31.3,11.5,12.6,264.1,58.5,4.5,2.5,0.75,14.8,17.4,31.8,188.2,1.0,1.75,5.3,9.44,22.9,75.9,0.31,3.3,3.69,4.94,36.3,1.63,19.5,20.0,2006
Pittsburgh Steelers,22.1,357.8,65.1,5.5,2.31,0.88,20.4,19.5,32.7,233.3,1.44,1.44,6.5,12.6,29.3,124.5,1.0,4.2,6.25,4.31,38.2,1.63,31.4,18.1,19.7,300.3,61.0,4.9,1.81,0.56,16.8,19.9,33.1,212.1,1.31,1.25,6.0,11.0,25.5,88.3,0.56,3.5,4.5,6.5,53.9,1.31,27.7,15.4,2006
Seattle Seahawks,20.9,311.1,65.3,4.8,2.13,0.75,19.5,18.3,32.0,190.9,1.63,1.38,5.4,10.4,30.3,120.2,0.5,4.0,7.0,5.88,43.8,2.06,29.9,17.3,21.3,330.3,61.6,5.4,1.63,0.88,17.3,18.7,31.5,203.5,1.44,0.75,6.0,10.0,27.6,126.8,0.75,4.6,6.38,7.38,59.4,0.94,29.6,11.7,2006
Kansas City Chiefs,20.7,321.4,62.8,5.1,1.63,0.88,19.4,17.0,28.1,187.5,1.13,0.75,6.1,11.5,32.1,133.9,1.06,4.2,6.56,4.75,36.1,1.31,32.4,12.6,19.7,328.9,62.4,5.3,1.88,0.94,18.6,19.6,31.6,208.4,1.13,0.94,6.2,10.7,28.8,120.5,0.88,4.2,6.81,5.31,44.3,1.13,31.9,14.8,2006
Tennessee Titans,20.3,300.6,59.1,5.1,1.63,0.44,16.3,14.1,27.9,162.3,0.81,1.19,5.5,8.31,29.3,138.4,0.94,4.7,6.56,5.88,50.2,1.44,26.7,13.9,25.0,369.7,66.4,5.6,1.75,0.69,20.6,20.9,33.1,225.1,1.5,1.06,6.5,11.3,31.6,144.6,1.25,4.6,7.56,6.38,56.6,1.69,37.6,13.2,2006
Denver Broncos,19.9,309.4,60.8,5.1,1.88,0.75,17.8,16.0,28.4,174.9,1.25,1.13,5.8,9.44,30.5,134.5,0.75,4.4,6.63,4.19,29.9,1.75,30.7,14.6,19.1,326.3,63.8,5.1,1.88,0.81,18.2,20.4,33.6,212.9,0.81,1.06,5.9,11.4,27.9,113.3,0.81,4.1,6.06,6.06,49.1,0.69,32.6,14.7,2006
New York Jets,19.8,305.7,63.3,4.8,1.56,0.56,18.1,19.6,30.5,197.1,1.06,1.0,6.0,10.1,30.7,108.6,0.94,3.5,6.19,4.38,35.0,1.81,31.8,13.6,18.4,331.6,63.8,5.2,1.56,0.56,19.5,19.8,33.3,201.4,1.19,1.0,5.7,11.3,28.3,130.3,0.88,4.6,6.94,6.56,52.7,1.25,28.0,13.7,2006
Arizona Cardinals,19.6,312.5,62.4,5.0,1.88,0.81,18.6,20.1,34.1,228.9,1.06,1.06,6.3,11.7,26.2,83.6,0.75,3.2,5.25,7.31,58.6,1.69,32.2,15.3,24.3,349.4,63.6,5.5,2.06,1.06,20.7,20.1,32.6,230.9,1.31,1.0,6.6,11.6,28.6,118.6,1.0,4.1,7.13,5.94,50.9,1.94,37.6,18.2,2006
Washington Redskins,19.2,327.7,61.2,5.4,1.06,0.44,18.4,17.1,29.4,189.2,1.19,0.63,6.2,9.38,30.6,138.5,0.81,4.5,7.69,6.63,58.7,1.38,30.2,9.5,23.5,355.5,62.3,5.7,0.75,0.38,18.8,18.1,30.4,218.2,1.88,0.38,6.9,10.6,30.8,137.3,0.56,4.5,6.5,5.88,53.5,1.75,38.5,5.6,2006
Detroit Lions,19.1,309.3,60.2,5.1,2.44,1.06,18.1,23.3,37.3,238.8,1.31,1.38,5.8,13.0,19.0,70.6,0.56,3.7,3.31,7.25,58.7,1.81,31.9,21.1,24.9,345.6,64.6,5.4,1.88,1.13,19.9,21.2,31.9,220.0,1.38,0.75,6.5,11.4,30.8,125.6,1.13,4.1,6.94,6.38,54.3,1.56,37.8,15.1,2006
Green Bay Packers,18.8,341.1,67.8,5.0,2.06,0.94,18.8,21.9,39.4,237.2,1.13,1.13,5.8,11.6,26.9,103.9,0.56,3.9,5.81,5.63,43.1,1.44,26.6,16.1,22.9,320.9,62.6,5.1,2.06,0.63,18.2,17.9,32.2,206.8,1.56,1.44,5.9,10.6,27.6,114.1,0.75,4.1,5.94,6.06,44.4,1.69,31.8,16.4,2006
Buffalo Bills,18.8,266.9,56.1,4.8,1.81,0.94,14.6,16.8,26.9,169.9,1.19,0.88,5.7,8.25,26.3,97.0,0.56,3.7,5.13,5.44,39.3,1.25,27.4,15.1,19.4,329.6,64.3,5.1,1.5,0.69,18.6,20.3,32.1,188.7,1.13,0.81,5.5,10.5,29.8,140.9,0.88,4.7,7.31,5.63,44.3,0.81,28.9,11.8,2006
San Francisco 49ers,18.6,303.6,57.4,5.3,2.0,1.0,15.2,16.1,27.8,167.8,1.0,1.0,5.6,8.25,27.4,135.8,0.75,5.0,6.06,5.81,51.1,0.88,30.2,15.3,25.8,344.2,64.1,5.4,1.69,0.81,20.4,20.7,32.4,223.2,1.56,0.88,6.5,11.8,29.6,121.0,1.13,4.1,6.69,5.44,43.9,1.88,39.0,13.9,2006
Atlanta Falcons,18.3,331.9,62.5,5.3,1.25,0.31,17.9,13.9,26.0,148.2,1.31,0.94,5.1,8.31,33.6,183.7,0.56,5.5,8.38,6.0,54.8,1.25,28.8,10.9,20.5,332.8,62.1,5.4,1.63,0.88,19.6,20.1,32.2,229.3,1.25,0.75,6.6,11.4,27.6,103.6,0.88,3.7,6.06,6.19,49.9,2.06,31.8,13.4,2006
Minnesota Vikings,17.6,308.9,64.1,4.8,2.0,0.75,17.0,20.8,33.8,195.2,0.81,1.25,5.4,10.0,27.6,113.8,0.75,4.1,5.44,7.69,56.4,1.56,23.9,15.7,20.4,300.2,61.1,4.9,2.25,0.94,17.0,22.2,37.4,238.6,0.94,1.31,6.1,12.0,21.8,61.6,0.56,2.8,3.31,7.0,56.2,1.69,30.2,16.7,2006
Carolina Panthers,16.9,307.7,62.1,5.0,1.69,0.63,17.4,20.3,33.7,204.0,1.19,1.06,5.7,9.88,26.4,103.7,0.44,3.9,6.25,6.44,46.5,1.25,25.4,12.7,19.1,296.1,61.9,4.8,1.38,0.5,16.7,18.2,31.3,187.5,1.38,0.88,5.5,9.31,28.1,108.6,0.63,3.9,6.0,5.56,45.9,1.38,28.7,10.8,2006
Houston Texans,16.7,278.9,59.7,4.7,1.56,0.75,17.6,20.6,30.1,173.6,0.88,0.81,5.3,9.75,26.9,105.3,0.81,3.9,6.63,5.63,47.6,1.25,27.2,13.6,22.9,337.5,61.2,5.5,1.38,0.69,19.5,20.5,31.6,215.3,1.38,0.69,6.5,10.9,27.9,122.3,1.0,4.4,7.19,6.0,49.5,1.44,37.5,13.1,2006
Miami Dolphins,16.3,310.0,64.6,4.8,1.56,0.38,17.6,21.4,36.9,205.4,1.0,1.19,5.2,11.3,25.1,104.6,0.44,4.2,5.13,5.63,49.3,1.19,25.8,12.6,17.7,289.1,62.8,4.6,1.69,1.19,16.7,17.4,31.1,187.9,1.38,0.5,5.5,10.4,28.8,101.1,0.44,3.5,4.5,5.69,45.3,1.81,27.1,12.8,2006
Cleveland Browns,14.9,264.6,58.6,4.5,2.63,1.06,15.6,19.9,32.0,181.1,0.94,1.56,5.1,9.56,23.3,83.4,0.44,3.6,4.5,4.63,42.9,1.56,22.9,21.3,22.3,344.7,65.1,5.3,1.69,0.56,18.9,17.7,31.2,202.6,1.25,1.13,6.2,11.1,32.1,142.1,0.88,4.4,6.69,5.25,42.4,1.13,31.1,14.0,2006
Tampa Bay Buccaneers,13.2,270.1,60.8,4.4,2.0,0.88,14.8,18.5,33.4,174.9,0.88,1.13,4.9,8.31,25.3,95.2,0.38,3.8,5.13,5.44,45.8,1.38,19.5,16.3,22.1,329.4,63.4,5.2,1.25,0.56,18.8,18.8,30.8,209.6,1.63,0.69,6.5,10.9,31.1,119.8,0.69,3.9,6.75,5.19,41.1,1.13,31.7,10.2,2006
Oakland Raiders,10.5,246.2,59.3,4.2,2.88,1.38,15.2,16.4,30.2,151.3,0.44,1.5,4.4,9.0,24.6,94.9,0.31,3.9,4.56,6.94,52.9,1.63,16.7,25.0,20.8,284.8,61.6,4.6,1.44,0.31,16.7,15.3,25.6,150.8,1.06,1.13,5.4,8.56,33.9,134.0,0.94,4.0,6.69,5.31,41.6,1.44,33.3,11.6,2006
