Team,OffPoints,OffYds,OffPlayes,OffY/P,OffTurnovers,OffFumbles,Off1stD,OffPassCmp,OffPassAtt,OffPassYds,OffPassTD,OffPassInt,OffPassNY/A,OffPass1stD,OffRushAtt,OffRushYds,OffRushTD,OffRushY/A,OffRush1stD,OffPenalties,OffPenYds,Off1stPy,OffSc%,OffTurnover%,DefPoints,DefYds,DefPlayes,DefY/P,DefTurnovers,DefFumbles,Def1stD,DefPassCmp,DefPassAtt,DefPassYds,DefPassTD,DefPassInt,DefPassNY/A,DefPass1stD,DefRushAtt,DefRushYds,DefRushTD,DefRushY/A,DefRush1stD,DefPenalties,DefPenYds,Def1stPy,DefSc%,DefTurnover%,Year
San Diego Chargers,30.8,365.0,63.5,5.7,0.94,0.38,20.1,17.9,29.1,203.9,1.5,0.56,6.6,10.6,32.6,161.1,2.0,4.9,8.56,5.63,49.4,0.94,43.2,6.8,18.9,301.6,61.6,4.9,1.75,0.75,17.8,19.2,33.6,200.8,1.19,1.0,5.4,11.1,24.1,100.8,0.81,4.2,5.44,5.44,46.9,1.25,28.8,13.6,2006
Chicago Bears,26.7,324.9,65.1,5.0,2.25,0.88,18.8,17.6,32.1,205.1,1.5,1.38,6.1,10.1,31.4,119.9,0.88,3.8,6.44,7.0,57.7,2.25,34.8,15.9,15.9,294.1,63.9,4.6,2.75,1.25,16.1,20.5,36.3,194.8,1.13,1.5,5.0,9.94,25.1,99.4,0.44,4.0,4.81,8.25,67.8,1.38,20.6,19.6,2006
Indianapolis Colts,26.7,379.4,63.2,6.0,1.19,0.63,23.5,22.6,34.8,269.3,1.94,0.56,7.5,15.1,27.4,110.1,1.06,4.0,7.0,5.38,44.9,1.44,47.4,10.9,22.5,332.3,59.9,5.5,1.63,0.69,20.3,16.6,25.9,159.3,1.0,0.94,5.8,9.38,32.4,173.0,1.25,5.3,9.38,5.38,41.7,1.56,38.5,16.7,2006
Dallas Cowboys,26.6,360.8,63.4,5.7,1.88,0.56,21.0,19.4,31.6,239.8,1.63,1.31,7.1,12.3,29.5,121.0,1.31,4.1,6.69,6.25,58.7,2.0,38.1,15.3,21.9,322.8,60.9,5.3,1.94,0.81,18.4,18.8,31.9,219.1,1.56,1.13,6.4,11.2,26.8,103.7,0.75,3.9,5.5,5.81,55.9,1.69,32.2,15.3,2006
New Orleans Saints,25.8,391.5,67.2,5.8,1.44,0.63,20.6,23.3,36.3,281.4,1.69,0.81,7.5,12.9,29.5,110.1,1.19,3.7,6.19,4.94,37.3,1.5,36.8,12.1,20.1,307.3,58.1,5.3,1.19,0.5,16.4,16.7,29.6,178.4,1.63,0.69,5.6,9.25,26.1,128.9,0.63,4.9,6.0,5.56,42.1,1.13,26.5,9.0,2006
Philadelphia Eagles,24.9,381.4,61.8,6.2,1.5,0.94,19.5,20.2,34.0,257.4,1.94,0.56,7.2,11.8,26.0,124.0,0.81,4.8,6.63,7.0,61.4,1.06,33.9,11.5,20.5,328.1,65.9,5.0,1.81,0.63,19.6,19.3,32.8,191.7,1.06,1.19,5.4,9.63,30.6,136.4,0.75,4.5,7.88,6.0,49.7,2.13,30.1,15.1,2006
New England Patriots,24.1,335.6,65.9,5.1,1.69,0.94,20.6,20.4,32.9,212.5,1.56,0.75,6.1,11.3,31.2,123.1,1.25,3.9,7.56,6.13,58.8,1.75,34.4,13.8,14.8,294.4,59.4,5.0,2.19,0.81,16.5,18.4,32.4,200.2,0.63,1.38,5.7,10.3,24.3,94.2,0.69,3.9,4.19,6.38,57.4,2.06,23.6,18.7,2006
Cincinnati Bengals,23.3,341.4,62.1,5.5,1.5,0.69,19.6,20.4,32.7,239.6,1.75,0.81,6.9,12.5,27.2,101.8,0.88,3.7,5.5,5.75,44.8,1.56,35.6,12.2,20.7,355.1,64.9,5.5,1.94,0.75,21.1,21.8,34.7,238.6,1.5,1.19,6.5,12.9,28.0,116.4,0.94,4.2,6.81,6.06,52.3,1.38,30.6,14.5,2006
Jacksonville Jaguars,23.2,338.9,61.8,5.5,1.44,0.56,18.3,16.6,27.9,180.1,1.06,0.88,6.1,9.19,32.1,158.8,1.44,5.0,7.94,6.06,50.6,1.19,35.1,11.2,17.1,283.6,61.1,4.6,1.5,0.25,16.2,18.4,32.7,192.4,0.75,1.25,5.5,8.94,26.3,91.3,0.88,3.5,5.88,5.0,42.8,1.38,23.0,12.8,2006
St. Louis Rams,22.9,360.4,66.6,5.4,1.13,0.63,20.8,23.2,37.0,247.6,1.5,0.5,6.2,13.3,26.5,112.8,0.81,4.3,5.88,7.25,60.0,1.63,37.7,8.7,23.8,335.1,60.1,5.6,2.0,0.94,19.6,16.6,28.2,189.7,1.31,1.06,6.3,10.3,29.8,145.4,1.31,4.9,7.56,5.75,52.2,1.75,34.7,17.0,2006
