Team,OffPoints,OffYds,OffPlayes,OffY/P,OffTurnovers,OffFumbles,Off1stD,OffPassCmp,OffPassAtt,OffPassYds,OffPassTD,OffPassInt,OffPassNY/A,OffPass1stD,OffRushAtt,OffRushYds,OffRushTD,OffRushY/A,OffRush1stD,OffPenalties,OffPenYds,Off1stPy,OffSc%,OffTurnover%,DefPoints,DefYds,DefPlayes,DefY/P,DefTurnovers,DefFumbles,Def1stD,DefPassCmp,DefPassAtt,DefPassYds,DefPassTD,DefPassInt,DefPassNY/A,DefPass1stD,DefRushAtt,DefRushYds,DefRushTD,DefRushY/A,DefRush1stD,DefPenalties,DefPenYds,Def1stPy,DefSc%,DefTurnover%,Year
New England Patriots,32.4,363.8,61.6,5.9,0.63,0.31,20.9,20.7,31.7,240.4,2.31,0.31,7.2,12.3,28.4,123.3,1.19,4.3,7.44,5.19,47.9,1.25,47.0,5.4,19.6,366.5,66.0,5.6,2.38,0.81,21.8,24.3,38.2,258.5,1.56,1.56,6.4,14.1,25.6,108.0,0.63,4.2,6.19,5.25,42.9,1.44,30.7,21.0,2010
San Diego Chargers,27.6,395.6,64.9,6.1,1.81,1.0,22.3,22.4,34.0,282.4,1.88,0.81,7.8,14.8,28.6,113.1,1.13,4.0,5.88,5.25,42.3,1.69,40.3,14.5,20.1,271.6,58.7,4.6,1.44,0.44,15.4,17.8,30.5,177.8,1.13,1.0,5.3,9.56,25.3,93.8,0.88,3.7,4.81,6.06,48.1,1.06,26.1,12.5,2010
Philadelphia Eagles,27.4,389.4,64.9,6.0,1.56,0.75,20.1,21.8,35.1,244.1,1.75,0.81,6.4,11.8,26.8,145.3,1.13,5.4,7.25,8.06,68.8,1.06,39.8,11.7,23.6,327.2,62.4,5.2,2.13,0.69,19.3,19.3,33.5,216.8,1.94,1.44,6.0,11.6,26.4,110.4,0.75,4.2,5.69,5.44,45.3,2.06,31.4,17.0,2010
Indianapolis Colts,27.2,380.8,68.0,5.6,1.56,0.5,22.9,28.1,42.4,288.1,2.06,1.06,6.6,15.8,24.6,92.7,0.81,3.8,5.44,4.94,44.3,1.63,40.2,13.4,24.3,341.6,63.1,5.4,1.31,0.69,19.6,22.3,33.4,214.6,1.38,0.63,6.1,11.9,27.8,127.0,0.88,4.6,6.94,5.94,50.8,0.81,37.0,10.5,2010
Atlanta Falcons,25.9,341.1,68.6,5.0,1.06,0.5,22.1,22.6,36.1,222.9,1.75,0.56,5.9,12.5,31.1,118.2,0.88,3.8,6.94,3.63,37.4,2.63,39.3,9.0,18.0,332.4,59.8,5.6,1.94,0.56,17.8,22.8,35.0,226.6,1.44,1.38,6.1,11.4,22.9,105.9,0.56,4.6,5.44,7.25,62.7,0.88,26.1,16.1,2010
Oakland Raiders,25.6,354.6,64.9,5.5,1.63,0.63,19.1,17.4,30.7,198.8,1.13,1.0,5.9,9.94,31.5,155.9,1.19,4.9,7.06,9.25,79.8,2.13,34.5,11.8,23.2,322.8,61.9,5.2,1.5,0.75,18.3,15.6,29.4,189.2,1.81,0.75,5.9,9.38,29.6,133.6,0.88,4.5,6.13,7.31,72.6,2.75,31.2,9.3,2010
Dallas Cowboys,24.6,364.3,64.7,5.6,1.88,0.69,20.4,23.7,36.0,252.6,1.81,1.19,6.7,12.6,26.8,111.6,0.63,4.2,6.5,6.81,53.9,1.38,34.6,14.8,27.3,351.8,61.1,5.8,1.88,0.63,19.3,21.8,33.8,243.4,2.06,1.25,6.8,12.5,25.1,108.4,0.69,4.3,5.25,4.94,40.1,1.56,36.7,15.4,2010
New York Giants,24.6,380.3,64.7,5.9,2.63,1.06,20.7,21.2,33.7,242.8,1.94,1.56,7.0,12.0,30.0,137.5,1.06,4.6,7.0,5.75,48.6,1.69,32.4,20.3,21.7,311.9,60.9,5.1,2.44,1.44,16.4,19.3,33.7,210.6,1.5,1.0,5.8,9.94,24.3,101.3,0.69,4.2,5.5,6.69,56.2,1.0,28.7,18.3,2010
Houston Texans,24.4,386.6,64.3,6.0,1.13,0.38,22.5,22.8,35.9,259.0,1.5,0.75,6.8,13.9,26.4,127.6,1.25,4.8,7.38,5.63,43.1,1.25,39.7,10.1,26.7,376.9,63.1,6.0,1.13,0.31,22.0,22.1,34.2,267.5,2.06,0.81,7.4,13.2,27.1,109.4,1.0,4.0,7.06,6.56,53.2,1.75,40.2,10.3,2010
Green Bay Packers,24.3,358.1,62.5,5.7,1.38,0.56,19.5,22.0,33.8,257.8,1.94,0.81,7.1,12.8,26.3,100.4,0.69,3.8,5.5,4.88,38.6,1.25,35.0,10.9,15.0,309.1,60.6,5.1,2.0,0.5,16.9,18.5,32.9,194.2,1.0,1.5,5.4,10.2,24.7,114.9,0.38,4.7,5.13,6.13,47.4,1.56,25.3,16.5,2010
