Team,OffPoints,OffYds,OffPlayes,OffY/P,OffTurnovers,OffFumbles,Off1stD,OffPassCmp,OffPassAtt,OffPassYds,OffPassTD,OffPassInt,OffPassNY/A,OffPass1stD,OffRushAtt,OffRushYds,OffRushTD,OffRushY/A,OffRush1stD,OffPenalties,OffPenYds,Off1stPy,OffSc%,OffTurnover%,DefPoints,DefYds,DefPlayes,DefY/P,DefTurnovers,DefFumbles,Def1stD,DefPassCmp,DefPassAtt,DefPassYds,DefPassTD,DefPassInt,DefPassNY/A,DefPass1stD,DefRushAtt,DefRushYds,DefRushTD,DefRushY/A,DefRush1stD,DefPenalties,DefPenYds,Def1stPy,DefSc%,DefTurnover%,Year
New Orleans Saints,24.0,372.5,66.7,5.6,1.94,0.56,21.9,28.1,41.3,277.6,2.06,1.38,6.5,14.8,23.8,94.9,0.56,4.0,5.88,5.63,55.3,1.31,38.5,16.7,19.2,306.3,59.3,5.2,1.56,1.0,17.1,19.1,30.9,193.9,0.81,0.56,5.9,9.38,26.3,112.3,0.81,4.3,5.88,5.5,43.8,1.81,31.8,12.7,2010
Pittsburgh Steelers,23.4,345.3,62.1,5.6,1.13,0.56,18.4,18.6,29.9,225.1,1.38,0.56,6.9,10.9,29.4,120.3,0.94,4.1,6.63,6.25,56.4,0.88,36.9,9.5,14.5,276.8,60.9,4.5,2.19,0.88,17.0,22.7,37.1,214.1,0.94,1.31,5.3,11.4,20.8,62.8,0.31,3.0,3.81,5.38,44.8,1.81,25.7,17.3,2010
New York Jets,22.9,351.0,67.9,5.2,1.31,0.44,19.2,18.0,32.8,202.6,1.25,0.88,5.9,10.7,33.4,148.4,0.88,4.4,7.38,6.44,58.4,1.13,32.2,10.6,19.0,291.5,61.2,4.8,1.88,1.13,17.0,16.8,33.2,200.6,1.5,0.75,5.6,10.6,25.5,90.9,0.69,3.6,4.38,4.63,42.4,2.06,26.4,13.9,2010
Kansas City Chiefs,22.9,349.7,66.4,5.3,0.88,0.38,19.9,17.1,29.7,185.5,1.69,0.5,5.9,10.4,34.8,164.2,0.81,4.7,8.06,5.63,48.2,1.44,31.3,6.8,20.4,330.2,64.3,5.1,1.44,0.56,18.3,19.9,36.3,219.9,1.44,0.88,5.7,11.6,25.5,110.3,0.69,4.3,5.5,6.94,57.6,1.19,28.1,10.9,2010
Detroit Lions,22.6,338.9,66.5,5.1,1.56,0.56,19.0,23.9,39.6,238.1,1.63,1.0,5.8,12.4,25.3,100.8,0.69,4.0,5.19,8.5,63.6,1.38,32.1,12.4,23.1,343.6,62.8,5.5,1.81,0.94,20.0,20.6,32.4,218.6,1.44,0.88,6.2,11.7,27.7,124.9,1.13,4.5,6.13,6.63,53.4,2.19,31.3,13.5,2010
Baltimore Ravens,22.3,322.9,63.6,5.1,1.25,0.63,18.9,19.3,30.7,208.4,1.56,0.63,6.3,10.9,30.4,114.4,0.69,3.8,6.06,5.63,42.1,1.94,32.8,9.5,16.9,318.9,62.9,5.1,1.69,0.5,17.8,21.8,37.3,224.9,1.38,1.19,5.8,11.7,24.0,93.9,0.31,3.9,4.94,7.31,61.5,1.13,29.2,13.5,2010
Tennessee Titans,22.3,302.1,56.7,5.3,1.81,0.88,15.8,17.1,29.6,194.2,1.5,0.94,6.2,9.69,25.4,107.9,0.81,4.3,4.56,8.0,65.0,1.5,33.2,14.7,21.2,367.7,71.2,5.2,1.56,0.5,22.3,25.6,39.1,252.0,1.44,1.06,6.1,13.4,29.6,115.7,0.44,3.9,6.69,7.13,64.9,2.19,37.7,13.1,2010
Jacksonville Jaguars,22.1,341.3,63.7,5.4,2.06,0.75,20.6,18.2,29.3,191.6,1.63,1.31,6.0,10.1,32.0,149.7,0.88,4.7,9.25,5.19,42.2,1.31,35.0,16.9,26.2,371.8,59.3,6.3,1.13,0.31,19.8,20.6,31.6,250.3,1.75,0.81,7.5,12.3,26.0,121.6,1.19,4.7,6.13,5.31,46.8,1.31,40.2,9.8,2010
Denver Broncos,21.5,348.9,63.6,5.5,1.69,0.94,19.3,20.9,36.3,252.4,1.56,0.75,6.5,12.8,24.9,96.5,0.81,3.9,5.06,6.13,59.0,1.5,30.6,11.7,29.4,390.8,66.0,5.9,1.13,0.5,20.9,18.6,31.4,236.3,1.63,0.63,7.2,11.5,33.2,154.6,1.63,4.7,7.88,6.13,57.6,1.5,40.7,8.0,2010
Tampa Bay Buccaneers,21.3,335.1,59.7,5.6,1.19,0.81,18.0,19.1,30.9,210.1,1.63,0.38,6.4,10.8,26.9,125.1,0.56,4.6,6.06,6.25,52.3,1.19,33.7,9.3,19.9,332.7,61.9,5.4,1.75,0.56,19.2,19.2,32.6,201.0,1.44,1.19,5.9,10.7,27.8,131.7,0.75,4.7,7.38,4.94,42.3,1.13,29.4,14.7,2010
Chicago Bears,20.9,289.4,58.5,4.9,1.94,0.63,16.4,17.3,29.1,188.4,1.44,1.31,5.8,10.2,25.9,101.0,0.63,3.9,4.75,5.69,48.0,1.5,29.3,15.7,17.9,314.3,62.6,5.0,2.19,0.88,17.6,22.7,36.4,224.3,0.88,1.31,5.8,11.4,24.1,90.1,0.88,3.7,5.5,5.81,49.4,0.69,25.0,17.9,2010
Cincinnati Bengals,20.1,330.6,65.4,5.1,2.13,0.88,19.8,22.8,36.9,235.4,1.63,1.25,6.1,12.9,26.8,95.1,0.5,3.6,5.31,5.63,45.3,1.63,30.5,16.3,24.7,332.0,59.8,5.6,1.63,0.63,18.1,20.4,32.1,216.8,1.31,1.0,6.4,10.6,26.0,115.2,0.94,4.4,6.06,5.94,48.5,1.44,35.2,13.2,2010
Seattle Seahawks,19.4,297.8,60.3,4.9,1.94,0.69,16.3,20.3,34.0,208.8,0.88,1.25,5.8,9.94,24.1,89.0,0.81,3.7,5.06,6.31,55.6,1.25,26.5,14.8,25.4,368.6,67.1,5.5,1.38,0.63,19.6,21.2,36.6,249.6,1.94,0.75,6.4,12.9,28.3,118.9,0.81,4.2,5.69,5.69,44.1,1.0,35.9,9.9,2010
San Francisco 49ers,19.1,313.3,59.1,5.3,1.44,0.5,15.7,17.6,31.3,209.8,1.19,0.94,6.2,9.31,25.1,103.6,0.63,4.1,5.31,7.0,58.3,1.06,26.8,11.1,21.6,327.8,64.6,5.1,1.38,0.44,18.7,22.4,34.4,231.1,1.56,0.94,6.3,11.8,27.9,96.7,0.56,3.5,5.38,6.06,52.4,1.56,31.8,11.3,2010
Washington Redskins,18.9,337.0,62.6,5.4,1.94,0.75,18.4,21.8,37.8,245.7,1.31,1.19,6.0,12.1,21.9,91.3,0.56,4.2,4.5,5.63,40.4,1.81,26.3,14.6,23.6,389.3,65.7,5.9,1.69,0.81,20.4,22.9,36.1,261.7,1.44,0.88,6.9,12.9,27.8,127.6,0.94,4.6,6.63,6.5,52.4,0.81,32.5,12.3,2010
St. Louis Rams,18.1,302.9,65.8,4.6,1.31,0.38,18.3,22.1,36.9,204.3,1.13,0.94,5.2,11.2,26.8,98.6,0.56,3.7,5.25,6.38,54.8,1.81,30.2,9.5,20.5,336.8,63.6,5.3,1.63,0.75,19.0,20.5,35.6,223.6,1.31,0.88,5.8,11.9,25.3,113.1,0.44,4.5,5.5,7.88,63.0,1.56,33.0,12.6,2010
Arizona Cardinals,18.1,269.3,58.2,4.6,2.19,1.0,15.1,17.8,35.1,182.6,0.63,1.19,4.8,9.63,20.0,86.8,0.56,4.3,4.19,6.75,54.4,1.25,23.7,15.8,27.1,373.6,68.3,5.5,1.88,0.81,21.2,20.3,33.3,228.4,1.38,1.06,6.5,11.1,32.9,145.2,1.19,4.4,7.69,6.75,55.9,2.38,39.7,13.2,2010
Buffalo Bills,17.7,304.9,59.6,5.1,2.44,1.13,16.4,18.5,32.4,197.4,1.5,1.31,5.7,10.4,25.1,107.5,0.38,4.3,5.13,5.13,39.6,0.94,25.3,19.2,26.6,361.6,66.9,5.4,1.38,0.69,20.9,18.4,29.6,192.0,1.75,0.69,6.1,11.2,35.7,169.6,1.13,4.8,8.63,5.31,39.6,1.13,39.3,10.5,2010
Minnesota Vikings,17.6,314.9,61.4,5.1,2.31,0.69,18.1,19.1,31.6,193.6,0.88,1.63,5.7,9.94,27.6,121.4,1.0,4.4,6.5,6.25,48.1,1.63,24.9,19.0,21.8,312.6,61.1,5.1,1.63,0.69,17.3,20.8,33.1,210.4,1.56,0.94,6.0,11.1,26.1,102.2,0.63,3.9,5.44,6.13,49.1,0.69,28.8,12.5,2010
Miami Dolphins,17.1,323.1,65.0,5.0,1.94,0.63,18.8,20.9,34.8,220.4,1.06,1.31,5.9,11.8,27.8,102.7,0.5,3.7,5.69,4.5,37.2,1.25,29.7,15.7,20.8,309.3,61.8,5.0,1.19,0.5,16.5,18.0,31.4,209.3,1.38,0.69,6.2,10.4,27.9,100.1,0.5,3.6,5.25,5.31,45.6,0.88,31.5,9.9,2010
Cleveland Browns,16.9,289.7,57.9,5.0,1.81,0.69,16.6,18.5,29.9,186.8,0.81,1.13,5.8,9.63,25.8,102.9,0.81,4.0,5.44,4.88,42.2,1.5,27.7,15.8,20.8,350.1,65.1,5.4,1.75,0.56,19.8,19.3,31.7,220.7,1.63,1.19,6.6,12.2,31.6,129.4,0.44,4.1,6.38,5.31,46.3,1.25,34.1,15.3,2010
Carolina Panthers,12.3,258.4,60.1,4.3,2.31,1.0,14.1,16.0,30.3,143.1,0.56,1.31,4.3,7.81,26.8,115.4,0.44,4.3,4.88,6.63,57.4,1.38,20.8,17.8,25.5,335.9,66.3,5.1,1.81,0.75,20.5,20.4,32.9,212.1,1.19,1.06,6.1,11.0,31.4,123.8,1.25,3.9,7.56,5.63,47.8,1.94,35.2,14.3,2010
