Team,OffPoints,OffYds,OffPlayes,OffY/P,OffTurnovers,OffFumbles,Off1stD,OffPassCmp,OffPassAtt,OffPassYds,OffPassTD,OffPassInt,OffPassNY/A,OffPass1stD,OffRushAtt,OffRushYds,OffRushTD,OffRushY/A,OffRush1stD,OffPenalties,OffPenYds,Off1stPy,OffSc%,OffTurnover%,DefPoints,DefYds,DefPlayes,DefY/P,DefTurnovers,DefFumbles,Def1stD,DefPassCmp,DefPassAtt,DefPassYds,DefPassTD,DefPassInt,DefPassNY/A,DefPass1stD,DefRushAtt,DefRushYds,DefRushTD,DefRushY/A,DefRush1stD,DefPenalties,DefPenYds,Def1stPy,DefSc%,DefTurnover%,Year
Kansas City Chiefs,30.3,369.4,62.7,5.9,1.13,0.38,21.8,21.2,33.5,248.8,1.5,0.75,7.1,12.6,27.9,120.6,2.0,4.3,7.5,4.94,43.6,1.69,38.3,8.5,20.8,356.7,65.9,5.4,2.31,0.75,20.1,20.8,35.3,210.2,1.19,1.56,5.6,11.5,28.3,146.5,1.13,5.2,7.5,5.94,48.8,1.13,29.5,17.4,2003
St. Louis Rams,27.9,341.1,65.9,5.2,2.44,1.0,20.9,23.6,37.5,247.6,1.44,1.44,6.2,13.2,25.7,93.5,1.19,3.6,6.06,5.75,41.7,1.69,41.1,16.8,20.5,315.8,60.3,5.2,2.88,1.38,17.0,18.5,31.9,192.0,1.44,1.5,5.6,10.3,25.8,123.8,0.56,4.8,5.75,7.13,55.1,1.0,26.3,22.2,2003
Indianapolis Colts,27.9,367.1,65.1,5.6,1.25,0.63,21.8,23.8,35.6,261.2,1.81,0.63,7.1,13.3,28.3,105.9,1.0,3.7,6.5,5.75,41.4,2.0,46.3,10.2,21.0,299.3,57.1,5.2,1.88,0.94,17.4,17.3,27.8,175.6,1.13,0.94,5.9,8.63,27.3,123.8,1.19,4.5,7.31,7.69,62.8,1.5,30.1,14.8,2003
Green Bay Packers,27.6,362.4,62.4,5.8,2.0,0.69,19.7,19.4,29.6,202.5,2.0,1.31,6.6,10.4,31.7,159.9,1.13,5.0,7.94,5.5,43.7,1.38,38.0,15.6,19.2,318.8,64.8,4.9,2.0,0.69,18.0,20.4,36.8,212.5,1.13,1.31,5.5,10.8,25.8,106.3,0.63,4.1,5.69,6.06,47.9,1.56,29.6,15.3,2003
Tennessee Titans,27.2,343.8,63.3,5.4,1.31,0.75,19.4,19.7,31.4,242.4,1.88,0.56,7.4,13.2,30.4,101.4,0.69,3.3,5.25,6.88,55.4,0.94,39.4,9.6,20.3,306.3,57.9,5.3,2.13,0.81,17.2,20.8,34.1,225.4,1.25,1.31,6.2,10.4,21.4,80.9,0.63,3.8,4.94,6.0,49.6,1.81,29.8,16.0,2003
Minnesota Vikings,26.0,393.4,65.9,6.0,1.5,0.69,21.0,20.8,32.5,246.9,2.0,0.81,7.0,12.1,30.8,146.4,0.94,4.8,7.75,7.94,64.3,1.13,35.5,13.1,22.1,334.8,59.7,5.6,2.19,0.44,19.8,19.4,33.2,217.3,1.06,1.75,6.1,11.6,24.2,117.4,1.38,4.9,5.88,5.63,45.0,2.25,33.7,19.1,2003
Seattle Seahawks,25.3,351.7,63.6,5.5,1.81,0.81,21.1,19.8,32.6,226.1,1.69,1.0,6.4,11.9,28.3,125.6,1.06,4.4,7.56,5.69,48.6,1.69,36.2,13.5,20.4,327.4,66.8,4.9,1.75,0.75,19.0,21.4,35.8,217.5,1.5,1.0,5.7,11.4,28.5,109.9,0.56,3.9,5.81,6.56,51.6,1.75,30.9,14.4,2003
Baltimore Ravens,24.4,308.1,63.1,4.9,2.38,1.19,16.2,13.6,25.9,140.9,1.0,1.19,4.9,7.56,34.5,167.1,1.13,4.8,7.19,7.88,60.6,1.44,31.8,16.6,17.6,271.3,64.1,4.2,2.56,1.06,15.5,18.5,33.2,175.3,1.19,1.5,4.9,9.0,28.0,96.0,0.38,3.4,4.88,6.63,58.4,1.63,24.3,16.5,2003
San Francisco 49ers,24.0,355.4,64.9,5.5,1.56,0.63,19.6,18.7,31.9,213.0,1.56,0.94,6.3,10.8,31.2,142.4,1.0,4.6,7.38,6.5,50.4,1.44,35.1,12.4,21.1,308.0,61.0,5.0,2.31,0.88,18.3,19.4,32.1,202.4,1.56,1.44,5.8,10.3,26.3,105.6,0.81,4.0,6.19,4.88,45.0,1.75,29.4,16.6,2003
Denver Broncos,23.8,349.9,65.4,5.3,1.5,0.38,20.9,17.5,29.9,185.6,1.19,1.13,5.9,10.1,33.9,164.3,1.25,4.8,8.31,6.69,57.6,2.44,36.6,12.0,18.8,277.1,56.9,4.9,1.25,0.69,15.1,16.6,30.9,176.8,1.06,0.56,5.3,8.81,23.7,100.3,0.69,4.2,4.81,8.56,64.4,1.44,28.6,10.3,2003
